23 Mot inconnu : ATAPI [[50:55]] => Les CD-ROM régissent à des normes strictes : IDE, ATAPI, etc. <|> atapi

41 Mot inconnu : ide-core [[0:8]] => ide-core & ide-cd sont les 2 modules de base. <|> ide-core
46 Mot inconnu : fstab [[15:20]] => ==== Fichier « fstab » ==== <|> fstab
54 Mot inconnu : fstab [[43:48]] => Ci-dessus, la ligne basique d'un fichier « fstab » pour un lecteur de CD-ROM. <|> fstab

57 Mot inconnu : dmesg [[5:10]] => ==== dmesg ==== <|> dmesg

61 Mot inconnu : dmesg [[2:7]] => **dmesg** vous permettra de voir des informations sur l'état du système. Il vous permettra par exemple d'identifier vos disques : <|> dmesg

67 Mot inconnu : SATA [[24:28]] => ou pour les contrôleurs SATA : <|> sata

73 Espace(s) en fin de ligne à supprimer. [[2:3]] => ou  <|>   => suggestions : ['']

79 Pas d’espace après ce signe. [[18:20]] => Pour plus d'infos ( nom lecteur cd, etc)  il y a cette commande qui permet d'identifier son lecteur Dvd sous Linux <|> (  => suggestions : ['(']
91 Mot inconnu : linux-doc [[26:35]] =>   * Installer le paquet **linux-doc** (puis aller dans « /usr/share/doc/linux-doc-2.6.20/Documentation/cdrom ») <|> linux-doc
92 Mot inconnu : linux-source [[26:38]] =>   * Installer le paquet **linux-source** (Puis aller dans « /usr/src/ » et extraire l'archive « linux-source-2.XXX ») <|> linux-source
92 Mot inconnu : linux-source-2 [[96:110]] =>   * Installer le paquet **linux-source** (Puis aller dans « /usr/src/ » et extraire l'archive « linux-source-2.XXX ») <|> linux-source-2
92 Il manque un espace. [[111:114]] =>   * Installer le paquet **linux-source** (Puis aller dans « /usr/src/ » et extraire l'archive « linux-source-2.XXX ») <|> xxx => suggestions : [' XXX']
94 Mot inconnu : Googler [[4:11]] =>   * Googler... <|> googler
94 Typographie : points de suspension. Utilisez le caractère dédié. [[11:14]] =>   * Googler... <|> ... => suggestions : ['…']

102 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. [[117:118]] => Dans mon cas par exemple, mon CD-Rom fonctionnait sans problème sur Ubuntu 5.10, mais à partir du noyau 2.6.15 (donc a partir de Ubuntu 6.06), j'ai du rajouter l'option « irqpoll » pour commencer (!) à faire fonctionner le lecteur CD. <|> a => suggestions : ['à']
102 Participe passé de devoir : “dû”. [[148:150]] => Dans mon cas par exemple, mon CD-Rom fonctionnait sans problème sur Ubuntu 5.10, mais à partir du noyau 2.6.15 (donc a partir de Ubuntu 6.06), j'ai du rajouter l'option « irqpoll » pour commencer (!) à faire fonctionner le lecteur CD. <|> du => suggestions : ['dû']
102 Incohérence avec “du” : “rajouter” est un verbe. [[151:159]] => Dans mon cas par exemple, mon CD-Rom fonctionnait sans problème sur Ubuntu 5.10, mais à partir du noyau 2.6.15 (donc a partir de Ubuntu 6.06), j'ai du rajouter l'option « irqpoll » pour commencer (!) à faire fonctionner le lecteur CD. <|> rajouter => suggestions : ['rajouté', 'rajoutées', 'rajoutée', 'rajoutés']
