
5 Mot inconnu : MyPaint => ====== MyPaint ====== | mypaint

7 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

8 Mot inconnu : MyPaint => **MyPaint** est un logiciel de dessin, ou plus particulièrement de peinture, avec une gestion très avancée des brosses. Il est publié sous licence GPL et fonctionne sous systèmes Windows et GNU/Linux. | mypaint

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

30 Mot inconnu : MyPaint => MyPaint dispose d'une grande quantité de brosses paramétrables dont on pourra en saisir toutes les nuances avec une [[tablette graphique]]. La fenêtre s'ouvre dans //Brosse -> Liste des brosses// (B), les paramètres sont accessibles par //Brosse -> Réglage de la brosse// (ctrl+B). | mypaint
30 Mot inconnu : ctrl => MyPaint dispose d'une grande quantité de brosses paramétrables dont on pourra en saisir toutes les nuances avec une [[tablette graphique]]. La fenêtre s'ouvre dans //Brosse -> Liste des brosses// (B), les paramètres sont accessibles par //Brosse -> Réglage de la brosse// (ctrl+B). | ctrl
38 Mot inconnu : OpenRaster => Le script [[http://gimp.foebud.org/node/18435|file-ora]] permet à [[Gimp]] d'ouvrir et d'enregistrer le format OpenRaster. | openraster

40 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A compter de Gimp 2.10 (plus précisément de la version de développement 9.2.4), les brosses MyPaint sont intégrées dans [[gimp|Gimp]]. | a => suggestions : ['À']
40 Mot inconnu : MyPaint => A compter de Gimp 2.10 (plus précisément de la version de développement 9.2.4), les brosses MyPaint sont intégrées dans [[gimp|Gimp]]. | mypaint
40 Mot inconnu : gimp => A compter de Gimp 2.10 (plus précisément de la version de développement 9.2.4), les brosses MyPaint sont intégrées dans [[gimp|Gimp]]. | gimp

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[http://mypaint.org|Site officiel]] |    => suggestions : ['']

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://forum.ubuntu-fr.org/viewtopic.php?id=337053|Sujet consacré à Mypaint sur le forum Ubuntu-fr]]. |    => suggestions : ['']
50 Mot inconnu : Mypaint =>   * [[https://forum.ubuntu-fr.org/viewtopic.php?id=337053|Sujet consacré à Mypaint sur le forum Ubuntu-fr]]. | mypaint

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://popolon.org/gblog2/fr/categorie/tout/sci-et-tech/logiciel-libre/mypaint|Source: Popolon, Blog graphique 2]] |    => suggestions : ['']
51 Mot inconnu : Popolon =>   * [[http://popolon.org/gblog2/fr/categorie/tout/sci-et-tech/logiciel-libre/mypaint|Source: Popolon, Blog graphique 2]] | popolon
