
5 Mot inconnu : Creatures => ====== Creatures : Docking Station ====== | creatures
5 Mot inconnu : Docking => ====== Creatures : Docking Station ====== | docking

7 Mot inconnu : Docking => **Docking Station** est l'un des derniers jeux de la série **Creatures** (simulation de vie artificielle extraterrestre qui existe depuis 1990) et son avantage par rapport aux autres opus est qu'il est disponible gratuitement au téléchargement pour les plate-formes Linux. Il innove notamment en terme de **jeu en ligne** (possibilité d'échanger des créatures et de clavarder en ligne avec d'autres utilisateurs). | docking
7 Mot inconnu : Creatures => **Docking Station** est l'un des derniers jeux de la série **Creatures** (simulation de vie artificielle extraterrestre qui existe depuis 1990) et son avantage par rapport aux autres opus est qu'il est disponible gratuitement au téléchargement pour les plate-formes Linux. Il innove notamment en terme de **jeu en ligne** (possibilité d'échanger des créatures et de clavarder en ligne avec d'autres utilisateurs). | creatures
7 Dans la locution “en termes de”, mettez “terme” au pluriel. => **Docking Station** est l'un des derniers jeux de la série **Creatures** (simulation de vie artificielle extraterrestre qui existe depuis 1990) et son avantage par rapport aux autres opus est qu'il est disponible gratuitement au téléchargement pour les plate-formes Linux. Il innove notamment en terme de **jeu en ligne** (possibilité d'échanger des créatures et de clavarder en ligne avec d'autres utilisateurs). | en terme de => suggestions : ['en termes de']

9 Mot inconnu : Docking => **Docking Station** est au départ une extension du jeu payant **Creatures 3** (les deux jeux ont été réunis dans un pack disponible pour Linux appelé **Creatures Internet Edition**, mais un installateur qui réalise cette fonction existe). | docking
9 Mot inconnu : Creatures => **Docking Station** est au départ une extension du jeu payant **Creatures 3** (les deux jeux ont été réunis dans un pack disponible pour Linux appelé **Creatures Internet Edition**, mais un installateur qui réalise cette fonction existe). | creatures
9 Mot inconnu : Creatures => **Docking Station** est au départ une extension du jeu payant **Creatures 3** (les deux jeux ont été réunis dans un pack disponible pour Linux appelé **Creatures Internet Edition**, mais un installateur qui réalise cette fonction existe). | creatures
9 Mot inconnu : Edition => **Docking Station** est au départ une extension du jeu payant **Creatures 3** (les deux jeux ont été réunis dans un pack disponible pour Linux appelé **Creatures Internet Edition**, mais un installateur qui réalise cette fonction existe). | edition

13 Mot inconnu : Creatures => Vous pouvez en apprendre plus sur ce jeu en consultant le [[http://fr.creatures.wikia.com/wiki/Docking_Station|Creatures Wiki France]]. | creatures

17 Mot inconnu : Creature => ==== Inscription sur Creature Labs ==== | creature
17 Mot inconnu : Labs => ==== Inscription sur Creature Labs ==== | labs

19 Mot inconnu : online => Pour bien commencer, rendez-vous sur [[http://www.gamewaredevelopment.co.uk/ds/active/register.pl|la page d'inscription]] afin de créer un compte qui vous permettra de bénéficier des avantages //online// du jeu. | online

21 Guillemets typographiques ouvrants. => Remplissez les différents champs et ne vous inquiétez pas si la case "Mot de passe" n'est pas présente, il vous sera fourni lors de la réception du mail de confirmation d'inscription (possibilité de le changer ultérieurement). | " => suggestions : ['«\xa0', '“']
21 Guillemets typographiques fermants. => Remplissez les différents champs et ne vous inquiétez pas si la case "Mot de passe" n'est pas présente, il vous sera fourni lors de la réception du mail de confirmation d'inscription (possibilité de le changer ultérieurement). | " => suggestions : ['\xa0»', '”']

27 Mot inconnu : Docking => Actuellement, seuls deux miroirs de téléchargement sont encore opérationnels pour récupérer Docking Station : | docking

35 Mot inconnu : Docking => Identiques sur plusieurs sites qui proposent Docking Station, voici comment procéder pour installer le jeu. | docking

68 Mot inconnu : INSTALL_DEST => > e.g. INSTALL_DEST=~/DockingStation BIN_DEST=~/bin | install_dest
68 Mot inconnu : DockingStation => > e.g. INSTALL_DEST=~/DockingStation BIN_DEST=~/bin | dockingstation
68 Mot inconnu : BIN_DEST => > e.g. INSTALL_DEST=~/DockingStation BIN_DEST=~/bin | bin_dest

69 Mot inconnu : Docking => Après ça, vous êtes certain que Docking Station est installé. | docking

73 Mot inconnu : trap => === trap: 119: SIGINT: bad trap === | trap
