
5 Mot inconnu : KiCad => ====== KiCad ====== | kicad

7 Mot inconnu : KiCad => **KiCad** est une suite open source (GPL) pour la réalisation de schémas électroniques et de circuits imprimés.  | kicad
7 Espace(s) en fin de ligne à supprimer. => **KiCad** est une suite open source (GPL) pour la réalisation de schémas électroniques et de circuits imprimés.  |   => suggestions : ['']
14 Mot inconnu : kicad-doc-fr => Pour installer le mode d'emploi : **[[apt>kicad-doc-fr]]**. | kicad-doc-fr
16 Mot inconnu : kicad-locale-fr => Pour installer la traduction française de l'interface : **[[apt>kicad-locale-fr]]** | kicad-locale-fr

17 Guillemets typographiques ouvrants. => (pour obtenir une autre langue, remplacer le "fr" par l'indicatif de la langue désirée) | " => suggestions : ['«\xa0', '“']
17 Guillemets typographiques fermants. => (pour obtenir une autre langue, remplacer le "fr" par l'indicatif de la langue désirée) | " => suggestions : ['\xa0»', '”']

23 Mot inconnu : kicad => Lancez kicad et ouvrez le projet **/usr/share/kicad/demos/simulation/sallen_key/sallen_key.pro** avec le menu  **Fichiers/Ouvrir Projet** | kicad
23 Espace(s) surnuméraire(s) à supprimer. => Lancez kicad et ouvrez le projet **/usr/share/kicad/demos/simulation/sallen_key/sallen_key.pro** avec le menu  **Fichiers/Ouvrir Projet** |    => suggestions : [' ']

25 Mot inconnu : sallen_key => Double cliquez sur le fichier **sallen_key.sch** pour ouvrir le schéma. | sallen_key
25 Mot inconnu : sch => Double cliquez sur le fichier **sallen_key.sch** pour ouvrir le schéma. | sch

41 Il manque un espace avant la parenthèse. => Choisir **V(/lowpass)** | ( => suggestions : [' (']
41 Mot inconnu : lowpass => Choisir **V(/lowpass)** | lowpass

50 Espace(s) surnuméraire(s) à supprimer. => ===== Utilisation  ===== |    => suggestions : [' ']

54 Mot inconnu : KiCad => La suite KiCad est un ensemble de quatre logiciels et un gestionnaire de projets destinés à la réalisation de cartes électroniques : | kicad

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * **Eeschema** : entrée schématique. |      => suggestions : ['']
56 Mot inconnu : Eeschema =>     * **Eeschema** : entrée schématique. | eeschema

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * **PcbNew** : logiciel de réalisation de circuits imprimés. |      => suggestions : ['']
57 Mot inconnu : PcbNew =>     * **PcbNew** : logiciel de réalisation de circuits imprimés. | pcbnew

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * **Gerbview** : visualisation des documents générés au format GERBER (documents de phototraçage). |      => suggestions : ['']
58 Mot inconnu : Gerbview =>     * **Gerbview** : visualisation des documents générés au format GERBER (documents de phototraçage). | gerbview
58 Mot inconnu : phototraçage =>     * **Gerbview** : visualisation des documents générés au format GERBER (documents de phototraçage). | phototraçage

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * **Cvpcb** : utilitaire de sélection des empreintes physiques des composants électroniques utilisés dans le schéma. |      => suggestions : ['']
59 Mot inconnu : Cvpcb =>     * **Cvpcb** : utilitaire de sélection des empreintes physiques des composants électroniques utilisés dans le schéma. | cvpcb

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * **Kicad** : gestionnaire de projets. |      => suggestions : ['']
60 Mot inconnu : Kicad =>     * **Kicad** : gestionnaire de projets. | kicad

62 Mot inconnu : Kicad => Le gestionnaire de projets, **Kicad**, permet la sélection rapide d'un projet et le lancement de l'utilitaire nécessaire (**Eeschema**, **PcbNew**, ...). Cette suite logicielle est diffusée gratuitement en open source sous licence **GPL** par le **LIS** à toutes les personnes intéressées. Elle est destinée à toute personne ayant à créer et réaliser des circuits imprimés simples ou complexes. | kicad
