
4 Mot inconnu : RECOLL => ====== RECOLL ====== | recoll

6 Mot inconnu : Recoll => **Recoll** est un logiciel de recherche très efficace capable **d'indexer** toutes vos données. A ce titre, il permet de rechercher un fichier, un répertoire ou un courriel (ou toute donnée indexée) aussi bien sur son nom que sur son contenu, et ce de façon quasi instantanée, grâce à l'indexation. | recoll
6 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => **Recoll** est un logiciel de recherche très efficace capable **d'indexer** toutes vos données. A ce titre, il permet de rechercher un fichier, un répertoire ou un courriel (ou toute donnée indexée) aussi bien sur son nom que sur son contenu, et ce de façon quasi instantanée, grâce à l'indexation. | a => suggestions : ['À']

10 Mot inconnu : Spotlight => Si vous connaissez un peu les logiciels Apple, il peut être comparé à Spotlight. Et si vous êtes sous Windows, il peut être comparé à Copernic Desktop Search, Google Desktop Search ou à la recherche indexée de l'explorateur de fichiers de Windows 7 (et supérieurs). | spotlight
10 Mot inconnu : Desktop => Si vous connaissez un peu les logiciels Apple, il peut être comparé à Spotlight. Et si vous êtes sous Windows, il peut être comparé à Copernic Desktop Search, Google Desktop Search ou à la recherche indexée de l'explorateur de fichiers de Windows 7 (et supérieurs). | desktop
10 Mot inconnu : Search => Si vous connaissez un peu les logiciels Apple, il peut être comparé à Spotlight. Et si vous êtes sous Windows, il peut être comparé à Copernic Desktop Search, Google Desktop Search ou à la recherche indexée de l'explorateur de fichiers de Windows 7 (et supérieurs). | search
10 Mot inconnu : Desktop => Si vous connaissez un peu les logiciels Apple, il peut être comparé à Spotlight. Et si vous êtes sous Windows, il peut être comparé à Copernic Desktop Search, Google Desktop Search ou à la recherche indexée de l'explorateur de fichiers de Windows 7 (et supérieurs). | desktop
10 Mot inconnu : Search => Si vous connaissez un peu les logiciels Apple, il peut être comparé à Spotlight. Et si vous êtes sous Windows, il peut être comparé à Copernic Desktop Search, Google Desktop Search ou à la recherche indexée de l'explorateur de fichiers de Windows 7 (et supérieurs). | search

15 Mot inconnu : Recoll => Recoll indexe vos fichiers, vos courriels, vos répertoires, vos archives compressées (zip), et leurs contenus. Ceux-ci sont donc accessibles à une recherche de façon presque instantanée. | recoll

19 Mot inconnu : Recoll => Depuis la version 1.18.1, Recoll donne même un accès direct à la page contenant le texte recherché pour les documents PDF. | recoll
25 Mot inconnu : firefox => Exemple : pour exclure le répertoire de firefox (et son cache) de l'indexation, on va dans **Préférences > Configuration de l'indexation > paramètres globaux** et dans la zone **Chemins ignorés** on clic sur le bouton **+**. On saisit dans la zone texte le nom du répertoire (et de tous ses sous-répertoires) à ignorer : **/home/nom-du-compte/.mozilla/**, et on sauvegarde. On peut ajouter autant de répertoires à ignorer qu'on le souhaite, en répétant la même méthode. Pour ignorer l'indexation des courriels : **/home/nom-du-compte/.thunderbird/**. | firefox
25 Incohérence avec “on” : “clic” devrait être un verbe, un pronom objet, un adverbe de négation, etc. => Exemple : pour exclure le répertoire de firefox (et son cache) de l'indexation, on va dans **Préférences > Configuration de l'indexation > paramètres globaux** et dans la zone **Chemins ignorés** on clic sur le bouton **+**. On saisit dans la zone texte le nom du répertoire (et de tous ses sous-répertoires) à ignorer : **/home/nom-du-compte/.mozilla/**, et on sauvegarde. On peut ajouter autant de répertoires à ignorer qu'on le souhaite, en répétant la même méthode. Pour ignorer l'indexation des courriels : **/home/nom-du-compte/.thunderbird/**. | clic => suggestions : ['clique']

31 Mot inconnu : recoll => Après l'installation de recoll, on peut le lancer en allant le chercher dans le sous-menu "Accessoires".  | recoll
31 Guillemets typographiques ouvrants. => Après l'installation de recoll, on peut le lancer en allant le chercher dans le sous-menu "Accessoires".  | " => suggestions : ['«\xa0', '“']
31 Guillemets typographiques fermants. => Après l'installation de recoll, on peut le lancer en allant le chercher dans le sous-menu "Accessoires".  | " => suggestions : ['\xa0»', '”']
31 Espace(s) en fin de ligne à supprimer. => Après l'installation de recoll, on peut le lancer en allant le chercher dans le sous-menu "Accessoires".  |   => suggestions : ['']

33 Nombre ordinal. Premier : 1ᵉʳ. Première : 1ʳᵉ. Premiers : 1ᵉʳˢ. Premières : 1ʳᵉˢ. => Lors du 1er lancement, les choix d'utilisation et d'indexation sont proposés. Les lancements suivants permettent d'accéder à la zone de recherche des fichiers et de leurs contenus. | 1er => suggestions : ['1ᵉʳ']

36 Mot inconnu : recoll => Le lancement de recoll affiche une zone de recherche pour taper un ou plusieurs mots clés. C'est la recherche simplifiée par défaut. | recoll

38 Mot inconnu : icone => Mais on peut aussi accéder à une interface de recherche plus complète par **Outils > Recherche avancée** (ou en cliquant sur l'icone avec la loupe). | icone

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * obtenir une liste plus réduite et plus pertinente en cliquant dans le **filtre des catégories** sur le type de support qui intéresse : courriel, feuille de calcul, fichier texte, multimédia... . |    => suggestions : ['']
41 Typographie : points de suspension. Utilisez le caractère dédié. =>   * obtenir une liste plus réduite et plus pertinente en cliquant dans le **filtre des catégories** sur le type de support qui intéresse : courriel, feuille de calcul, fichier texte, multimédia... . | ... => suggestions : ['…']

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Trier le résultat par date (via les flèches de la barre d’icônes). |    => suggestions : ['']

