
4 Mot inconnu : Webmin => ======= Webmin : administrer un serveur GNU/Linux ======= | webmin

9 Mot inconnu : Webmin => Webmin est une mine d'or pour les administrateurs réseaux : presque tout peut être configuré avec Webmin ! | webmin
9 Mot inconnu : Webmin => Webmin est une mine d'or pour les administrateurs réseaux : presque tout peut être configuré avec Webmin ! | webmin

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

20 Mot inconnu : Webmin => Si vous souhaitez installer ou mettre à jour Webmin depuis un dépôt : | webmin

25 Mot inconnu : deb => deb http://download.webmin.com/download/repository sarge contrib</file> | deb
25 Mot inconnu : sarge => deb http://download.webmin.com/download/repository sarge contrib</file> | sarge
25 Mot inconnu : contrib => deb http://download.webmin.com/download/repository sarge contrib</file> | contrib

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Changer le mot de passe : |    => suggestions : ['']

33 Guillemets typographiques ouvrants. => Vous pouvez utiliser votre nom d'utilisateur courant et mot de passe, mais si vous voulez utiliser le compte "root" de webmin, celui-ci sera inaccessible car désactivé sur Ubuntu. Il faut par conséquent le changer en tapant : | " => suggestions : ['«\xa0', '“']
33 Mot inconnu : root => Vous pouvez utiliser votre nom d'utilisateur courant et mot de passe, mais si vous voulez utiliser le compte "root" de webmin, celui-ci sera inaccessible car désactivé sur Ubuntu. Il faut par conséquent le changer en tapant : | root
33 Guillemets typographiques fermants. => Vous pouvez utiliser votre nom d'utilisateur courant et mot de passe, mais si vous voulez utiliser le compte "root" de webmin, celui-ci sera inaccessible car désactivé sur Ubuntu. Il faut par conséquent le changer en tapant : | " => suggestions : ['\xa0»', '”']
33 Mot inconnu : webmin => Vous pouvez utiliser votre nom d'utilisateur courant et mot de passe, mais si vous voulez utiliser le compte "root" de webmin, celui-ci sera inaccessible car désactivé sur Ubuntu. Il faut par conséquent le changer en tapant : | webmin

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Redémarrer le service webmin : |    => suggestions : ['']
39 Mot inconnu : webmin =>   * Redémarrer le service webmin : | webmin

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo service webmin restart |    => suggestions : ['']
41 Mot inconnu : sudo =>   sudo service webmin restart | sudo
41 Mot inconnu : webmin =>   sudo service webmin restart | webmin
41 Mot inconnu : restart =>   sudo service webmin restart | restart

44 Mot inconnu : Webmin => Vous pouvez maintenant vous [[#Connexion à Webmin|connecter à Webmin]] | webmin
44 Mot inconnu : Webmin => Vous pouvez maintenant vous [[#Connexion à Webmin|connecter à Webmin]] | webmin

47 Mot inconnu : Webmin => ==== Connexion à Webmin ==== | webmin

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * __sans SSL__ :  |    => suggestions : ['']
50 Mot inconnu : __sans =>   * __sans SSL__ :  | __sans
50 Mot inconnu : SSL__ =>   * __sans SSL__ :  | ssl__
50 Espace(s) en fin de ligne à supprimer. =>   * __sans SSL__ :  |   => suggestions : ['']

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * [[http://votre_nom_de_serveur:10000/]] |      => suggestions : ['']
