
4 Mot inconnu : Glade2script => ======Glade2script====== | glade2script

6 Mot inconnu : pygtk-glade => Surcouche **pygtk-glade** pour gestion interface graphique depuis un script **bash**, **python** ou autre. | pygtk-glade
6 Mot inconnu : bash => Surcouche **pygtk-glade** pour gestion interface graphique depuis un script **bash**, **python** ou autre. | bash

9 Il manque un trait d’union. => Merci de se référer à celle ci: [[http://code.google.com/p/glade2script/wiki/Principe]]. | celle ci => suggestions : ['celle-ci']

12 Mot inconnu : glade => L'interface sera créée via glade­3 (projet libglade), un script bash, python ou autre, portant le même nom que le glade, y sera associé. | glade
12 Mot inconnu : libglade => L'interface sera créée via glade­3 (projet libglade), un script bash, python ou autre, portant le même nom que le glade, y sera associé. | libglade
12 Mot inconnu : bash => L'interface sera créée via glade­3 (projet libglade), un script bash, python ou autre, portant le même nom que le glade, y sera associé. | bash
12 Mot inconnu : glade => L'interface sera créée via glade­3 (projet libglade), un script bash, python ou autre, portant le même nom que le glade, y sera associé. | glade

15 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => glade2script, écrit en python, sert de passerelle entre le script et l'interface GTK. Il est connecté au stdout du script (chaque echo), traduit et envoie les commandes à GTK. | glade2script => suggestions : ['Glade2script']
15 Mot inconnu : glade2script => glade2script, écrit en python, sert de passerelle entre le script et l'interface GTK. Il est connecté au stdout du script (chaque echo), traduit et envoie les commandes à GTK. | glade2script
15 Mot inconnu : stdout => glade2script, écrit en python, sert de passerelle entre le script et l'interface GTK. Il est connecté au stdout du script (chaque echo), traduit et envoie les commandes à GTK. | stdout
15 Mot inconnu : echo => glade2script, écrit en python, sert de passerelle entre le script et l'interface GTK. Il est connecté au stdout du script (chaque echo), traduit et envoie les commandes à GTK. | echo
17 Mot inconnu : FIFO => Pour envoyer des informations depuis GTK au script, il écrit dans un fichier (FIFO), sur lequel le script est connecté et en récupère les données pour les interpréter sous forme d'appel à des fonctions ou de variables chargées dans l'environnement. | fifo

19 Mot inconnu : callbacks => Pour récupérer la valeur d'un widget, 2 solutions, soit via les **callbacks** (qui appellent nos fonctions avec arguments, à renseigner dans le **glade**) ou via les commandes **glade2script** qui agissent sur l'interface depuis notre script. | callbacks
19 Mot inconnu : glade => Pour récupérer la valeur d'un widget, 2 solutions, soit via les **callbacks** (qui appellent nos fonctions avec arguments, à renseigner dans le **glade**) ou via les commandes **glade2script** qui agissent sur l'interface depuis notre script. | glade
19 Mot inconnu : glade2script => Pour récupérer la valeur d'un widget, 2 solutions, soit via les **callbacks** (qui appellent nos fonctions avec arguments, à renseigner dans le **glade**) ou via les commandes **glade2script** qui agissent sur l'interface depuis notre script. | glade2script

21 Mot inconnu : __Les => __Les commandes seront du type :__ | __les
21 Mot inconnu : __ => __Les commandes seront du type :__ | __

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       # Commande glade2script et pygtk |        => suggestions : ['']
22 Mot inconnu : glade2script =>       # Commande glade2script et pygtk | glade2script
22 Mot inconnu : pygtk =>       # Commande glade2script et pygtk | pygtk

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       echo 'SET@_label1.set_text(“mon texte”)' |        => suggestions : ['']
23 Mot inconnu : echo =>       echo 'SET@_label1.set_text(“mon texte”)' | echo
23 Guillemets typographiques ouvrants. =>       echo 'SET@_label1.set_text(“mon texte”)' | ' => suggestions : ['“', '‘', '‹']
23 Il manque un espace avant la parenthèse. =>       echo 'SET@_label1.set_text(“mon texte”)' | ( => suggestions : [' (']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       echo 'GET@_entry1.get_text()' |        => suggestions : ['']
24 Mot inconnu : echo =>       echo 'GET@_entry1.get_text()' | echo
24 Guillemets typographiques ouvrants. =>       echo 'GET@_entry1.get_text()' | ' => suggestions : ['“', '‘', '‹']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       # Commande glade2script |        => suggestions : ['']
25 Mot inconnu : glade2script =>       # Commande glade2script | glade2script

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       echo "TREE@@LOAD@@treeview1@@/tmp/liste_tree" |        => suggestions : ['']
26 Mot inconnu : echo =>       echo "TREE@@LOAD@@treeview1@@/tmp/liste_tree" | echo
26 Guillemets typographiques ouvrants. =>       echo "TREE@@LOAD@@treeview1@@/tmp/liste_tree" | " => suggestions : ['«\xa0', '“']
26 Mot inconnu : TREE =>       echo "TREE@@LOAD@@treeview1@@/tmp/liste_tree" | tree

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       echo "IMG@@_img_tux@@tux.png@@150@@150" |        => suggestions : ['']
27 Mot inconnu : echo =>       echo "IMG@@_img_tux@@tux.png@@150@@150" | echo
27 Guillemets typographiques ouvrants. =>       echo "IMG@@_img_tux@@tux.png@@150@@150" | " => suggestions : ['«\xa0', '“']
27 Mot inconnu : IMG =>       echo "IMG@@_img_tux@@tux.png@@150@@150" | img
27 Guillemets typographiques fermants. =>       echo "IMG@@_img_tux@@tux.png@@150@@150" | " => suggestions : ['\xa0»', '”']

33 Mot inconnu : glade2script => Il y a 2 façons d'utiliser glade2script: | glade2script

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Dans le script principal, on appelle l'interface graphique et en sortie, on récupère les variables des différents |   => suggestions : ['']

38 Mot inconnu : zenity => widgets référencés en argument (comme le fait **zenity** par exemple ) | zenity
38 Pas d’espace avant ce signe. => widgets référencés en argument (comme le fait **zenity** par exemple ) |  ) => suggestions : [')']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       #/bin/bash |        => suggestions : ['']

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       SORTIE_GUI=$(glade2script -g ./MonFichier.glade -r '_entry1.get_text') |        => suggestions : ['']
40 Mot inconnu : SORTIE_GUI =>       SORTIE_GUI=$(glade2script -g ./MonFichier.glade -r '_entry1.get_text') | sortie_gui
40 Mot inconnu : glade2script =>       SORTIE_GUI=$(glade2script -g ./MonFichier.glade -r '_entry1.get_text') | glade2script
40 Il manque un espace à côté du tiret. =>       SORTIE_GUI=$(glade2script -g ./MonFichier.glade -r '_entry1.get_text') |  - => suggestions : [' – ', ' — ']
40 Mot inconnu : MonFichier =>       SORTIE_GUI=$(glade2script -g ./MonFichier.glade -r '_entry1.get_text') | monfichier
40 Mot inconnu : glade =>       SORTIE_GUI=$(glade2script -g ./MonFichier.glade -r '_entry1.get_text') | glade
40 Guillemets typographiques ouvrants. =>       SORTIE_GUI=$(glade2script -g ./MonFichier.glade -r '_entry1.get_text') | ' => suggestions : ['“', '‘', '‹']
40 Mot inconnu : _entry1 =>       SORTIE_GUI=$(glade2script -g ./MonFichier.glade -r '_entry1.get_text') | _entry1
40 Mot inconnu : get_text =>       SORTIE_GUI=$(glade2script -g ./MonFichier.glade -r '_entry1.get_text') | get_text

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       echo “$SORTIE_GUI” |        => suggestions : ['']
41 Mot inconnu : echo =>       echo “$SORTIE_GUI” | echo
41 Mot inconnu : SORTIE_GUI =>       echo “$SORTIE_GUI” | sortie_gui

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       #Résultat: |        => suggestions : ['']

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       _entry1_get_text=”texte saisie dans l'entrée” |        => suggestions : ['']
43 Mot inconnu : _entry1_get_text =>       _entry1_get_text=”texte saisie dans l'entrée” | _entry1_get_text
43 Guillemets ouvrants introuvables dans ce paragraphe. =>       _entry1_get_text=”texte saisie dans l'entrée” | ” => suggestions : []

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       EXIT=”ok” |        => suggestions : ['']
44 Mot inconnu : ok =>       EXIT=”ok” | ok
44 Guillemets ouvrants introuvables dans ce paragraphe. =>       EXIT=”ok” | ” => suggestions : []

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>        |        => suggestions : ['']

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Des traitements seront réalisés en réaction à l'interface, ce code se trouvera dans le script associé au glade, l'interface ne devra pas être fermer pour pouvoir récupérer les données saisies. |   => suggestions : ['']
48 Mot inconnu : glade =>  Des traitements seront réalisés en réaction à l'interface, ce code se trouvera dans le script associé au glade, l'interface ne devra pas être fermer pour pouvoir récupérer les données saisies. | glade
48 Après “être”, le verbe ne devrait pas être à l’infinitif. =>  Des traitements seront réalisés en réaction à l'interface, ce code se trouvera dans le script associé au glade, l'interface ne devra pas être fermer pour pouvoir récupérer les données saisies. | fermer => suggestions : ['fermées', 'fermés', 'fermée', 'fermé']

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Pour lancer la machine, il suffit de créer un petit script où se trouve la commande glade2script. |   => suggestions : ['']
49 Mot inconnu : glade2script =>  Pour lancer la machine, il suffit de créer un petit script où se trouve la commande glade2script. | glade2script

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  On peut mixer les deux, utilisation dynamique et récupération des variables en sortie quand même, selon les besoins. |   => suggestions : ['']

52 Mot inconnu : ca => Cela peut paraître compliqué, mais ca ne l'est pas du tout à l'usage, le petit exemple ci-dessous vous le prouvera. | ca

56 Mot inconnu : glade => Il faut d'abord créer la boite de dialogue dans glade. | glade

57 Mot inconnu : clicked => Dans les signaux des boutons, renseigner pour le signal clicked => on_clicked | clicked
57 Mot inconnu : on_clicked => Dans les signaux des boutons, renseigner pour le signal clicked => on_clicked | on_clicked

58 Mot inconnu : btn_ok => Donner un nom explicite aux boutons, ici, btn_ok, btn_no | btn_ok
58 Mot inconnu : btn_no => Donner un nom explicite aux boutons, ici, btn_ok, btn_no | btn_no

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Le script associé au glade et portant le même nom. |   => suggestions : ['']
61 Mot inconnu : glade =>  Le script associé au glade et portant le même nom. | glade

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       #! /bin/bash |        => suggestions : ['']

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       PID=$$ |        => suggestions : ['']
63 Mot inconnu : PID =>       PID=$$ | pid

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       FIFO=/tmp/FIFO${PID} |        => suggestions : ['']
64 Mot inconnu : FIFO =>       FIFO=/tmp/FIFO${PID} | fifo
64 Mot inconnu : PID =>       FIFO=/tmp/FIFO${PID} | pid

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       mkfifo $FIFO |        => suggestions : ['']
65 Mot inconnu : mkfifo =>       mkfifo $FIFO | mkfifo
65 Mot inconnu : FIFO =>       mkfifo $FIFO | fifo

66 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       function btn_ok() |        => suggestions : ['']
66 Mot inconnu : function =>       function btn_ok() | function
66 Mot inconnu : btn_ok =>       function btn_ok() | btn_ok

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       { |        => suggestions : ['']

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       echo 'EXIT@@SAVE' |        => suggestions : ['']
68 Mot inconnu : echo =>       echo 'EXIT@@SAVE' | echo
68 Guillemets typographiques ouvrants. =>       echo 'EXIT@@SAVE' | ' => suggestions : ['“', '‘', '‹']
68 Guillemets typographiques fermants. =>       echo 'EXIT@@SAVE' | ' => suggestions : ['”', '’', '›']

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       } |        => suggestions : ['']

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       function btn_no() |        => suggestions : ['']
70 Mot inconnu : function =>       function btn_no() | function
70 Mot inconnu : btn_no =>       function btn_no() | btn_no

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       { |        => suggestions : ['']

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       echo 'EXIT@@' |        => suggestions : ['']
72 Mot inconnu : echo =>       echo 'EXIT@@' | echo
72 Guillemets typographiques ouvrants. =>       echo 'EXIT@@' | ' => suggestions : ['“', '‘', '‹']

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       } |        => suggestions : ['']

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       # La boucle imbriquée qui suit est le coeur du système de |        => suggestions : ['']
74 Mot inconnu : coeur =>       # La boucle imbriquée qui suit est le coeur du système de | coeur

75 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       # communication entre GTK et bash. |        => suggestions : ['']
75 Mot inconnu : bash =>       # communication entre GTK et bash. | bash

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       # Elle devra toujours se trouver en bas du script associé au |        => suggestions : ['']

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       # glade. Vous n'avez pas à vous en soucier, mais il y est possible |        => suggestions : ['']
77 Mot inconnu : glade =>       # glade. Vous n'avez pas à vous en soucier, mais il y est possible | glade

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       # d'intercepter les signaux pour en faire autre chose que |        => suggestions : ['']

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       # d'appeler une fonction ou charger une variable... |        => suggestions : ['']
79 Typographie : points de suspension. Utilisez le caractère dédié. =>       # d'appeler une fonction ou charger une variable... | ... => suggestions : ['…']

80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       while read ligne; do |        => suggestions : ['']
80 Mot inconnu : while =>       while read ligne; do | while
80 Mot inconnu : read =>       while read ligne; do | read

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>             if [[ "$ligne" =~ GET@ ]]; then |              => suggestions : ['']
81 Pas d’espace après ce signe. =>             if [[ "$ligne" =~ GET@ ]]; then | [  => suggestions : ['[']
81 Guillemets typographiques fermants. =>             if [[ "$ligne" =~ GET@ ]]; then | " => suggestions : ['\xa0»', '”']
81 Mot inconnu : GET =>             if [[ "$ligne" =~ GET@ ]]; then | get
81 Pas d’espace avant ce signe. =>             if [[ "$ligne" =~ GET@ ]]; then |  ] => suggestions : [']']
81 Mot inconnu : then =>             if [[ "$ligne" =~ GET@ ]]; then | then

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                  eval ${ligne#*@} |                   => suggestions : ['']
82 Mot inconnu : eval =>                  eval ${ligne#*@} | eval

