1 Mot inconnu : glasses3d => ====== glasses3d ====== | glasses3d

3 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => <note important>glasses3d est un driver __en cours de développement__ permettant l'utilisation de lunettes 3D actives. Pour le moment seules les lunettes Nvidia 3D Vision sont supportées. </note> | glasses3d => suggestions : ['Glasses3d']
3 Mot inconnu : glasses3d => <note important>glasses3d est un driver __en cours de développement__ permettant l'utilisation de lunettes 3D actives. Pour le moment seules les lunettes Nvidia 3D Vision sont supportées. </note> | glasses3d
3 Mot inconnu : __en => <note important>glasses3d est un driver __en cours de développement__ permettant l'utilisation de lunettes 3D actives. Pour le moment seules les lunettes Nvidia 3D Vision sont supportées. </note> | __en
3 Mot inconnu : développement__ => <note important>glasses3d est un driver __en cours de développement__ permettant l'utilisation de lunettes 3D actives. Pour le moment seules les lunettes Nvidia 3D Vision sont supportées. </note> | développement__
5 Mot inconnu : stereoscopie => <note tip>Le driver permet seulement le contrôle des lunettes : pour voir des logiciels en 3 dimensions il faut utiliser des logiciels qui ont été conçus pour ce genre d'utilisation. Une liste de logiciels est disponible sur la page [[stereoscopie|Stéréoscopie]]</note> | stereoscopie

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   git clone git://github.com/magestik/glasses3d.git |    => suggestions : ['']
12 Mot inconnu : github =>   git clone git://github.com/magestik/glasses3d.git | github
12 Mot inconnu : magestik =>   git clone git://github.com/magestik/glasses3d.git | magestik
12 Mot inconnu : glasses3d =>   git clone git://github.com/magestik/glasses3d.git | glasses3d
12 Il manque un espace. =>   git clone git://github.com/magestik/glasses3d.git | git => suggestions : [' git']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd glasses3d |    => suggestions : ['']
13 Mot inconnu : glasses3d =>   cd glasses3d | glasses3d

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   make |    => suggestions : ['']
14 Mot inconnu : make =>   make | make

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

17 Espace(s) en fin de ligne à supprimer. => Un firmware **non-libre**, doit être chargé dans l’émetteur à chaque démarrage de l'ordinateur.  |   => suggestions : ['']

19 Mot inconnu : nvstusb => Ce firmware doit être placé dans **/lib/firmware/** et être nommé **nvstusb.fw** ! | nvstusb
19 Mot inconnu : fw => Ce firmware doit être placé dans **/lib/firmware/** et être nommé **nvstusb.fw** ! | fw

23 Mot inconnu : root => Pour le déplacer (les droits root étant requis) vous pouvez utiliser la commande: | root

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo cp nvstusb.fw /lib/firmware/nvstusb.fw |    => suggestions : ['']
24 Mot inconnu : sudo =>   sudo cp nvstusb.fw /lib/firmware/nvstusb.fw | sudo
24 Mot inconnu : cp =>   sudo cp nvstusb.fw /lib/firmware/nvstusb.fw | cp
24 Mot inconnu : nvstusb =>   sudo cp nvstusb.fw /lib/firmware/nvstusb.fw | nvstusb
24 Mot inconnu : fw =>   sudo cp nvstusb.fw /lib/firmware/nvstusb.fw | fw

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo insmod glasses3d.ko |    => suggestions : ['']
26 Mot inconnu : sudo =>   sudo insmod glasses3d.ko | sudo
26 Mot inconnu : insmod =>   sudo insmod glasses3d.ko | insmod
26 Mot inconnu : glasses3d =>   sudo insmod glasses3d.ko | glasses3d
26 Il manque un espace. =>   sudo insmod glasses3d.ko | ko => suggestions : [' ko']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://forum.ubuntu-fr.org/viewtopic.php?id=360579|Discussion « La Stereo-3D sous Linux »]] sur le forum Ubuntu-fr |    => suggestions : ['']
30 Mot inconnu : Stereo-3D =>   * [[https://forum.ubuntu-fr.org/viewtopic.php?id=360579|Discussion « La Stereo-3D sous Linux »]] sur le forum Ubuntu-fr | stereo-3d
