3 Mot inconnu : The [[23:26]] => ====== Ubuntu 10.10 (« The Maverick Meerkat ») ====== <|> the
3 Mot inconnu : Maverick [[27:35]] => ====== Ubuntu 10.10 (« The Maverick Meerkat ») ====== <|> maverick
3 Mot inconnu : Meerkat [[36:43]] => ====== Ubuntu 10.10 (« The Maverick Meerkat ») ====== <|> meerkat

21 Mot inconnu : Peaufinement [[5:17]] => ==== Peaufinement de l'identité visuelle ===== <|> peaufinement
25 Mot inconnu : Droid [[246:251]] => Le jeu d'icônes est aussi quelque peu modifié : des nouvelles icônes pour les flèches de direction dans le gestionnaire de fichiers Nautilus, une icône retravaillée pour les dossiers personnels, et des nouvelles icônes pour des matériels tels le Droid de Motorola, l'iPod Touch d'Apple et le disque dur. <|> droid
25 Mot inconnu : Motorola [[255:263]] => Le jeu d'icônes est aussi quelque peu modifié : des nouvelles icônes pour les flèches de direction dans le gestionnaire de fichiers Nautilus, une icône retravaillée pour les dossiers personnels, et des nouvelles icônes pour des matériels tels le Droid de Motorola, l'iPod Touch d'Apple et le disque dur. <|> motorola

38 Mot inconnu : Player [[150:156]] => Quelques options supplémentaires ont été ajoutées au processus d'installation. Ainsi, l'utilisateur peut installer des logiciels propriétaires (Flash Player, pilotes propriétaires) ou pouvant poser des problèmes légaux (codec MP3 libre, légal en Europe mais pas aux USA), durant le processus d'installation. De plus, le téléchargement automatique des mises à jour durant le processus d'installation devient optionnel, accélérant ainsi l'installation d'Ubuntu pour ceux qui préféreraient installer les mises à jour plus tard. Ces options sont toutes deux en //opt-in// : l'utilisateur doit valider ces options pour qu'elles soient prises en compte par l'installateur. <|> player

52 Mot inconnu : hors-dépots [[26:37]] => L'installation de paquets hors-dépots est désormais aussi gérée par la Logithèque.   <|> hors-dépots
52 Espace(s) en fin de ligne à supprimer. [[82:84]] => L'installation de paquets hors-dépots est désormais aussi gérée par la Logithèque.   <|>   
65 Mot inconnu : Gwibber [[4:11]] =>   * Gwibber, le client de réseaux sociaux, a été mis à jour pour prendre en charge les nouvelles méthodes d'authentification de Twitter. <|> gwibber

69 Mot inconnu : Netbook [[10:17]] => == Ubuntu Netbook Edition == <|> netbook
69 Mot inconnu : Edition [[18:25]] => == Ubuntu Netbook Edition == <|> edition
74 Mot inconnu : Evolution [[4:13]] =>   * Evolution Express est disponible et convient mieux aux interfaces de netbooks. <|> evolution
74 Mot inconnu : netbooks [[73:81]] =>   * Evolution Express est disponible et convient mieux aux interfaces de netbooks. <|> netbooks
82 Accord de genre erroné : « La version » est féminin, « bêta » est masculin. [[15:19]] =>   * La version bêta de Kubuntu inclut la plate-forme et les applications KDE 4.5.0. La récente publication 4.5.1 sera proposée pour la version finale de Kubuntu ; <|> bêta
83 Mot inconnu : Netbook [[15:22]] =>   * Les images Netbook et Poste de travail de Kubuntu sont fusionnées, incluant donc à la fois les interfaces Plasma Desktop et Plasma Netbook. La présentation appropriée à votre machine sera sélectionnée à votre connexion, et vous pouvez choisir votre propre interface dans System Settings; <|> netbook
83 Mot inconnu : Netbook [[135:142]] =>   * Les images Netbook et Poste de travail de Kubuntu sont fusionnées, incluant donc à la fois les interfaces Plasma Desktop et Plasma Netbook. La présentation appropriée à votre machine sera sélectionnée à votre connexion, et vous pouvez choisir votre propre interface dans System Settings; <|> netbook
83 Mot inconnu : System [[275:281]] =>   * Les images Netbook et Poste de travail de Kubuntu sont fusionnées, incluant donc à la fois les interfaces Plasma Desktop et Plasma Netbook. La présentation appropriée à votre machine sera sélectionnée à votre connexion, et vous pouvez choisir votre propre interface dans System Settings; <|> system
