
4 Mot inconnu : OpenUpload => ====== OpenUpload ====== | openupload

7 Mot inconnu : OpenUpload => **OpenUpload** est une application pour créer un serveur public ou privé de téléchargement de fichiers comme MegaUpload ou RapidShare. | openupload
7 Mot inconnu : MegaUpload => **OpenUpload** est une application pour créer un serveur public ou privé de téléchargement de fichiers comme MegaUpload ou RapidShare. | megaupload
7 Mot inconnu : RapidShare => **OpenUpload** est une application pour créer un serveur public ou privé de téléchargement de fichiers comme MegaUpload ou RapidShare. | rapidshare

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * authentification à l'aide d'une base de données ou d'un serveur LDAP/AD |    => suggestions : ['']
11 Mot inconnu : LDAP =>   * authentification à l'aide d'une base de données ou d'un serveur LDAP/AD | ldap

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * contrôle d'accès par groupes |    => suggestions : ['']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * différents plugins pour contrôler l'upload/download des fichiers (captcha, protection par mot de passe, envoi d'email, bannissement d'IP, etc...) |    => suggestions : ['']
13 Mot inconnu : upload =>   * différents plugins pour contrôler l'upload/download des fichiers (captcha, protection par mot de passe, envoi d'email, bannissement d'IP, etc...) | upload
13 Mot inconnu : download =>   * différents plugins pour contrôler l'upload/download des fichiers (captcha, protection par mot de passe, envoi d'email, bannissement d'IP, etc...) | download
13 Mot inconnu : email =>   * différents plugins pour contrôler l'upload/download des fichiers (captcha, protection par mot de passe, envoi d'email, bannissement d'IP, etc...) | email
13 Un seul point après « etc. » =>   * différents plugins pour contrôler l'upload/download des fichiers (captcha, protection par mot de passe, envoi d'email, bannissement d'IP, etc...) | etc... => suggestions : ['etc.']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée, |    => suggestions : ['']

55 Mot inconnu : uploadés => Par exemple si l'on souhaite que la taille maximum des fichiers uploadés soit de 1Go : | uploadés

74 Mot inconnu : OpenUpload => ==== Configuration de OpenUpload ==== | openupload

79 Guillemets typographiques ouvrants. => ("ip_serveur" est l'adresse de votre serveur, __par exemple__ 192.168.1.4) | " => suggestions : ['«\xa0', '“']
79 Mot inconnu : ip_serveur => ("ip_serveur" est l'adresse de votre serveur, __par exemple__ 192.168.1.4) | ip_serveur
79 Guillemets typographiques fermants. => ("ip_serveur" est l'adresse de votre serveur, __par exemple__ 192.168.1.4) | " => suggestions : ['\xa0»', '”']
79 Mot inconnu : __par => ("ip_serveur" est l'adresse de votre serveur, __par exemple__ 192.168.1.4) | __par
79 Mot inconnu : exemple__ => ("ip_serveur" est l'adresse de votre serveur, __par exemple__ 192.168.1.4) | exemple__
87 Mot inconnu : email => **Service mode** : Le site est public pour les utilisateurs non enregistrés mais les utilisateurs enregistrés ont accès à plus de fonctionnalités (protection par mot de passe, envoi d'email, etc..) | email
87 Typographie : un ou trois points ? => **Service mode** : Le site est public pour les utilisateurs non enregistrés mais les utilisateurs enregistrés ont accès à plus de fonctionnalités (protection par mot de passe, envoi d'email, etc..) | .. => suggestions : ['…', '.']

89 Mot inconnu : Restricted => **Restricted mode** : Les utilisateurs doivent s'enregistrer et se connecter pour téléverser des fichiers. Le téléchargement est public. | restricted

91 Mot inconnu : Private => **Private mode** : les utilisateurs ne peuvent pas s'enregistrer (c'est l'administrateur du site qui les ajoute) et ils doivent se connecter pour pouvoir téléverser des fichiers. | private

97 Mot inconnu : Email => **Email** : permet aux utilisateurs d'envoyer un email avec les détails du téléchargement. (nécessite l'installation d'un serveur mail) | email
97 Mot inconnu : email => **Email** : permet aux utilisateurs d'envoyer un email avec les détails du téléchargement. (nécessite l'installation d'un serveur mail) | email

99 Mot inconnu : Password => **Password** : permet d'ajouter une protection par mot de passe aux fichiers en téléchargement. | password

103 Mot inconnu : Filesize => **Filesize** : limite la taille des fichiers téléversés. | filesize

105 Mot inconnu : Mimetype => **Mimetype** : permet de limiter les types MIME des fichiers téléversés. | mimetype

107 Mot inconnu : Compress => **Compress** : permet de compresser un fichier téléversé. | compress

120 Mot inconnu : OpenUpload => [[http://openupload.sourceforge.net/|Le site du projet OpenUpload]] | openupload

123 Il manque un espace. => //Contributeurs:demonipuch// | demonipuch => suggestions : [' demonipuch']
123 Mot inconnu : demonipuch => //Contributeurs:demonipuch// | demonipuch
