
4 Pas d’espace après ce signe. => ====== User Mode Linux ( UML ) ====== <|> (  => suggestions : ['(']
4 Mot inconnu : UML => ====== User Mode Linux ( UML ) ====== <|> uml
4 Pas d’espace avant ce signe. => ====== User Mode Linux ( UML ) ====== <|>  ) => suggestions : [')']

6 Mot inconnu : Feisty => == Pour Ubuntu Feisty == <|> feisty

8 Mot inconnu : UML => « User Mode Linux » (ou UML) est un noyau Linux compilé qui peut être exécuté dans l'espace utilisateur comme un simple programme. Il permet donc d'avoir plusieurs systèmes d'exploitation virtuels (systèmes nommés « invités ») sur une seule machine physique GNU/Linux (système nommé « hôte »). <|> uml



15 Mot inconnu : UML => Pour faire fonctionner UML, il faut récupérer trois choses :\\  <|> uml


28 Typographie : points de suspension. Utilisez le caractère dédié. => === Les récupérer... === <|> ... => suggestions : ['…']

32 Mot inconnu : kernel32-2 => Faites bien attention de prendre la bonne version selon votre processeur, 32-bit ou 64-bit. Dans notre exemple nous allons utiliser le noyau **kernel32-2.6.16.43-bs2** et le système de fichiers **Ubuntu-FeistyFawn-i386-root_fs.bz2** . <|> kernel32-2
32 Mot inconnu : Ubuntu-FeistyFawn-i386-root_fs => Faites bien attention de prendre la bonne version selon votre processeur, 32-bit ou 64-bit. Dans notre exemple nous allons utiliser le noyau **kernel32-2.6.16.43-bs2** et le système de fichiers **Ubuntu-FeistyFawn-i386-root_fs.bz2** . <|> ubuntu-feistyfawn-i386-root_fs
32 Mot inconnu : bz2 => Faites bien attention de prendre la bonne version selon votre processeur, 32-bit ou 64-bit. Dans notre exemple nous allons utiliser le noyau **kernel32-2.6.16.43-bs2** et le système de fichiers **Ubuntu-FeistyFawn-i386-root_fs.bz2** . <|> bz2

34 Typographie : points de suspension. Utilisez le caractère dédié. => === Les mettre en œuvre... === <|> ... => suggestions : ['…']



63 Mot inconnu : root => vous pouvez ensuite vous connecter avec le compte **root** (sans mot de passe).\\ <|> root

68 Guillemets typographiques ouvrants. => ==== Ajout de l'utilisateur dans le groupe "uml-net" ==== <|> " => suggestions : ['«\xa0', '“']
68 Mot inconnu : uml-net => ==== Ajout de l'utilisateur dans le groupe "uml-net" ==== <|> uml-net
68 Guillemets typographiques fermants. => ==== Ajout de l'utilisateur dans le groupe "uml-net" ==== <|> " => suggestions : ['\xa0»', '”']

70 Guillemets typographiques ouvrants. => Ajoutez votre utilisateur dans le groupe "uml-net" : <|> " => suggestions : ['«\xa0', '“']
70 Mot inconnu : uml-net => Ajoutez votre utilisateur dans le groupe "uml-net" : <|> uml-net
70 Guillemets typographiques fermants. => Ajoutez votre utilisateur dans le groupe "uml-net" : <|> " => suggestions : ['\xa0»', '”']

85 Mot inconnu : eth0 => Votre interface eth0 est probablement déjà configurée avec un truc du genre : <|> eth0

102 Typographie : points de suspension. Utilisez le caractère dédié. => Ceci n'est plus nécessaire... Commentez ces lignes (#) <|> ... => suggestions : ['…']

104 Mot inconnu : eth0 => Il faut d'abord créer deux interfaces, une réelle (eth0) et une virtuelle (tap1), puis les bridger (bridge0), pour cela, ajoutez : <|> eth0
104 Mot inconnu : tap1 => Il faut d'abord créer deux interfaces, une réelle (eth0) et une virtuelle (tap1), puis les bridger (bridge0), pour cela, ajoutez : <|> tap1
104 Mot inconnu : bridge0 => Il faut d'abord créer deux interfaces, une réelle (eth0) et une virtuelle (tap1), puis les bridger (bridge0), pour cela, ajoutez : <|> bridge0

119 Mot inconnu : uml-net => où <user> (sans les <>) correspond exactement à l'utilisateur précédemment déclaré dans le groupe uml-net. <|> uml-net

121 Typographie : points de suspension. Utilisez le caractère dédié. => Maintenant, le bridge... Il y a plusieurs solutions : soit l'OS hôte (Host) est en client DHCP (ce qui n'est pas pratique si vous voulez en faire un smb server pour partager des fichiers et des imprimantes avec l'OS invité (Guest)), soit il est configuré en IP fixe. On choisira l'une ou l'autre des solutions ci-dessous. Evidemment, ceci rend impossible une configuration future avec les outils Gnome. <|> ... => suggestions : ['…']
121 Mot inconnu : Host => Maintenant, le bridge... Il y a plusieurs solutions : soit l'OS hôte (Host) est en client DHCP (ce qui n'est pas pratique si vous voulez en faire un smb server pour partager des fichiers et des imprimantes avec l'OS invité (Guest)), soit il est configuré en IP fixe. On choisira l'une ou l'autre des solutions ci-dessous. Evidemment, ceci rend impossible une configuration future avec les outils Gnome. <|> host
121 Mot inconnu : smb => Maintenant, le bridge... Il y a plusieurs solutions : soit l'OS hôte (Host) est en client DHCP (ce qui n'est pas pratique si vous voulez en faire un smb server pour partager des fichiers et des imprimantes avec l'OS invité (Guest)), soit il est configuré en IP fixe. On choisira l'une ou l'autre des solutions ci-dessous. Evidemment, ceci rend impossible une configuration future avec les outils Gnome. <|> smb
121 Mot inconnu : server => Maintenant, le bridge... Il y a plusieurs solutions : soit l'OS hôte (Host) est en client DHCP (ce qui n'est pas pratique si vous voulez en faire un smb server pour partager des fichiers et des imprimantes avec l'OS invité (Guest)), soit il est configuré en IP fixe. On choisira l'une ou l'autre des solutions ci-dessous. Evidemment, ceci rend impossible une configuration future avec les outils Gnome. <|> server
121 Mot inconnu : Guest => Maintenant, le bridge... Il y a plusieurs solutions : soit l'OS hôte (Host) est en client DHCP (ce qui n'est pas pratique si vous voulez en faire un smb server pour partager des fichiers et des imprimantes avec l'OS invité (Guest)), soit il est configuré en IP fixe. On choisira l'une ou l'autre des solutions ci-dessous. Evidemment, ceci rend impossible une configuration future avec les outils Gnome. <|> guest
121 Mot inconnu : Evidemment => Maintenant, le bridge... Il y a plusieurs solutions : soit l'OS hôte (Host) est en client DHCP (ce qui n'est pas pratique si vous voulez en faire un smb server pour partager des fichiers et des imprimantes avec l'OS invité (Guest)), soit il est configuré en IP fixe. On choisira l'une ou l'autre des solutions ci-dessous. Evidemment, ceci rend impossible une configuration future avec les outils Gnome. <|> evidemment

125 Copier-coller pour la verbe ou l’action, copié-collé (et ses variantes) pour ce qui est copié-collé. => Insérer **après les interfaces ci-dessus** (copier/coller les données IP de l'ex eth0 que vous avez commentées plus haut) : <|> copier/coller => suggestions : ['copier-coller', 'copié-collé', 'copiée-collée', 'copiés-collés', 'copiées-collées']
125 S’il s’agit d’un seul mot, il manque un trait d’union. => Insérer **après les interfaces ci-dessus** (copier/coller les données IP de l'ex eth0 que vous avez commentées plus haut) : <|> ex eth => suggestions : ['ex-eth']
125 Mot inconnu : eth0 => Insérer **après les interfaces ci-dessus** (copier/coller les données IP de l'ex eth0 que vous avez commentées plus haut) : <|> eth0

153 Mot inconnu : reboot => Un reboot du Host ne sera pas nécessaire, pour s'assurer que les nouvelles configurations réseau sont bien prises en compte. Il suffira de lancer : <|> reboot
153 Mot inconnu : Host => Un reboot du Host ne sera pas nécessaire, pour s'assurer que les nouvelles configurations réseau sont bien prises en compte. Il suffira de lancer : <|> host
153 Accord de nombre erroné avec « les nouvelles configurations » : « réseau » devrait être au pluriel. => Un reboot du Host ne sera pas nécessaire, pour s'assurer que les nouvelles configurations réseau sont bien prises en compte. Il suffira de lancer : <|> réseau => suggestions : ['réseaux']

157 Mot inconnu : Guest => Vous avez maintenant un bridge qui met à disposition de l'OS Guest un accès complet au LAN. <|> guest
157 Mot inconnu : LAN => Vous avez maintenant un bridge qui met à disposition de l'OS Guest un accès complet au LAN. <|> lan

161 Mot inconnu : Guest => Dans les paramètres de configuration de l'OS Guest, il vous reste à configurer le "Host Interface Networking" avec <tap1> comme interface (sans les <>).  <|> guest
161 Guillemets typographiques ouvrants. => Dans les paramètres de configuration de l'OS Guest, il vous reste à configurer le "Host Interface Networking" avec <tap1> comme interface (sans les <>).  <|> " => suggestions : ['«\xa0', '“']
161 Mot inconnu : Host => Dans les paramètres de configuration de l'OS Guest, il vous reste à configurer le "Host Interface Networking" avec <tap1> comme interface (sans les <>).  <|> host
161 Mot inconnu : Networking => Dans les paramètres de configuration de l'OS Guest, il vous reste à configurer le "Host Interface Networking" avec <tap1> comme interface (sans les <>).  <|> networking
161 Guillemets typographiques fermants. => Dans les paramètres de configuration de l'OS Guest, il vous reste à configurer le "Host Interface Networking" avec <tap1> comme interface (sans les <>).  <|> " => suggestions : ['\xa0»', '”']

163 Mot inconnu : LAN => Si votre LAN dispose d'un serveur DHCP, vous pouvez configurer l'OS Guest en client DHCP, sinon, une adresse IP fixe fera l'affaire (différente de celle du Host, bien sûr). <|> lan
163 Mot inconnu : Guest => Si votre LAN dispose d'un serveur DHCP, vous pouvez configurer l'OS Guest en client DHCP, sinon, une adresse IP fixe fera l'affaire (différente de celle du Host, bien sûr). <|> guest
163 Mot inconnu : Host => Si votre LAN dispose d'un serveur DHCP, vous pouvez configurer l'OS Guest en client DHCP, sinon, une adresse IP fixe fera l'affaire (différente de celle du Host, bien sûr). <|> host

