
4 Mot inconnu : SopCast => ====== SopCast : un client Web-TV P2P ====== | sopcast
6 Mot inconnu : p2ptv => [[http://www.sopcast.org/|SopCast]] est un programme chinois de p2ptv qui permet de regarder des flux vidéo rendus disponibles par d'autres internautes. Le programme [[gmlive]] permet la même chose. | p2ptv
6 Mot inconnu : gmlive => [[http://www.sopcast.org/|SopCast]] est un programme chinois de p2ptv qui permet de regarder des flux vidéo rendus disponibles par d'autres internautes. Le programme [[gmlive]] permet la même chose. | gmlive

13 Mot inconnu : Apparement => <note warning>Apparement SopCast ne fonctionne pas avec une version de vlc supérieure à la version 1.0.6. | apparement
13 Mot inconnu : SopCast => <note warning>Apparement SopCast ne fonctionne pas avec une version de vlc supérieure à la version 1.0.6. | sopcast
13 Mot inconnu : vlc => <note warning>Apparement SopCast ne fonctionne pas avec une version de vlc supérieure à la version 1.0.6. | vlc
15 Mot inconnu : VLCWidget => Pour résoudre ce problème il suffit d'ouvrir le fichier : VLCWidget.py | vlcwidget
15 Mot inconnu : py => Pour résoudre ce problème il suffit d'ouvrir le fichier : VLCWidget.py | py

17 Mot inconnu : sudo => sudo gedit /usr/share/sopcast-player/lib/VLCWidget.py | sudo
17 Mot inconnu : gedit => sudo gedit /usr/share/sopcast-player/lib/VLCWidget.py | gedit

21 Mot inconnu : vlc_1_0_x => import vlc_1_0_x | vlc_1_0_x
23 Mot inconnu : vlc_1_0_x => puis remplacer la ligne 51 : instance=vlc_1_0_x.Instance() par : | vlc_1_0_x
23 Il manque un espace. => puis remplacer la ligne 51 : instance=vlc_1_0_x.Instance() par : | instance => suggestions : [' Instance']

25 Mot inconnu : vlc_1_1_x => instance=vlc_1_1_x.Instance() | vlc_1_1_x
25 Il manque un espace. => instance=vlc_1_1_x.Instance() | instance => suggestions : [' Instance']

39 Espace(s) surnuméraire(s) à supprimer. => Lire ce document  https://ubuntuhandbook.org/index.php/2017/03/install-sopcast-player-ubuntu-16-04-16-10/ |    => suggestions : [' ']

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

56 Mot inconnu : mplayer => ==== Utiliser un autre lecteur que mplayer ==== | mplayer

57 Mot inconnu : gtk-SopCast => Par défaut gtk-SopCast cherche à lancer mplayer pour lire les flux. Pour utiliser un autre lecteur, il faut cliquer sur l'onglet "Config" puis dans la ligne "Player" remplacer la ligne courante complète par la commande du lecteur de son choix. Par exemple, "vlc". | gtk-sopcast
57 Mot inconnu : mplayer => Par défaut gtk-SopCast cherche à lancer mplayer pour lire les flux. Pour utiliser un autre lecteur, il faut cliquer sur l'onglet "Config" puis dans la ligne "Player" remplacer la ligne courante complète par la commande du lecteur de son choix. Par exemple, "vlc". | mplayer
57 Guillemets typographiques ouvrants. => Par défaut gtk-SopCast cherche à lancer mplayer pour lire les flux. Pour utiliser un autre lecteur, il faut cliquer sur l'onglet "Config" puis dans la ligne "Player" remplacer la ligne courante complète par la commande du lecteur de son choix. Par exemple, "vlc". | " => suggestions : ['«\xa0', '“']
57 Guillemets typographiques fermants. => Par défaut gtk-SopCast cherche à lancer mplayer pour lire les flux. Pour utiliser un autre lecteur, il faut cliquer sur l'onglet "Config" puis dans la ligne "Player" remplacer la ligne courante complète par la commande du lecteur de son choix. Par exemple, "vlc". | " => suggestions : ['\xa0»', '”']
57 Guillemets typographiques ouvrants. => Par défaut gtk-SopCast cherche à lancer mplayer pour lire les flux. Pour utiliser un autre lecteur, il faut cliquer sur l'onglet "Config" puis dans la ligne "Player" remplacer la ligne courante complète par la commande du lecteur de son choix. Par exemple, "vlc". | " => suggestions : ['«\xa0', '“']
57 Mot inconnu : Player => Par défaut gtk-SopCast cherche à lancer mplayer pour lire les flux. Pour utiliser un autre lecteur, il faut cliquer sur l'onglet "Config" puis dans la ligne "Player" remplacer la ligne courante complète par la commande du lecteur de son choix. Par exemple, "vlc". | player
57 Guillemets typographiques fermants. => Par défaut gtk-SopCast cherche à lancer mplayer pour lire les flux. Pour utiliser un autre lecteur, il faut cliquer sur l'onglet "Config" puis dans la ligne "Player" remplacer la ligne courante complète par la commande du lecteur de son choix. Par exemple, "vlc". | " => suggestions : ['\xa0»', '”']
57 Guillemets typographiques ouvrants. => Par défaut gtk-SopCast cherche à lancer mplayer pour lire les flux. Pour utiliser un autre lecteur, il faut cliquer sur l'onglet "Config" puis dans la ligne "Player" remplacer la ligne courante complète par la commande du lecteur de son choix. Par exemple, "vlc". | " => suggestions : ['«\xa0', '“']
57 Mot inconnu : vlc => Par défaut gtk-SopCast cherche à lancer mplayer pour lire les flux. Pour utiliser un autre lecteur, il faut cliquer sur l'onglet "Config" puis dans la ligne "Player" remplacer la ligne courante complète par la commande du lecteur de son choix. Par exemple, "vlc". | vlc
57 Guillemets typographiques fermants. => Par défaut gtk-SopCast cherche à lancer mplayer pour lire les flux. Pour utiliser un autre lecteur, il faut cliquer sur l'onglet "Config" puis dans la ligne "Player" remplacer la ligne courante complète par la commande du lecteur de son choix. Par exemple, "vlc". | " => suggestions : ['\xa0»', '”']

59 Mot inconnu : Sopcast => ==== Récupérer une version plus récente de Sopcast ==== | sopcast

64 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => ==== Lancer a partir d'une url sop// ==== | a => suggestions : ['à']
64 Mot inconnu : url => ==== Lancer a partir d'une url sop// ==== | url
64 Mot inconnu : sop => ==== Lancer a partir d'une url sop// ==== | sop

66 Mot inconnu : gtk-sopcast => Certains sites fournissent des adresses de flux qui n'apparaissent pas dans la liste des chaines de gtk-sopcast. Il est possible de regarder ces chaines en lancant sopcast en ligne de commande (adresse a adapter...): | gtk-sopcast
66 Mot inconnu : lancant => Certains sites fournissent des adresses de flux qui n'apparaissent pas dans la liste des chaines de gtk-sopcast. Il est possible de regarder ces chaines en lancant sopcast en ligne de commande (adresse a adapter...): | lancant
66 Mot inconnu : sopcast => Certains sites fournissent des adresses de flux qui n'apparaissent pas dans la liste des chaines de gtk-sopcast. Il est possible de regarder ces chaines en lancant sopcast en ligne de commande (adresse a adapter...): | sopcast
66 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => Certains sites fournissent des adresses de flux qui n'apparaissent pas dans la liste des chaines de gtk-sopcast. Il est possible de regarder ces chaines en lancant sopcast en ligne de commande (adresse a adapter...): | a => suggestions : ['à']
66 Incohérence probable avec “a” : “adapter” n’est pas un participe passé. => Certains sites fournissent des adresses de flux qui n'apparaissent pas dans la liste des chaines de gtk-sopcast. Il est possible de regarder ces chaines en lancant sopcast en ligne de commande (adresse a adapter...): | adapter => suggestions : ['adapté']
66 Typographie : points de suspension. Utilisez le caractère dédié. => Certains sites fournissent des adresses de flux qui n'apparaissent pas dans la liste des chaines de gtk-sopcast. Il est possible de regarder ces chaines en lancant sopcast en ligne de commande (adresse a adapter...): | ... => suggestions : ['…']

69 Mot inconnu : vlc => On pourra ensuite lire le flux avec vlc ou mplayer, en specifiant l'adresse locale http://localhost:8908/tv.asf | vlc
69 Mot inconnu : mplayer => On pourra ensuite lire le flux avec vlc ou mplayer, en specifiant l'adresse locale http://localhost:8908/tv.asf | mplayer
69 Mot inconnu : specifiant => On pourra ensuite lire le flux avec vlc ou mplayer, en specifiant l'adresse locale http://localhost:8908/tv.asf | specifiant
69 Mot inconnu : tv => On pourra ensuite lire le flux avec vlc ou mplayer, en specifiant l'adresse locale http://localhost:8908/tv.asf | tv
69 Mot inconnu : asf => On pourra ensuite lire le flux avec vlc ou mplayer, en specifiant l'adresse locale http://localhost:8908/tv.asf | asf

76 Typographie : points de suspension. Utilisez le caractère dédié. => //Contributeurs : ...// | ... => suggestions : ['…']
