
5 Mot inconnu : Docky => ====== Docky ====== | docky

8 Mot inconnu : Docky => Docky est un dock de bureau (à la manière de Mac OS X) qui se démarque des autres par sa simplicité d'utilisation et de configuration et son look très sobre et moderne à la fois. | docky

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

33 Mot inconnu : icone => Pour configurer et personnaliser votre dock, cliquez sur l'icone Docky (le premier à gauche représentant une ancre de bateau) ou faites un clic droit sur un endroit vide du dock puis cliquez sur //Préférences//. Vous pourrez via ce panneau configurer le comportement et l'apparence de votre dock, ajouter (et supprimer) jusqu'à 4 docks (pour chaque bord de l'écran), ainsi qu'ajouter et paramétrer des "docklets" et greffons (ces derniers fusionnent avec le lanceur de l'application correspondante et permettent d'interagir avec elle, comme contrôler la lecture de la musique avec Rhythmbox, voir les taux de transfert avec Transmission, etc.).\\ | icone
33 Mot inconnu : Docky => Pour configurer et personnaliser votre dock, cliquez sur l'icone Docky (le premier à gauche représentant une ancre de bateau) ou faites un clic droit sur un endroit vide du dock puis cliquez sur //Préférences//. Vous pourrez via ce panneau configurer le comportement et l'apparence de votre dock, ajouter (et supprimer) jusqu'à 4 docks (pour chaque bord de l'écran), ainsi qu'ajouter et paramétrer des "docklets" et greffons (ces derniers fusionnent avec le lanceur de l'application correspondante et permettent d'interagir avec elle, comme contrôler la lecture de la musique avec Rhythmbox, voir les taux de transfert avec Transmission, etc.).\\ | docky
33 Guillemets typographiques ouvrants. => Pour configurer et personnaliser votre dock, cliquez sur l'icone Docky (le premier à gauche représentant une ancre de bateau) ou faites un clic droit sur un endroit vide du dock puis cliquez sur //Préférences//. Vous pourrez via ce panneau configurer le comportement et l'apparence de votre dock, ajouter (et supprimer) jusqu'à 4 docks (pour chaque bord de l'écran), ainsi qu'ajouter et paramétrer des "docklets" et greffons (ces derniers fusionnent avec le lanceur de l'application correspondante et permettent d'interagir avec elle, comme contrôler la lecture de la musique avec Rhythmbox, voir les taux de transfert avec Transmission, etc.).\\ | " => suggestions : ['«\xa0', '“']
33 Mot inconnu : docklets => Pour configurer et personnaliser votre dock, cliquez sur l'icone Docky (le premier à gauche représentant une ancre de bateau) ou faites un clic droit sur un endroit vide du dock puis cliquez sur //Préférences//. Vous pourrez via ce panneau configurer le comportement et l'apparence de votre dock, ajouter (et supprimer) jusqu'à 4 docks (pour chaque bord de l'écran), ainsi qu'ajouter et paramétrer des "docklets" et greffons (ces derniers fusionnent avec le lanceur de l'application correspondante et permettent d'interagir avec elle, comme contrôler la lecture de la musique avec Rhythmbox, voir les taux de transfert avec Transmission, etc.).\\ | docklets
33 Guillemets typographiques fermants. => Pour configurer et personnaliser votre dock, cliquez sur l'icone Docky (le premier à gauche représentant une ancre de bateau) ou faites un clic droit sur un endroit vide du dock puis cliquez sur //Préférences//. Vous pourrez via ce panneau configurer le comportement et l'apparence de votre dock, ajouter (et supprimer) jusqu'à 4 docks (pour chaque bord de l'écran), ainsi qu'ajouter et paramétrer des "docklets" et greffons (ces derniers fusionnent avec le lanceur de l'application correspondante et permettent d'interagir avec elle, comme contrôler la lecture de la musique avec Rhythmbox, voir les taux de transfert avec Transmission, etc.).\\ | " => suggestions : ['\xa0»', '”']
33 Mot inconnu : Rhythmbox => Pour configurer et personnaliser votre dock, cliquez sur l'icone Docky (le premier à gauche représentant une ancre de bateau) ou faites un clic droit sur un endroit vide du dock puis cliquez sur //Préférences//. Vous pourrez via ce panneau configurer le comportement et l'apparence de votre dock, ajouter (et supprimer) jusqu'à 4 docks (pour chaque bord de l'écran), ainsi qu'ajouter et paramétrer des "docklets" et greffons (ces derniers fusionnent avec le lanceur de l'application correspondante et permettent d'interagir avec elle, comme contrôler la lecture de la musique avec Rhythmbox, voir les taux de transfert avec Transmission, etc.).\\ | rhythmbox

34 Guillemets typographiques ouvrants. => Pour configurer chaque dock indépendamment, il suffit de cliquer sur le dock de votre choix lorsque le panneau des préférences est ouvert et il se mettra en surbrillance. Notez que les greffons sont communs à tous les docks puisqu'ils "volent" automatiquement les lanceurs d'applications. | " => suggestions : ['«\xa0', '“']
34 Guillemets typographiques fermants. => Pour configurer chaque dock indépendamment, il suffit de cliquer sur le dock de votre choix lorsque le panneau des préférences est ouvert et il se mettra en surbrillance. Notez que les greffons sont communs à tous les docks puisqu'ils "volent" automatiquement les lanceurs d'applications. | " => suggestions : ['\xa0»', '”']

38 Mot inconnu : Docky => Activez le greffon //Transmission// dans Docky. | docky

40 Mot inconnu : Docky => ==== Faire fonctionner Docky sur deux bureaux en utilisation multi-écran ==== | docky

41 Espace(s) surnuméraire(s) à supprimer. => Installer  **[[ap>gconf-editor]]** puis : |    => suggestions : [' ']
41 Mot inconnu : gconf-editor => Installer  **[[ap>gconf-editor]]** puis : | gconf-editor

47 Mot inconnu : Docky => ==== Supprimer l'icône Docky du dock ==== | docky

57 Mot inconnu : Docky => ==== Docky disparaît en sortie de veille ou à la connexion/déconnexion du cable AC ==== | docky
57 Mot inconnu : cable => ==== Docky disparaît en sortie de veille ou à la connexion/déconnexion du cable AC ==== | cable

