
5 Mot inconnu : webmail => ====== Intégrer son webmail à Ubuntu ====== | webmail

7 Mot inconnu : computing => Véritable besoin ou nouvelle mode du cloud computing ? Peu importe ! Il n'empêche que les webmails sont bel et bien présents et que de plus en plus de monde les utilise. | computing
7 Mot inconnu : webmails => Véritable besoin ou nouvelle mode du cloud computing ? Peu importe ! Il n'empêche que les webmails sont bel et bien présents et que de plus en plus de monde les utilise. | webmails

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer des droits d'administration. |    => suggestions : ['']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

24 Mot inconnu : emails => Firefox sait gérer nativement les adresses emails. Cette seule configuration est déjà très pratique. | emails

26 Mot inconnu : webmail => ==== Votre webmail comme client de courriel par défaut dans Firefox ==== | webmail

28 Mot inconnu : webmail => Maintenant, il nous faut déclarer à Firefox qu'il doit utiliser notre webmail pour envoyer un email. | webmail
28 Mot inconnu : email => Maintenant, il nous faut déclarer à Firefox qu'il doit utiliser notre webmail pour envoyer un email. | email

30 Mot inconnu : webmail => Pour cela, il suffit de sélectionner notre webmail dans le menu déroulant de **//Firefox -> Édition -> Préférences -> Applications -> mailto//**.  | webmail
30 Mot inconnu : mailto => Pour cela, il suffit de sélectionner notre webmail dans le menu déroulant de **//Firefox -> Édition -> Préférences -> Applications -> mailto//**.  | mailto
30 Espace(s) en fin de ligne à supprimer. => Pour cela, il suffit de sélectionner notre webmail dans le menu déroulant de **//Firefox -> Édition -> Préférences -> Applications -> mailto//**.  |   => suggestions : ['']

32 Mot inconnu : Gmail => Vous aurez le choix entre Gmail et Yahoo! Mail. | gmail
32 Mot inconnu : Yahoo => Vous aurez le choix entre Gmail et Yahoo! Mail. | yahoo

34 Mot inconnu : webmail => Si votre webmail n'est pas l'un des deux précédents, laissez le choix par défaut à savoir Thunderbird. | webmail

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     |     => suggestions : ['']

39 Mot inconnu : email => Dorénavant, lorsque vous cliquerez sur une adresse email d'un document (dans un fichier odt, un pdf...) ou d'une page web, vous ouvrirez automatiquement une page de rédaction de votre webmail avec le champ de destinataire déjà rempli. | email
39 Mot inconnu : odt => Dorénavant, lorsque vous cliquerez sur une adresse email d'un document (dans un fichier odt, un pdf...) ou d'une page web, vous ouvrirez automatiquement une page de rédaction de votre webmail avec le champ de destinataire déjà rempli. | odt
39 Typographie : points de suspension. Utilisez le caractère dédié. => Dorénavant, lorsque vous cliquerez sur une adresse email d'un document (dans un fichier odt, un pdf...) ou d'une page web, vous ouvrirez automatiquement une page de rédaction de votre webmail avec le champ de destinataire déjà rempli. | ... => suggestions : ['…']
39 Mot inconnu : webmail => Dorénavant, lorsque vous cliquerez sur une adresse email d'un document (dans un fichier odt, un pdf...) ou d'une page web, vous ouvrirez automatiquement une page de rédaction de votre webmail avec le champ de destinataire déjà rempli. | webmail

41 Mot inconnu : webmail => Bien entendu, ce fonctionnement automatique sous-entend que vous avez enregistré le mot de passe de votre webmail dans Firefox. | webmail

50 Mot inconnu : Gmail => ==== Pour Gmail ==== | gmail

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - **[[apt>kgmailnotifier]]** pour KDE ; |    => suggestions : ['']
56 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - **[[apt>kgmailnotifier]]** pour KDE ; |  -  => suggestions : [' – ', ' — ', ' − ']
56 Mot inconnu : kgmailnotifier =>   - **[[apt>kgmailnotifier]]** pour KDE ; | kgmailnotifier
56 Mot inconnu : KDE =>   - **[[apt>kgmailnotifier]]** pour KDE ; | kde

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - **[[apt>xfce4-mailwatch-plugin]]** pour XOffice 4 : Gmail, pop3, imap. |    => suggestions : ['']
57 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - **[[apt>xfce4-mailwatch-plugin]]** pour XOffice 4 : Gmail, pop3, imap. |  -  => suggestions : [' – ', ' — ', ' − ']
57 Mot inconnu : xfce4-mailwatch-plugin =>   - **[[apt>xfce4-mailwatch-plugin]]** pour XOffice 4 : Gmail, pop3, imap. | xfce4-mailwatch-plugin
57 Mot inconnu : XOffice =>   - **[[apt>xfce4-mailwatch-plugin]]** pour XOffice 4 : Gmail, pop3, imap. | xoffice
57 Mot inconnu : Gmail =>   - **[[apt>xfce4-mailwatch-plugin]]** pour XOffice 4 : Gmail, pop3, imap. | gmail
57 Mot inconnu : pop3 =>   - **[[apt>xfce4-mailwatch-plugin]]** pour XOffice 4 : Gmail, pop3, imap. | pop3
