
4 Mot inconnu : Paintown => ====== Paintown - Battez les tous ====== | paintown
4 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => ====== Paintown - Battez les tous ====== |  -  => suggestions : [' – ', ' — ', ' − ']

6 Mot inconnu : Paintown => **Paintown** est un jeux de combat (beat them all) en 2D, gratuit, libre, et éditable : vous pouvez créer vos propres stages, et personnages. | paintown
6 Accord de nombre erroné : « jeux » devrait être au singulier. => **Paintown** est un jeux de combat (beat them all) en 2D, gratuit, libre, et éditable : vous pouvez créer vos propres stages, et personnages. | jeux => suggestions : ['jeu']
6 Mot inconnu : beat => **Paintown** est un jeux de combat (beat them all) en 2D, gratuit, libre, et éditable : vous pouvez créer vos propres stages, et personnages. | beat
6 Mot inconnu : them => **Paintown** est un jeux de combat (beat them all) en 2D, gratuit, libre, et éditable : vous pouvez créer vos propres stages, et personnages. | them
6 Mot inconnu : all => **Paintown** est un jeux de combat (beat them all) en 2D, gratuit, libre, et éditable : vous pouvez créer vos propres stages, et personnages. | all
6 Nombre ordinal. Second : 2ᵈ. Seconde : 2ᵈᵉ. Seconds : 2ᵈˢ. Secondes : 2ᵈᵉˢ. => **Paintown** est un jeux de combat (beat them all) en 2D, gratuit, libre, et éditable : vous pouvez créer vos propres stages, et personnages. | 2d => suggestions : ['2ᵈ']

14 Mot inconnu : playtown => <note>Voir des vidéos de playtown : | playtown

20 Mot inconnu : Paintown => <note tip>Paintown a pour objectif d'être 100% compatible avec MUGEN ... | paintown
20 Mot inconnu : MUGEN => <note tip>Paintown a pour objectif d'être 100% compatible avec MUGEN ... | mugen
20 Typographie : points de suspension. Utilisez le caractère dédié. => <note tip>Paintown a pour objectif d'être 100% compatible avec MUGEN ... | ... => suggestions : ['…']

23 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => <note help>paintown est entièrement éditable. Si l'envie vous dit vous pouvez le modifier à votre guise grâce à cette aide [[http://duduclx.fr/index.php?title=Paintown#PainTown]] et n'hésitez pas à poster vos création ;-)</note> | paintown => suggestions : ['Paintown']
23 Mot inconnu : paintown => <note help>paintown est entièrement éditable. Si l'envie vous dit vous pouvez le modifier à votre guise grâce à cette aide [[http://duduclx.fr/index.php?title=Paintown#PainTown]] et n'hésitez pas à poster vos création ;-)</note> | paintown
23 Accord de nombre erroné : « création » devrait être au pluriel. => <note help>paintown est entièrement éditable. Si l'envie vous dit vous pouvez le modifier à votre guise grâce à cette aide [[http://duduclx.fr/index.php?title=Paintown#PainTown]] et n'hésitez pas à poster vos création ;-)</note> | création => suggestions : ['créations']

27 Forme interrogative ? Mettez un trait d’union. => Rendez vous [[http://www.playdeb.net/install/paintown|sur playdeb]], ou sur [[http://paintown.sourceforge.net/|le site officiel]] pour télécharger le deb. | rendez vous => suggestions : ['Rendez-vous']
27 Mot inconnu : playdeb => Rendez vous [[http://www.playdeb.net/install/paintown|sur playdeb]], ou sur [[http://paintown.sourceforge.net/|le site officiel]] pour télécharger le deb. | playdeb
27 Mot inconnu : deb => Rendez vous [[http://www.playdeb.net/install/paintown|sur playdeb]], ou sur [[http://paintown.sourceforge.net/|le site officiel]] pour télécharger le deb. | deb

28 Mot inconnu : PlayDeb => <note important>Le paquet est disponible avec PlayDeb y compris avec ubuntu 14.10 !!!</note> | playdeb

32 Mot inconnu : dépot => ajoutez le dépot | dépot

40 Mot inconnu : dépots => Si ces dépots ne fonctionnent plus, vous pouvez essayer ceux-ci, testés en mai 2016 sous U10.04 | dépots
40 Mot inconnu : U10 => Si ces dépots ne fonctionnent plus, vous pouvez essayer ceux-ci, testés en mai 2016 sous U10.04 | u10

46 Mot inconnu : paintown => télécharger paintown | paintown
54 Mot inconnu : Ryu => Personnages : Ryu, Blanka, Donatello, Goku.  | ryu
54 Mot inconnu : Blanka => Personnages : Ryu, Blanka, Donatello, Goku.  | blanka
54 Mot inconnu : Donatello => Personnages : Ryu, Blanka, Donatello, Goku.  | donatello
54 Mot inconnu : Goku => Personnages : Ryu, Blanka, Donatello, Goku.  | goku
54 Espace(s) en fin de ligne à supprimer. => Personnages : Ryu, Blanka, Donatello, Goku.  |   => suggestions : ['']

58 Nombre ordinal. Second : 2ᵈ. Seconde : 2ᵈᵉ. Seconds : 2ᵈˢ. Secondes : 2ᵈᵉˢ. => Les graphismes sont en 2D mais d'une bonne qualité comparé aux jeux que l'on a connu. Et sachant que vous pouvez créer vos personnages, vos stages, avec des qualités "hd", ne vous en privez pas ! | 2d => suggestions : ['2ᵈ']
58 Guillemets typographiques ouvrants. => Les graphismes sont en 2D mais d'une bonne qualité comparé aux jeux que l'on a connu. Et sachant que vous pouvez créer vos personnages, vos stages, avec des qualités "hd", ne vous en privez pas ! | " => suggestions : ['«\xa0', '“']
58 Mot inconnu : hd => Les graphismes sont en 2D mais d'une bonne qualité comparé aux jeux que l'on a connu. Et sachant que vous pouvez créer vos personnages, vos stages, avec des qualités "hd", ne vous en privez pas ! | hd
58 Guillemets typographiques fermants. => Les graphismes sont en 2D mais d'une bonne qualité comparé aux jeux que l'on a connu. Et sachant que vous pouvez créer vos personnages, vos stages, avec des qualités "hd", ne vous en privez pas ! | " => suggestions : ['\xa0»', '”']

64 Mot inconnu : mugen => ====Ressource mugen==== | mugen

82 Espace(s) en fin de ligne à supprimer. => ----  |   => suggestions : ['']
