1 Mot inconnu : Sonata => ====== Sonata : un client graphique pour mpd ====== | sonata
1 Mot inconnu : mpd => ====== Sonata : un client graphique pour mpd ====== | mpd

3 Mot inconnu : mpd => Voici un lecteur de musique léger et complet. Il lit la musique avec mpd en arrière plan. Voyons ici comment configurer ce démon rapidement pour utiliser pleinement Sonata. | mpd
3 Mot inconnu : Sonata => Voici un lecteur de musique léger et complet. Il lit la musique avec mpd en arrière plan. Voyons ici comment configurer ce démon rapidement pour utiliser pleinement Sonata. | sonata

7 Mot inconnu : mpd => Léger, rapide, ne prend pas toutes les ressources de l'ordi, dispose de fonctionnalités intéressantes, utilisation de mpd, un démon qui peut être contrôlé de multiples façons (un jeu en interface graphique, et une gestion de la musique sur le tt1 (Ctrl+Alt+F1))... | mpd
7 Mot inconnu : tt1 => Léger, rapide, ne prend pas toutes les ressources de l'ordi, dispose de fonctionnalités intéressantes, utilisation de mpd, un démon qui peut être contrôlé de multiples façons (un jeu en interface graphique, et une gestion de la musique sur le tt1 (Ctrl+Alt+F1))... | tt1
7 Typographie : points de suspension. Utilisez le caractère dédié. => Léger, rapide, ne prend pas toutes les ressources de l'ordi, dispose de fonctionnalités intéressantes, utilisation de mpd, un démon qui peut être contrôlé de multiples façons (un jeu en interface graphique, et une gestion de la musique sur le tt1 (Ctrl+Alt+F1))... | ... => suggestions : ['…']

11 Mot inconnu : mpd => Il faut savoir configurer mpd | mpd

14 Mot inconnu : Sonata => Installez les paquets Sonata et mpd :  | sonata
14 Mot inconnu : mpd => Installez les paquets Sonata et mpd :  | mpd
14 Espace(s) en fin de ligne à supprimer. => Installez les paquets Sonata et mpd :  |   => suggestions : ['']

20 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Copiez le fichier /etc/mpd.conf dans votre dossier utilisateur, sous le nom .mpdconf |  . => suggestions : ['. ', '.']
20 Mot inconnu : mpdconf => Copiez le fichier /etc/mpd.conf dans votre dossier utilisateur, sous le nom .mpdconf | mpdconf
24 Espace(s) en fin de ligne à supprimer. => créez les dossiers éventuels :  |   => suggestions : ['']

30 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => éditez le fichier .mpdconf à votre guise. voici un exemple utile : (commenter les lignes "user", "bind to adress") | éditez => suggestions : ['Éditez']
30 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => éditez le fichier .mpdconf à votre guise. voici un exemple utile : (commenter les lignes "user", "bind to adress") |  . => suggestions : ['. ', '.']
30 Mot inconnu : mpdconf => éditez le fichier .mpdconf à votre guise. voici un exemple utile : (commenter les lignes "user", "bind to adress") | mpdconf
30 Après un point, une majuscule est généralement requise. => éditez le fichier .mpdconf à votre guise. voici un exemple utile : (commenter les lignes "user", "bind to adress") | voici => suggestions : ['Voici']
30 Guillemets typographiques ouvrants. => éditez le fichier .mpdconf à votre guise. voici un exemple utile : (commenter les lignes "user", "bind to adress") | " => suggestions : ['«\xa0', '“']
30 Guillemets typographiques fermants. => éditez le fichier .mpdconf à votre guise. voici un exemple utile : (commenter les lignes "user", "bind to adress") | " => suggestions : ['\xa0»', '”']
30 Guillemets typographiques ouvrants. => éditez le fichier .mpdconf à votre guise. voici un exemple utile : (commenter les lignes "user", "bind to adress") | " => suggestions : ['«\xa0', '“']
30 Mot inconnu : bind => éditez le fichier .mpdconf à votre guise. voici un exemple utile : (commenter les lignes "user", "bind to adress") | bind
30 Mot inconnu : to => éditez le fichier .mpdconf à votre guise. voici un exemple utile : (commenter les lignes "user", "bind to adress") | to
30 Mot inconnu : adress => éditez le fichier .mpdconf à votre guise. voici un exemple utile : (commenter les lignes "user", "bind to adress") | adress
30 Guillemets typographiques fermants. => éditez le fichier .mpdconf à votre guise. voici un exemple utile : (commenter les lignes "user", "bind to adress") | " => suggestions : ['\xa0»', '”']

331 Mot inconnu : mpd => Voilà, il ne vous reste plus qu'à lancer mpd (vous pouvez l'automatiser en le mettant en début de session). | mpd
