
4 Mot inconnu : IPtux => ====== IPtux ====== | iptux

7 Mot inconnu : IPtux => **IPtux** est une apllication de communication sur réseau local. Il détecte automatiquement les autres utilisateurs sur le réseau et permet l'envoi de messages texte et de fichiers. | iptux
7 Mot inconnu : apllication => **IPtux** est une apllication de communication sur réseau local. Il détecte automatiquement les autres utilisateurs sur le réseau et permet l'envoi de messages texte et de fichiers. | apllication

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

19 Mot inconnu : IPs => La fenêtre principale s'ouvre, y figure des adresses IPs, déroulez les listes en cliquant sur les boutons verts. | ips

20 Mot inconnu : iptux => Si d'autres personnes sont sur le réseau et utilisent iptux, elles seront détectées et vous pourrez communiquer avec elles. | iptux

22 Mot inconnu : Send => Pour envoyer un message à un correspondant, faites un clic droit sur le nom du correspondant et choisissez //Send message//. Écrivez votre message dans la fenêtre qui s'ouvre. | send

24 Mot inconnu : Attach => Vous pouvez envoyer des documents à vos contacts, en cliquant sur l'onglet //Files// de la fenêtre de conversation. Ou bien en allant dans le menu //File// et en choisissant //Attach File// pour un fichier ou //Attach Folder// pour un dossier. | attach
24 Mot inconnu : Attach => Vous pouvez envoyer des documents à vos contacts, en cliquant sur l'onglet //Files// de la fenêtre de conversation. Ou bien en allant dans le menu //File// et en choisissant //Attach File// pour un fichier ou //Attach Folder// pour un dossier. | attach
24 Mot inconnu : Folder => Vous pouvez envoyer des documents à vos contacts, en cliquant sur l'onglet //Files// de la fenêtre de conversation. Ou bien en allant dans le menu //File// et en choisissant //Attach File// pour un fichier ou //Attach Folder// pour un dossier. | folder

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://github.com/iptux-src/iptux|Le code source du logiciel]] |    => suggestions : ['']
