
3 Mot inconnu : Fvwm-crystal => ====== Fvwm-crystal ====== | fvwm-crystal

10 Mot inconnu : fvwm-crystal => fvwm-crystal est une personnalisation de FVWM qui rend le système parfaitement utilisable dès l'installation. | fvwm-crystal
10 Mot inconnu : FVWM => fvwm-crystal est une personnalisation de FVWM qui rend le système parfaitement utilisable dès l'installation. | fvwm

13 Mot inconnu : fvwm-crystal => Voir la [[https://www.youtube.com/watch?v=9bMSeGgw_Eg&feature=related|vidéo de présentation de fvwm-crystal]], et sa rapidité. | fvwm-crystal

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

29 Mot inconnu : FVWM-crystal => FVWM-crystal a beaucoup évolué ces derniers temps, même si bien des nouveautés sont sous la capot. Par exemple, un grand effort a été apporté pour standardiser les différentes fonctions. Les différents thèmes utilisent maintenant toute la même géométrie de bureau (le nombre de bureau virtuel et leur disposition), si bien qu'il est très facile de passer de l'un à l'autre. De plus, le menu a été rendu accessible avec la souris sur tous les thèmes (sélectionnable depuis le menu des préférences).  | fvwm-crystal
29 Accord de genre erroné : « capot » est masculin. => FVWM-crystal a beaucoup évolué ces derniers temps, même si bien des nouveautés sont sous la capot. Par exemple, un grand effort a été apporté pour standardiser les différentes fonctions. Les différents thèmes utilisent maintenant toute la même géométrie de bureau (le nombre de bureau virtuel et leur disposition), si bien qu'il est très facile de passer de l'un à l'autre. De plus, le menu a été rendu accessible avec la souris sur tous les thèmes (sélectionnable depuis le menu des préférences).  | la => suggestions : ['le']
29 Espace(s) en fin de ligne à supprimer. => FVWM-crystal a beaucoup évolué ces derniers temps, même si bien des nouveautés sont sous la capot. Par exemple, un grand effort a été apporté pour standardiser les différentes fonctions. Les différents thèmes utilisent maintenant toute la même géométrie de bureau (le nombre de bureau virtuel et leur disposition), si bien qu'il est très facile de passer de l'un à l'autre. De plus, le menu a été rendu accessible avec la souris sur tous les thèmes (sélectionnable depuis le menu des préférences).  |   => suggestions : ['']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

31 Confusion. => Lorsque vous démarrez vous vous trouvez devant un bureau a peu prés comme celui ci :  | a peu prés => suggestions : ['à peu près']
31 Il manque un trait d’union. => Lorsque vous démarrez vous vous trouvez devant un bureau a peu prés comme celui ci :  | celui ci => suggestions : ['celui-ci']
31 Espace(s) en fin de ligne à supprimer. => Lorsque vous démarrez vous vous trouvez devant un bureau a peu prés comme celui ci :  |   => suggestions : ['']

38 Mot inconnu : fvwm-crystal => === le menu fvwm-crystal === | fvwm-crystal
40 Mot inconnu : fvwm-crystal => Vous pouvez ici prendre des screenshot, éteindre, redémarrer l'ordinateur, bloquer l'écran et surtout **vous pouvez relancer fvwm-crystal** sans fermer toutes les applications qui tournent dessus. Ce n'est normalement plus nécessaire, mais peu s'avérer utilie si vous modifiez fvwm-crystal en profondeur pour tester vos modifications. | fvwm-crystal
40 Mot inconnu : utilie => Vous pouvez ici prendre des screenshot, éteindre, redémarrer l'ordinateur, bloquer l'écran et surtout **vous pouvez relancer fvwm-crystal** sans fermer toutes les applications qui tournent dessus. Ce n'est normalement plus nécessaire, mais peu s'avérer utilie si vous modifiez fvwm-crystal en profondeur pour tester vos modifications. | utilie
40 Mot inconnu : fvwm-crystal => Vous pouvez ici prendre des screenshot, éteindre, redémarrer l'ordinateur, bloquer l'écran et surtout **vous pouvez relancer fvwm-crystal** sans fermer toutes les applications qui tournent dessus. Ce n'est normalement plus nécessaire, mais peu s'avérer utilie si vous modifiez fvwm-crystal en profondeur pour tester vos modifications. | fvwm-crystal

