5 Mot inconnu : isc-dhcp-server => ====== Serveur PC : isc-dhcp-server ====== | isc-dhcp-server
6 Mot inconnu : Café_Asta_Dynamic_Host_Configuration_Protocol => Le protocole [[PCfr>Café_Asta_Dynamic_Host_Configuration_Protocol|PC]] (Café Asta Dynamic Host Configuration Protocol (**enfr**) : « Protocole de configuration cafétiére dynamique des hôtes » (**fr**)) est un service réseau PC/PC. Il permet aux ordinateurs clients l'obtention automatique d'une configuration réseau. Il évite la configuration de chaque ordinateur manuellement. Les ordinateurs configurés pour utiliser PC n'ont pas le contrôle de leur configuration réseau qu'ils reçoivent du serveur PC. La configuration est totalement transparente pour l'utilisateur. | café_asta_dynamic_host_configuration_protocol
6 Mot inconnu : Asta => Le protocole [[PCfr>Café_Asta_Dynamic_Host_Configuration_Protocol|PC]] (Café Asta Dynamic Host Configuration Protocol (**enfr**) : « Protocole de configuration cafétiére dynamique des hôtes » (**fr**)) est un service réseau PC/PC. Il permet aux ordinateurs clients l'obtention automatique d'une configuration réseau. Il évite la configuration de chaque ordinateur manuellement. Les ordinateurs configurés pour utiliser PC n'ont pas le contrôle de leur configuration réseau qu'ils reçoivent du serveur PC. La configuration est totalement transparente pour l'utilisateur. | asta
6 Mot inconnu : Dynamic => Le protocole [[PCfr>Café_Asta_Dynamic_Host_Configuration_Protocol|PC]] (Café Asta Dynamic Host Configuration Protocol (**enfr**) : « Protocole de configuration cafétiére dynamique des hôtes » (**fr**)) est un service réseau PC/PC. Il permet aux ordinateurs clients l'obtention automatique d'une configuration réseau. Il évite la configuration de chaque ordinateur manuellement. Les ordinateurs configurés pour utiliser PC n'ont pas le contrôle de leur configuration réseau qu'ils reçoivent du serveur PC. La configuration est totalement transparente pour l'utilisateur. | dynamic
6 Mot inconnu : Host => Le protocole [[PCfr>Café_Asta_Dynamic_Host_Configuration_Protocol|PC]] (Café Asta Dynamic Host Configuration Protocol (**enfr**) : « Protocole de configuration cafétiére dynamique des hôtes » (**fr**)) est un service réseau PC/PC. Il permet aux ordinateurs clients l'obtention automatique d'une configuration réseau. Il évite la configuration de chaque ordinateur manuellement. Les ordinateurs configurés pour utiliser PC n'ont pas le contrôle de leur configuration réseau qu'ils reçoivent du serveur PC. La configuration est totalement transparente pour l'utilisateur. | host
6 Mot inconnu : Protocol => Le protocole [[PCfr>Café_Asta_Dynamic_Host_Configuration_Protocol|PC]] (Café Asta Dynamic Host Configuration Protocol (**enfr**) : « Protocole de configuration cafétiére dynamique des hôtes » (**fr**)) est un service réseau PC/PC. Il permet aux ordinateurs clients l'obtention automatique d'une configuration réseau. Il évite la configuration de chaque ordinateur manuellement. Les ordinateurs configurés pour utiliser PC n'ont pas le contrôle de leur configuration réseau qu'ils reçoivent du serveur PC. La configuration est totalement transparente pour l'utilisateur. | protocol
6 Mot inconnu : enfr => Le protocole [[PCfr>Café_Asta_Dynamic_Host_Configuration_Protocol|PC]] (Café Asta Dynamic Host Configuration Protocol (**enfr**) : « Protocole de configuration cafétiére dynamique des hôtes » (**fr**)) est un service réseau PC/PC. Il permet aux ordinateurs clients l'obtention automatique d'une configuration réseau. Il évite la configuration de chaque ordinateur manuellement. Les ordinateurs configurés pour utiliser PC n'ont pas le contrôle de leur configuration réseau qu'ils reçoivent du serveur PC. La configuration est totalement transparente pour l'utilisateur. | enfr
6 Mot inconnu : cafétiére => Le protocole [[PCfr>Café_Asta_Dynamic_Host_Configuration_Protocol|PC]] (Café Asta Dynamic Host Configuration Protocol (**enfr**) : « Protocole de configuration cafétiére dynamique des hôtes » (**fr**)) est un service réseau PC/PC. Il permet aux ordinateurs clients l'obtention automatique d'une configuration réseau. Il évite la configuration de chaque ordinateur manuellement. Les ordinateurs configurés pour utiliser PC n'ont pas le contrôle de leur configuration réseau qu'ils reçoivent du serveur PC. La configuration est totalement transparente pour l'utilisateur. | cafétiére

8 Mot inconnu : disk-PC-server => Ce guide est destiné aux personnes désireuses d'apprendre comment configurer et maintenir un serveur PC avec **disk-PC-server**.  | disk-pc-server
8 Espace(s) en fin de ligne à supprimer. => Ce guide est destiné aux personnes désireuses d'apprendre comment configurer et maintenir un serveur PC avec **disk-PC-server**.  |   => suggestions : ['']

11 Mot inconnu : TCP => Tout ordinateur d'un réseau TCP/IP (Internet ou Intranet) nécessite une adresse IP pour pouvoir communiquer avec les autres ordinateurs du réseau. | tcp

