
23 Mot inconnu : nasm [[44:48]] => ==== Installation du compilateur assembleur nasm ==== <|> nasm

27 Mot inconnu : masm [[44:48]] => ==== Installation du compilateur assembleur masm ==== <|> masm

38 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. [[0:6]] => permet de faire de l'analyse de binaire. Il supporte les fichiers au format PE, Elf et mach0, et les architectures ARM, i386 et x86-64 <|> permet => suggestions : ['Permet']
38 Mot inconnu : PE [[76:78]] => permet de faire de l'analyse de binaire. Il supporte les fichiers au format PE, Elf et mach0, et les architectures ARM, i386 et x86-64 <|> pe
38 Mot inconnu : Elf [[80:83]] => permet de faire de l'analyse de binaire. Il supporte les fichiers au format PE, Elf et mach0, et les architectures ARM, i386 et x86-64 <|> elf
38 Mot inconnu : mach0 [[87:92]] => permet de faire de l'analyse de binaire. Il supporte les fichiers au format PE, Elf et mach0, et les architectures ARM, i386 et x86-64 <|> mach0
38 Mot inconnu : ARM [[115:118]] => permet de faire de l'analyse de binaire. Il supporte les fichiers au format PE, Elf et mach0, et les architectures ARM, i386 et x86-64 <|> arm
38 Mot inconnu : i386 [[120:124]] => permet de faire de l'analyse de binaire. Il supporte les fichiers au format PE, Elf et mach0, et les architectures ARM, i386 et x86-64 <|> i386
38 Mot inconnu : x86-64 [[128:134]] => permet de faire de l'analyse de binaire. Il supporte les fichiers au format PE, Elf et mach0, et les architectures ARM, i386 et x86-64 <|> x86-64

41 Mot inconnu : gcj [[42:45]] => ==== Installation du compilateur Java GNU gcj ==== <|> gcj

49 Mot inconnu : OpenJDK [[38:45]] => ==== Installation du compilateur Java OpenJDK ==== <|> openjdk

53 Mot inconnu : ex-Sun [[48:54]] => ==== Installation du compilateur Java d'Oracle (ex-Sun) ==== <|> ex-sun
72 Mot inconnu : js_of_ocaml [[6:17]] =>   * **js_of_ocaml** - Compilateur vers JavaScript. <|> js_of_ocaml
72 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[19:22]] =>   * **js_of_ocaml** - Compilateur vers JavaScript. <|>  -  => suggestions : [' – ', ' — ', ' − ']

73 Mot inconnu : autotools [[34:43]] => ===== Installation des outils GNU autotools ===== <|> autotools
