
5 Mot inconnu : Creator [[11:18]] => ====== USB Creator ====== <|> creator

8 Mot inconnu : live_USB [[11:19]] => Ce type de live_USB permet 3 choses : <|> live_usb
19 Guillemets typographiques ouvrants. [[190:191]] => L'espace de la clé dépassant la taille de l'ISO installée est verrouillé, mais peut-être reformaté en FAT32 pour une double utilisation live-USB / clé d'échange de fichiers (cf. le chapitre "double utilisation"). <|> " => suggestions : « “
19 Guillemets typographiques fermants. [[209:210]] => L'espace de la clé dépassant la taille de l'ISO installée est verrouillé, mais peut-être reformaté en FAT32 pour une double utilisation live-USB / clé d'échange de fichiers (cf. le chapitre "double utilisation"). <|> " => suggestions :  »”
40 Mot inconnu : iso [[50:53]] =>   * Dans la fenêtre haute, indiquez le fichier **.iso** à graver. S'il est sur le bureau ou dans votre répertoire "Téléchargements", il sera proposé par défaut. <|> iso
40 Guillemets typographiques ouvrants. [[114:115]] =>   * Dans la fenêtre haute, indiquez le fichier **.iso** à graver. S'il est sur le bureau ou dans votre répertoire "Téléchargements", il sera proposé par défaut. <|> " => suggestions : « “
40 Guillemets typographiques fermants. [[130:131]] =>   * Dans la fenêtre haute, indiquez le fichier **.iso** à graver. S'il est sur le bureau ou dans votre répertoire "Téléchargements", il sera proposé par défaut. <|> " => suggestions :  »”
41 Accord de genre erroné : « fenêtre » est féminin. [[9:11]] =>   * Dans le fenêtre basse, indiquez la clé à graver. S'il n'y en a qu'une de connectée au PC, elle sera proposée automatiquement. La clé doit avoir une taille supérieure à celle de l'ISO. <|> le => suggestions : la
41 Accord de genre erroné : « le » est un déterminant masculin. [[12:19]] =>   * Dans le fenêtre basse, indiquez la clé à graver. S'il n'y en a qu'une de connectée au PC, elle sera proposée automatiquement. La clé doit avoir une taille supérieure à celle de l'ISO. <|> fenêtre => suggestions : fenêtré
41 Le verbe devrait être à l’infinitif. [[77:86]] =>   * Dans le fenêtre basse, indiquez la clé à graver. S'il n'y en a qu'une de connectée au PC, elle sera proposée automatiquement. La clé doit avoir une taille supérieure à celle de l'ISO. <|> connectée => suggestions : connecter
54 Mot inconnu : booter [[250:256]] => Si vous avez gravé une ISO dans l'objectif de faire un live-USB (ce qui est quasi toujours le cas), vous devez redémarrer votre ordinateur, avec la clé dans un port USB. Le BIOS / UEFI doit être configuré (ponctuellement ou de façon permanente) pour booter en 1er sur la clé, sinon c'est le PC qui démarrera. <|> booter
54 Nombre ordinal. Premier : 1ᵉʳ. Première : 1ʳᵉ. Premiers : 1ᵉʳˢ. Premières : 1ʳᵉˢ. [[260:263]] => Si vous avez gravé une ISO dans l'objectif de faire un live-USB (ce qui est quasi toujours le cas), vous devez redémarrer votre ordinateur, avec la clé dans un port USB. Le BIOS / UEFI doit être configuré (ponctuellement ou de façon permanente) pour booter en 1er sur la clé, sinon c'est le PC qui démarrera. <|> 1er => suggestions : 1ᵉʳ

60 Accord de nombre erroné avec « trois » : « façon » devrait être au pluriel. [[26:31]] => Il existe cependant trois façon d'utiliser quand même la clé USB pour les transferts de fichiers : <|> façon => suggestions : façons
66 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… [[36:38]] => **Détails option 3** : utiliser une 2e partition : <|> 2e => suggestions : 2ᵉ

