
6 Mot inconnu : S3 [[11:13]] => ====== Via S3 Savage ====== <|> s3
6 Mot inconnu : Savage [[14:20]] => ====== Via S3 Savage ====== <|> savage

8 Mot inconnu : chipsets [[25:33]] => Le pilote supportant les chipsets graphiques **savage** est inclut dans Ubuntu en standard 3D inclus. <|> chipsets
8 Mot inconnu : savage [[47:53]] => Le pilote supportant les chipsets graphiques **savage** est inclut dans Ubuntu en standard 3D inclus. <|> savage
8 Après “être”, le verbe ne devrait pas être conjugué à la 3ᵉ personne du singulier. [[60:66]] => Le pilote supportant les chipsets graphiques **savage** est inclut dans Ubuntu en standard 3D inclus. <|> inclut => suggestions : ['incluses', 'incluse', 'inclus']

18 Mot inconnu : S-Video [[97:104]] => Pour rediriger dans ce cas l'image uniquement vers un téléviseur format PAL branché sur la prise S-Video. <|> s-video

21 Mot inconnu : Ecran [[5:10]] => ==== Ecran noir après le logo Ubuntu ==== <|> ecran

23 Espace(s) surnuméraire(s) à supprimer. [[22:24]] => La solution consiste à  générer le fichier xorg.conf en démarrant en mode recovery, puis en choisissant le mode network pour que / soit accessible en écriture. <|>    => suggestions : [' ']
23 Mot inconnu : xorg [[43:47]] => La solution consiste à  générer le fichier xorg.conf en démarrant en mode recovery, puis en choisissant le mode network pour que / soit accessible en écriture. <|> xorg
23 Il manque un espace. [[48:52]] => La solution consiste à  générer le fichier xorg.conf en démarrant en mode recovery, puis en choisissant le mode network pour que / soit accessible en écriture. <|> conf => suggestions : [' conf']
23 Mot inconnu : recovery [[74:82]] => La solution consiste à  générer le fichier xorg.conf en démarrant en mode recovery, puis en choisissant le mode network pour que / soit accessible en écriture. <|> recovery
23 Mot inconnu : network [[112:119]] => La solution consiste à  générer le fichier xorg.conf en démarrant en mode recovery, puis en choisissant le mode network pour que / soit accessible en écriture. <|> network

24 Mot inconnu : xorg [[20:24]] => Une fois le fichier xorg.conf généré et à sa place (voir la page sur xorg), modifier les lignes suivantes avec nano : <|> xorg
24 Il manque un espace. [[25:29]] => Une fois le fichier xorg.conf généré et à sa place (voir la page sur xorg), modifier les lignes suivantes avec nano : <|> conf => suggestions : [' conf']
24 Mot inconnu : xorg [[69:73]] => Une fois le fichier xorg.conf généré et à sa place (voir la page sur xorg), modifier les lignes suivantes avec nano : <|> xorg
24 Mot inconnu : nano [[111:115]] => Une fois le fichier xorg.conf généré et à sa place (voir la page sur xorg), modifier les lignes suivantes avec nano : <|> nano

27 Mot inconnu : Device [[13:19]] => À la section Device, commenter cette ligne : <|> device

43 Mot inconnu : chipset [[3:10]] => Ce chipset se faisant un peu vieux, certain jeux ne tourneront pas, car ils requièrent une version plus récente que openGL1.2 ce qui empêchera le fonctionnement. <|> chipset
43 Mot inconnu : openGL1 [[116:123]] => Ce chipset se faisant un peu vieux, certain jeux ne tourneront pas, car ils requièrent une version plus récente que openGL1.2 ce qui empêchera le fonctionnement. <|> opengl1

46 Mot inconnu : rebooter [[48:56]] => ==== Le système plante (se gèle), obligation de rebooter==== <|> rebooter
47 Mot inconnu : fix [[24:27]] => FIXME launchpad indique fix released <|> fix
47 Mot inconnu : released [[28:36]] => FIXME launchpad indique fix released <|> released

56 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[43:45]] => Vous prenez soin de supprimer le répertoire .wine du /home si ce n'est pas déjà fait. <|>  . => suggestions : ['. ', '.']
56 Mot inconnu : wine [[45:49]] => Vous prenez soin de supprimer le répertoire .wine du /home si ce n'est pas déjà fait. <|> wine

57 Mot inconnu : Then [[0:4]] => Then, vous redemarrez le X : Ctrl+Alt+Del. <|> then
57 Mot inconnu : redemarrez [[11:21]] => Then, vous redemarrez le X : Ctrl+Alt+Del. <|> redemarrez
57 Mot inconnu : Del [[38:41]] => Then, vous redemarrez le X : Ctrl+Alt+Del. <|> del

58 Mot inconnu : Wine [[60:64]] => Vous remettez votre session, puis vous lancez un truc genre Wine Configure. <|> wine
60 Espace(s) en fin de ligne à supprimer. [[50:51]] => Et en principe **ça ne gèle plus, et ça marche** !  <|>   => suggestions : ['']

62 Mot inconnu : Earth [[105:110]] => Par contre **ça bloque le lancement de toute application 3D**. En effet si vous essayez de lancer Google Earth par exemple, eh bien ça ne marchera pas (quoique google earth était déjà capricieux et faisait parfois aussi planter le système chez moi) ! **Donc désactivez la méthode ci-dessus quand vous avez besoin d'un rendu 3D** (en mettant des '#' devant chaque lignes puis en redemarrant le X : Ctrl+Alt+Del). <|> earth
62 Mot inconnu : earth [[167:172]] => Par contre **ça bloque le lancement de toute application 3D**. En effet si vous essayez de lancer Google Earth par exemple, eh bien ça ne marchera pas (quoique google earth était déjà capricieux et faisait parfois aussi planter le système chez moi) ! **Donc désactivez la méthode ci-dessus quand vous avez besoin d'un rendu 3D** (en mettant des '#' devant chaque lignes puis en redemarrant le X : Ctrl+Alt+Del). <|> earth
62 Accord de nombre erroné : « lignes » devrait être au singulier. [[363:369]] => Par contre **ça bloque le lancement de toute application 3D**. En effet si vous essayez de lancer Google Earth par exemple, eh bien ça ne marchera pas (quoique google earth était déjà capricieux et faisait parfois aussi planter le système chez moi) ! **Donc désactivez la méthode ci-dessus quand vous avez besoin d'un rendu 3D** (en mettant des '#' devant chaque lignes puis en redemarrant le X : Ctrl+Alt+Del). <|> lignes => suggestions : ['ligne']
