
5 Mot inconnu : Backup [[11:17]] => ====== Wii Backup Fusion ====== <|> backup

6 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

9 Mot inconnu : WiiBaFu [[0:7]] => WiiBaFu ne doit être utilisé qu'à des fins de copie privée. Il est, bien sûr, interdit de charger des ISO de jeux dont vous ne possédez pas l'original sur votre disque dur WBFS. <|> wiibafu
9 Mot inconnu : WBFS [[172:176]] => WiiBaFu ne doit être utilisé qu'à des fins de copie privée. Il est, bien sûr, interdit de charger des ISO de jeux dont vous ne possédez pas l'original sur votre disque dur WBFS. <|> wbfs

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

23 Mot inconnu : wiimms-iso-tools [[22:38]] => ===== Installation de wiimms-iso-tools ===== <|> wiimms-iso-tools

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

25 Mot inconnu : packet [[53:59]] => Pour installer ce logiciel, il suffit d'installer le packet "wit-v2.31a-r6005-x86_64.tar.gz" <|> packet
25 Guillemets typographiques ouvrants. [[60:61]] => Pour installer ce logiciel, il suffit d'installer le packet "wit-v2.31a-r6005-x86_64.tar.gz" <|> " => suggestions : ['«\xa0', '“']
25 Mot inconnu : wit-v2 [[61:67]] => Pour installer ce logiciel, il suffit d'installer le packet "wit-v2.31a-r6005-x86_64.tar.gz" <|> wit-v2
25 Mot inconnu : a-r6005-x86_64 [[70:84]] => Pour installer ce logiciel, il suffit d'installer le packet "wit-v2.31a-r6005-x86_64.tar.gz" <|> a-r6005-x86_64
25 Mot inconnu : tar [[85:88]] => Pour installer ce logiciel, il suffit d'installer le packet "wit-v2.31a-r6005-x86_64.tar.gz" <|> tar
25 Mot inconnu : gz [[89:91]] => Pour installer ce logiciel, il suffit d'installer le packet "wit-v2.31a-r6005-x86_64.tar.gz" <|> gz
25 Guillemets typographiques fermants. [[91:92]] => Pour installer ce logiciel, il suffit d'installer le packet "wit-v2.31a-r6005-x86_64.tar.gz" <|> " => suggestions : ['\xa0»', '”']

27 Espace(s) en fin de ligne à supprimer. [[16:17]] => puis l'installer  <|>   => suggestions : ['']

33 Mot inconnu : WiiBaFu [[22:29]] => ===== Installation de WiiBaFu ===== <|> wiibafu

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

35 Mot inconnu : packet [[53:59]] => Pour installer ce logiciel, il suffit d'installer le packet "wiibafu_1.1-1_i386.deb" <|> packet
35 Guillemets typographiques ouvrants. [[60:61]] => Pour installer ce logiciel, il suffit d'installer le packet "wiibafu_1.1-1_i386.deb" <|> " => suggestions : ['«\xa0', '“']
35 Mot inconnu : wiibafu_1 [[61:70]] => Pour installer ce logiciel, il suffit d'installer le packet "wiibafu_1.1-1_i386.deb" <|> wiibafu_1
35 Mot inconnu : _i386 [[74:79]] => Pour installer ce logiciel, il suffit d'installer le packet "wiibafu_1.1-1_i386.deb" <|> _i386
35 Mot inconnu : deb [[80:83]] => Pour installer ce logiciel, il suffit d'installer le packet "wiibafu_1.1-1_i386.deb" <|> deb
35 Guillemets typographiques fermants. [[83:84]] => Pour installer ce logiciel, il suffit d'installer le packet "wiibafu_1.1-1_i386.deb" <|> " => suggestions : ['\xa0»', '”']

37 Espace(s) en fin de ligne à supprimer. [[16:17]] => puis l'installer  <|>   => suggestions : ['']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']
