
3 Mot inconnu : Extundelete => ======Extundelete====== | extundelete

5 Mot inconnu : Extundelete => **Extundelete** est un utilitaire [[commande_shell|en ligne de commande]] permettant la récupération des fichiers supprimés. Son fonctionnement est plus aisé que [[testdisk|Testdisk]] ou [[foremost|Foremost]] par exemple, mais il ne peut être utilisé __que__ sur des partitions formatées avec les systèmes de fichiers **ext3** ou **[[ext4|ext4]]**. | extundelete
5 Mot inconnu : commande_shell => **Extundelete** est un utilitaire [[commande_shell|en ligne de commande]] permettant la récupération des fichiers supprimés. Son fonctionnement est plus aisé que [[testdisk|Testdisk]] ou [[foremost|Foremost]] par exemple, mais il ne peut être utilisé __que__ sur des partitions formatées avec les systèmes de fichiers **ext3** ou **[[ext4|ext4]]**. | commande_shell
5 Mot inconnu : testdisk => **Extundelete** est un utilitaire [[commande_shell|en ligne de commande]] permettant la récupération des fichiers supprimés. Son fonctionnement est plus aisé que [[testdisk|Testdisk]] ou [[foremost|Foremost]] par exemple, mais il ne peut être utilisé __que__ sur des partitions formatées avec les systèmes de fichiers **ext3** ou **[[ext4|ext4]]**. | testdisk
5 Mot inconnu : foremost => **Extundelete** est un utilitaire [[commande_shell|en ligne de commande]] permettant la récupération des fichiers supprimés. Son fonctionnement est plus aisé que [[testdisk|Testdisk]] ou [[foremost|Foremost]] par exemple, mais il ne peut être utilisé __que__ sur des partitions formatées avec les systèmes de fichiers **ext3** ou **[[ext4|ext4]]**. | foremost
5 Mot inconnu : __que__ => **Extundelete** est un utilitaire [[commande_shell|en ligne de commande]] permettant la récupération des fichiers supprimés. Son fonctionnement est plus aisé que [[testdisk|Testdisk]] ou [[foremost|Foremost]] par exemple, mais il ne peut être utilisé __que__ sur des partitions formatées avec les systèmes de fichiers **ext3** ou **[[ext4|ext4]]**. | __que__
5 Mot inconnu : ext3 => **Extundelete** est un utilitaire [[commande_shell|en ligne de commande]] permettant la récupération des fichiers supprimés. Son fonctionnement est plus aisé que [[testdisk|Testdisk]] ou [[foremost|Foremost]] par exemple, mais il ne peut être utilisé __que__ sur des partitions formatées avec les systèmes de fichiers **ext3** ou **[[ext4|ext4]]**. | ext3

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

14 Espace(s) surnuméraire(s) à supprimer. => <note warning>Aussitôt que vous constatez la perte de fichiers, arrêtez d'utiliser, autant que faire se peut, la partition dans laquelle  a eu lieu la perte. Autrement, vous risquez de ré-écrire par dessus vos fichiers perdus. Faites l'installation du logiciel ailleurs (bootez en live-USB) si vous n'avez pas de partition /home séparée.</note> |    => suggestions : [' ']
14 Il manque un trait d’union. => <note warning>Aussitôt que vous constatez la perte de fichiers, arrêtez d'utiliser, autant que faire se peut, la partition dans laquelle  a eu lieu la perte. Autrement, vous risquez de ré-écrire par dessus vos fichiers perdus. Faites l'installation du logiciel ailleurs (bootez en live-USB) si vous n'avez pas de partition /home séparée.</note> | par dessus => suggestions : ['par-dessus']
14 Mot inconnu : bootez => <note warning>Aussitôt que vous constatez la perte de fichiers, arrêtez d'utiliser, autant que faire se peut, la partition dans laquelle  a eu lieu la perte. Autrement, vous risquez de ré-écrire par dessus vos fichiers perdus. Faites l'installation du logiciel ailleurs (bootez en live-USB) si vous n'avez pas de partition /home séparée.</note> | bootez

19 Guillemets typographiques ouvrants. => ==== Dans une instance "live". ==== | " => suggestions : ['«\xa0', '“']
