
7 Mot inconnu : Banshee => ====== Banshee : un gestionnaire multimédia ====== | banshee

9 Mot inconnu : Banshee => **Banshee** est un lecteur audio et vidéo pour Gnome. Il permet de gérer une bibliothèque, des périphériques externes (iPod & co), les podcasts (audio et vidéo), encoder la musique, graver les CD, rechercher automatiquement de pochettes de CD. Cette application est très orientée iPod. Cochez la case au niveau de partage de musique. | banshee
9 Mot inconnu : iPod => **Banshee** est un lecteur audio et vidéo pour Gnome. Il permet de gérer une bibliothèque, des périphériques externes (iPod & co), les podcasts (audio et vidéo), encoder la musique, graver les CD, rechercher automatiquement de pochettes de CD. Cette application est très orientée iPod. Cochez la case au niveau de partage de musique. | ipod
9 Mot inconnu : co => **Banshee** est un lecteur audio et vidéo pour Gnome. Il permet de gérer une bibliothèque, des périphériques externes (iPod & co), les podcasts (audio et vidéo), encoder la musique, graver les CD, rechercher automatiquement de pochettes de CD. Cette application est très orientée iPod. Cochez la case au niveau de partage de musique. | co
9 Mot inconnu : iPod => **Banshee** est un lecteur audio et vidéo pour Gnome. Il permet de gérer une bibliothèque, des périphériques externes (iPod & co), les podcasts (audio et vidéo), encoder la musique, graver les CD, rechercher automatiquement de pochettes de CD. Cette application est très orientée iPod. Cochez la case au niveau de partage de musique. | ipod

14 Mot inconnu : Banshee => Banshee est en sommeil depuis 2014.Le lecteur [[QuodLibet|QuodLibet]] et [[Rhythmbox|Rhythmbox]] sont les logiciels dont les fonctionnalités se rapprochent le plus de Banshee.</note> | banshee
14 Il manque un espace. => Banshee est en sommeil depuis 2014.Le lecteur [[QuodLibet|QuodLibet]] et [[Rhythmbox|Rhythmbox]] sont les logiciels dont les fonctionnalités se rapprochent le plus de Banshee.</note> | le => suggestions : [' Le']
14 Mot inconnu : Banshee => Banshee est en sommeil depuis 2014.Le lecteur [[QuodLibet|QuodLibet]] et [[Rhythmbox|Rhythmbox]] sont les logiciels dont les fonctionnalités se rapprochent le plus de Banshee.</note> | banshee

22 Mot inconnu : Banshee => <note>Banshee est plus disponible dans les dépôts officiels depuis [[Focal]]((((https://packages.ubuntu.com/search?suite=default&section=all&arch=any&searchon=names&keywords=banshee)).</note> | banshee

29 Mot inconnu : Banshee => **Banshee** regarde d'abord dans le fichier audio lui-même pour les illustrations embarquées, puis dans le dossier où est le fichier, ensuite dans Rhapsody, s'il ne trouve toujours pas, dans MusicBrainz (qui peut utiliser un lien vers Amazon ou d'autres sites), puis finalement avec Last.fm. | banshee
29 Mot inconnu : Rhapsody => **Banshee** regarde d'abord dans le fichier audio lui-même pour les illustrations embarquées, puis dans le dossier où est le fichier, ensuite dans Rhapsody, s'il ne trouve toujours pas, dans MusicBrainz (qui peut utiliser un lien vers Amazon ou d'autres sites), puis finalement avec Last.fm. | rhapsody
29 Mot inconnu : MusicBrainz => **Banshee** regarde d'abord dans le fichier audio lui-même pour les illustrations embarquées, puis dans le dossier où est le fichier, ensuite dans Rhapsody, s'il ne trouve toujours pas, dans MusicBrainz (qui peut utiliser un lien vers Amazon ou d'autres sites), puis finalement avec Last.fm. | musicbrainz
29 Mot inconnu : Last => **Banshee** regarde d'abord dans le fichier audio lui-même pour les illustrations embarquées, puis dans le dossier où est le fichier, ensuite dans Rhapsody, s'il ne trouve toujours pas, dans MusicBrainz (qui peut utiliser un lien vers Amazon ou d'autres sites), puis finalement avec Last.fm. | last
29 Il manque un espace. => **Banshee** regarde d'abord dans le fichier audio lui-même pour les illustrations embarquées, puis dans le dossier où est le fichier, ensuite dans Rhapsody, s'il ne trouve toujours pas, dans MusicBrainz (qui peut utiliser un lien vers Amazon ou d'autres sites), puis finalement avec Last.fm. | fm => suggestions : [' fm']

36 Mot inconnu : iPod => ==== Transfert de musique vers l'iPod ==== | ipod

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Connectez votre iPod à votre ordinateur. |    => suggestions : ['']
38 Mot inconnu : iPod =>   * Connectez votre iPod à votre ordinateur. | ipod

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Glissez et déposez les fichiers audio dans la bibliothèque. |    => suggestions : ['']

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dans le menu de gauche cliquer sur "iPod" |    => suggestions : ['']
40 Guillemets typographiques ouvrants. =>   * Dans le menu de gauche cliquer sur "iPod" | " => suggestions : ['«\xa0', '“']
40 Mot inconnu : iPod =>   * Dans le menu de gauche cliquer sur "iPod" | ipod
40 Guillemets typographiques fermants. =>   * Dans le menu de gauche cliquer sur "iPod" | " => suggestions : ['\xa0»', '”']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * En haut à droite : cliquer sur Synchroniser avec la bibliothèque |    => suggestions : ['']

43 Mot inconnu : Banshee => Banshee convertit automatiquement les fichiers audio incompatibles avec l'iPod. | banshee
43 Mot inconnu : iPod => Banshee convertit automatiquement les fichiers audio incompatibles avec l'iPod. | ipod

45 Mot inconnu : iTunes => <note important>Si vous utilisez iTunes après avoir utilisé Banshee, la base de données de l'iPod sera supprimée, vos musiques seront toujours dans l'iPod mais vous ne pourrez plus les lire à partir de votre iPod.</note> | itunes
45 Mot inconnu : Banshee => <note important>Si vous utilisez iTunes après avoir utilisé Banshee, la base de données de l'iPod sera supprimée, vos musiques seront toujours dans l'iPod mais vous ne pourrez plus les lire à partir de votre iPod.</note> | banshee
45 Mot inconnu : iPod => <note important>Si vous utilisez iTunes après avoir utilisé Banshee, la base de données de l'iPod sera supprimée, vos musiques seront toujours dans l'iPod mais vous ne pourrez plus les lire à partir de votre iPod.</note> | ipod
45 Mot inconnu : iPod => <note important>Si vous utilisez iTunes après avoir utilisé Banshee, la base de données de l'iPod sera supprimée, vos musiques seront toujours dans l'iPod mais vous ne pourrez plus les lire à partir de votre iPod.</note> | ipod
45 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. => <note important>Si vous utilisez iTunes après avoir utilisé Banshee, la base de données de l'iPod sera supprimée, vos musiques seront toujours dans l'iPod mais vous ne pourrez plus les lire à partir de votre iPod.</note> |  mais => suggestions : [', mais']
45 Mot inconnu : iPod => <note important>Si vous utilisez iTunes après avoir utilisé Banshee, la base de données de l'iPod sera supprimée, vos musiques seront toujours dans l'iPod mais vous ne pourrez plus les lire à partir de votre iPod.</note> | ipod

52 Guillemets typographiques ouvrants. => Si vous ne voulez pas partager votre musique retournez à la fenêtre précédente, décochez la case "Partage DAAP" dans les préférences (onglet Extensions). | " => suggestions : ['«\xa0', '“']
52 Mot inconnu : DAAP => Si vous ne voulez pas partager votre musique retournez à la fenêtre précédente, décochez la case "Partage DAAP" dans les préférences (onglet Extensions). | daap
52 Guillemets typographiques fermants. => Si vous ne voulez pas partager votre musique retournez à la fenêtre précédente, décochez la case "Partage DAAP" dans les préférences (onglet Extensions). | " => suggestions : ['\xa0»', '”']
56 Mot inconnu : Banshee => Le format mp3, bien que reconnu peu performant, est extrêmement répandu. Banshee permet de convertir ses fichiers directement lors du transfert vers un lecteur de musique. | banshee

58 Mot inconnu : Banshee => Il faut demander à Banshee d'utiliser ce format :  | banshee
58 Espace(s) en fin de ligne à supprimer. => Il faut demander à Banshee d'utiliser ce format :  |   => suggestions : ['']

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Edition > Préférence  |    => suggestions : ['']
59 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Edition > Préférence  |  -  => suggestions : [' – ', ' — ', ' − ']
59 Mot inconnu : Edition =>   - Edition > Préférence  | edition
59 Espace(s) en fin de ligne à supprimer. =>   - Edition > Préférence  |   => suggestions : ['']

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Dans le sélecteur "spécifique à la source", sélectionner la source " cd audio" |    => suggestions : ['']
60 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Dans le sélecteur "spécifique à la source", sélectionner la source " cd audio" |  -  => suggestions : [' – ', ' — ', ' − ']
60 Guillemets typographiques ouvrants. =>   - Dans le sélecteur "spécifique à la source", sélectionner la source " cd audio" | " => suggestions : ['«\xa0', '“']
60 Guillemets typographiques fermants. =>   - Dans le sélecteur "spécifique à la source", sélectionner la source " cd audio" | " => suggestions : ['\xa0»', '”']
60 Guillemets isolés. =>   - Dans le sélecteur "spécifique à la source", sélectionner la source " cd audio" |  "  => suggestions : [' «\xa0', '\xa0» ', ' “', '” ']
60 Guillemets typographiques fermants. =>   - Dans le sélecteur "spécifique à la source", sélectionner la source " cd audio" | " => suggestions : ['\xa0»', '”']

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Sélectionner le format mp3 |    => suggestions : ['']
61 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Sélectionner le format mp3 |  -  => suggestions : [' – ', ' — ', ' − ']

64 Mot inconnu : id3 => ==== Édition des métadonnées (tag id3) ==== | id3

66 Mot inconnu : Banshee => Banshee peut éditer les métadonnées des fichiers : | banshee

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Sélectionner la piste concernée |    => suggestions : ['']

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * appuyer sur E (ou alors //Édition// -> //Modifier les propriétés du morceau//) |    => suggestions : ['']

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Modifier les éléments qui vous intéressent |    => suggestions : ['']

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Valider avec //Enregistrer// |    => suggestions : ['']

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Banshee n'enregistre les modifications que dans sa base interne par défaut. Si vous souhaitez les enregistrer dans les fichiers (ajout du nom de l'artiste pour copie sur un baladeur par exemple) : |   => suggestions : ['']
72 Mot inconnu : Banshee =>  Banshee n'enregistre les modifications que dans sa base interne par défaut. Si vous souhaitez les enregistrer dans les fichiers (ajout du nom de l'artiste pour copie sur un baladeur par exemple) : | banshee

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ouvrir //Édition// -> //Préférence// |    => suggestions : ['']

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dans l'onglet //Général//, cocher //Enregistrer les métadonnées dans les fichiers// |    => suggestions : ['']

78 Mot inconnu : Banshee => Banshee permet une recherche avancée par mots clés. | banshee

80 Une de ces ponctuations est superflue. => Par défaut la recherche s'effectue dans les champs Titre, Artiste, Album, ..., en majuscules ou en minuscules. Par exemple une recherche avec les mots //Joseph Haydn// cherchera dans tous les champs par défaut qui contiennent à la fois //joseph// et //haydn//, mais trouvera aussi les morceaux contenant //joseph// ou //JOSEPH//. | , . => suggestions : [',', '.']
80 Typographie : points de suspension. Utilisez le caractère dédié. => Par défaut la recherche s'effectue dans les champs Titre, Artiste, Album, ..., en majuscules ou en minuscules. Par exemple une recherche avec les mots //Joseph Haydn// cherchera dans tous les champs par défaut qui contiennent à la fois //joseph// et //haydn//, mais trouvera aussi les morceaux contenant //joseph// ou //JOSEPH//. | ... => suggestions : ['…']
80 Mot inconnu : haydn => Par défaut la recherche s'effectue dans les champs Titre, Artiste, Album, ..., en majuscules ou en minuscules. Par exemple une recherche avec les mots //Joseph Haydn// cherchera dans tous les champs par défaut qui contiennent à la fois //joseph// et //haydn//, mais trouvera aussi les morceaux contenant //joseph// ou //JOSEPH//. | haydn

82 Guillemets typographiques ouvrants. => Lorsque la recherche se fait sur plusieurs mots clés, l'opérateur par défaut (l'espace entre les mots) est le ''ET''. | '' => suggestions : ['«\xa0', '“']
82 Guillemets typographiques fermants. => Lorsque la recherche se fait sur plusieurs mots clés, l'opérateur par défaut (l'espace entre les mots) est le ''ET''. | '' => suggestions : ['\xa0»', '”']

84 Guillemets fermants. => Pour chercher une expression entière, il faut placer l'ensemble des mots entre les caractères ". |  " => suggestions : ['\xa0»', '”']

