
4 Mot inconnu : PCSX2 => ====== PCSX2 ====== | pcsx2

5 Mot inconnu : PCSX2 => PCSX2 est un émulateur libre de la console PlayStation 2 de Sony destiné aux systèmes d'exploitation Windows et Linux, publié sous licence GNU GPL. Il est considéré comme l'émulateur le plus abouti de la PS2 (étant le seul encore développé). Il est développé par la même équipe que l'émulateur PlayStation PCSX. | pcsx2
5 Mot inconnu : PlayStation => PCSX2 est un émulateur libre de la console PlayStation 2 de Sony destiné aux systèmes d'exploitation Windows et Linux, publié sous licence GNU GPL. Il est considéré comme l'émulateur le plus abouti de la PS2 (étant le seul encore développé). Il est développé par la même équipe que l'émulateur PlayStation PCSX. | playstation
5 Mot inconnu : PS2 => PCSX2 est un émulateur libre de la console PlayStation 2 de Sony destiné aux systèmes d'exploitation Windows et Linux, publié sous licence GNU GPL. Il est considéré comme l'émulateur le plus abouti de la PS2 (étant le seul encore développé). Il est développé par la même équipe que l'émulateur PlayStation PCSX. | ps2
5 Mot inconnu : PlayStation => PCSX2 est un émulateur libre de la console PlayStation 2 de Sony destiné aux systèmes d'exploitation Windows et Linux, publié sous licence GNU GPL. Il est considéré comme l'émulateur le plus abouti de la PS2 (étant le seul encore développé). Il est développé par la même équipe que l'émulateur PlayStation PCSX. | playstation
5 Mot inconnu : PCSX => PCSX2 est un émulateur libre de la console PlayStation 2 de Sony destiné aux systèmes d'exploitation Windows et Linux, publié sous licence GNU GPL. Il est considéré comme l'émulateur le plus abouti de la PS2 (étant le seul encore développé). Il est développé par la même équipe que l'émulateur PlayStation PCSX. | pcsx

12 Mot inconnu : __tous__ => Seul un PC récent pourra fait tourner __tous__ les jeux à pleine vitesse. Néanmoins, quelques dizaines de jeux tourneront parfaitement sur de vieilles bécanes du type suivant : | __tous__

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * 1 processeur double cœur cadencé à 3Ghz minimum. |    => suggestions : ['']
13 Mot inconnu : Ghz =>   * 1 processeur double cœur cadencé à 3Ghz minimum. | ghz

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * 2 Go de mémoire vive. |    => suggestions : ['']

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Une carte graphique décente et si possible récente pour jouer en HD. |    => suggestions : ['']

