
4 Mot inconnu : Apt-move => ====== Apt-move ====== | apt-move

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # Les sites dans  /etc/apt/sources.list que vous voulez copier |    => suggestions : ['']
22 Espace(s) surnuméraire(s) à supprimer. =>   # Les sites dans  /etc/apt/sources.list que vous voulez copier |    => suggestions : [' ']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   APTSITES="ftp.minet.net/pub/distrib/debian/ non-us.debian.org/debian-non-US www.opera.com/debian" |    => suggestions : ['']
23 Mot inconnu : APTSITES =>   APTSITES="ftp.minet.net/pub/distrib/debian/ non-us.debian.org/debian-non-US www.opera.com/debian" | aptsites
23 Mot inconnu : debian =>   APTSITES="ftp.minet.net/pub/distrib/debian/ non-us.debian.org/debian-non-US www.opera.com/debian" | debian
23 Mot inconnu : debian-non-US =>   APTSITES="ftp.minet.net/pub/distrib/debian/ non-us.debian.org/debian-non-US www.opera.com/debian" | debian-non-us
23 Guillemets typographiques fermants. =>   APTSITES="ftp.minet.net/pub/distrib/debian/ non-us.debian.org/debian-non-US www.opera.com/debian" | " => suggestions : ['\xa0»', '”']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # Les architectures de processeur pour lesquelles vous voulez générer la source |    => suggestions : ['']

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ARCHS="i386" |    => suggestions : ['']
26 Mot inconnu : ARCHS =>   ARCHS="i386" | archs
26 Guillemets typographiques ouvrants. =>   ARCHS="i386" | " => suggestions : ['«\xa0', '“']
26 Mot inconnu : i386 =>   ARCHS="i386" | i386
26 Guillemets typographiques fermants. =>   ARCHS="i386" | " => suggestions : ['\xa0»', '”']

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # Le chemin d'accès absolu du miroir local que vous voulez créer |    => suggestions : ['']

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # Ce doit être la première entrée de votre sources.list pour utiliser "sync" ou "mirror" |    => suggestions : ['']
29 Accord de nombre erroné : « sources » devrait être au singulier. =>   # Ce doit être la première entrée de votre sources.list pour utiliser "sync" ou "mirror" | sources => suggestions : ['source']
29 Mot inconnu : list =>   # Ce doit être la première entrée de votre sources.list pour utiliser "sync" ou "mirror" | list
29 Guillemets typographiques ouvrants. =>   # Ce doit être la première entrée de votre sources.list pour utiliser "sync" ou "mirror" | " => suggestions : ['«\xa0', '“']
29 Mot inconnu : sync =>   # Ce doit être la première entrée de votre sources.list pour utiliser "sync" ou "mirror" | sync
29 Guillemets typographiques fermants. =>   # Ce doit être la première entrée de votre sources.list pour utiliser "sync" ou "mirror" | " => suggestions : ['\xa0»', '”']
29 Guillemets typographiques ouvrants. =>   # Ce doit être la première entrée de votre sources.list pour utiliser "sync" ou "mirror" | " => suggestions : ['«\xa0', '“']
29 Mot inconnu : mirror =>   # Ce doit être la première entrée de votre sources.list pour utiliser "sync" ou "mirror" | mirror
29 Guillemets typographiques fermants. =>   # Ce doit être la première entrée de votre sources.list pour utiliser "sync" ou "mirror" | " => suggestions : ['\xa0»', '”']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   LOCALDIR=/mnt/archives/apt-mirror |    => suggestions : ['']
30 Mot inconnu : LOCALDIR =>   LOCALDIR=/mnt/archives/apt-mirror | localdir

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # La distribution pour laquelle vous souhaitez créer le dépôt |    => suggestions : ['']

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   DIST=trusty |    => suggestions : ['']
33 Mot inconnu : DIST =>   DIST=trusty | dist

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # Le type de paquet que vous voulez copier.  |    => suggestions : ['']
35 Espace(s) en fin de ligne à supprimer. =>   # Le type de paquet que vous voulez copier.  |   => suggestions : ['']

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # Valeurs possibles : binary, source, both (n'utiliser qu'une valeur). |    => suggestions : ['']
