
2 Mot inconnu : X555 [[12:16]] => ====== ASUS X555 (core i3) ====== <|> x555
2 Mot inconnu : core [[18:22]] => ====== ASUS X555 (core i3) ====== <|> core
2 Mot inconnu : i3 [[23:25]] => ====== ASUS X555 (core i3) ====== <|> i3
3 Mot inconnu : dual-boot [[67:76]] => <note>Installation de linux mint 17.3 (basé sur ubuntu 14.04.3) en dual-boot d'un window$ 8.1 qui est préinstallé en UEFI</note> <|> dual-boot
3 Mot inconnu : window [[82:88]] => <note>Installation de linux mint 17.3 (basé sur ubuntu 14.04.3) en dual-boot d'un window$ 8.1 qui est préinstallé en UEFI</note> <|> window

9 Mot inconnu : win8 [[17:21]] => ===== Configurer win8 ===== <|> win8
15 Mot inconnu : win [[4:7]] =>   * win+Q pour rechercher partout : "boutons d'alimentation" <|> win
15 Guillemets typographiques ouvrants. [[36:37]] =>   * win+Q pour rechercher partout : "boutons d'alimentation" <|> " => suggestions : « “
15 Guillemets typographiques fermants. [[59:60]] =>   * win+Q pour rechercher partout : "boutons d'alimentation" <|> " => suggestions :  »”

24 Accord de nombre erroné : « bios » est au pluriel. [[17:19]] => pour entrer dans le bios : suppr <|> le => suggestions : les
24 Accord de nombre erroné : « bios » devrait être au singulier. [[20:24]] => pour entrer dans le bios : suppr <|> bios => suggestions : bio
24 Mot inconnu : suppr [[27:32]] => pour entrer dans le bios : suppr <|> suppr

26 Guillemets typographiques ouvrants. [[11:12]] => aller dans "security", "secure boot menu" et désactiver "Secure boot control" <|> " => suggestions : « “
26 Mot inconnu : security [[12:20]] => aller dans "security", "secure boot menu" et désactiver "Secure boot control" <|> security
26 Guillemets typographiques fermants. [[20:21]] => aller dans "security", "secure boot menu" et désactiver "Secure boot control" <|> " => suggestions :  »”
26 Guillemets typographiques ouvrants. [[23:24]] => aller dans "security", "secure boot menu" et désactiver "Secure boot control" <|> " => suggestions : « “
26 Mot inconnu : secure [[24:30]] => aller dans "security", "secure boot menu" et désactiver "Secure boot control" <|> secure
26 Guillemets typographiques fermants. [[40:41]] => aller dans "security", "secure boot menu" et désactiver "Secure boot control" <|> " => suggestions :  »”
26 Guillemets typographiques ouvrants. [[56:57]] => aller dans "security", "secure boot menu" et désactiver "Secure boot control" <|> " => suggestions : « “
26 Mot inconnu : Secure [[57:63]] => aller dans "security", "secure boot menu" et désactiver "Secure boot control" <|> secure
26 Mot inconnu : control [[69:76]] => aller dans "security", "secure boot menu" et désactiver "Secure boot control" <|> control
26 Guillemets typographiques fermants. [[76:77]] => aller dans "security", "secure boot menu" et désactiver "Secure boot control" <|> " => suggestions :  »”

28 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. [[0:4]] => dans Boot, désactiver absolument "Lauch CSM" pour que l'installation d'ubuntu se fasse en mode UEFI. Sinon c'est en mode legacy, et le dual-boot sera impossible. Si jamais vous avez fait cette bêtise, il est possible de transformer ubuntu legacy en ubuntu UEFI au prix de multiples manoeuvres (https://forum.ubuntu-fr.org/viewtopic.php?id=1770981) <|> dans => suggestions : Dans
28 Guillemets typographiques ouvrants. [[33:34]] => dans Boot, désactiver absolument "Lauch CSM" pour que l'installation d'ubuntu se fasse en mode UEFI. Sinon c'est en mode legacy, et le dual-boot sera impossible. Si jamais vous avez fait cette bêtise, il est possible de transformer ubuntu legacy en ubuntu UEFI au prix de multiples manoeuvres (https://forum.ubuntu-fr.org/viewtopic.php?id=1770981) <|> " => suggestions : « “
28 Mot inconnu : Lauch [[34:39]] => dans Boot, désactiver absolument "Lauch CSM" pour que l'installation d'ubuntu se fasse en mode UEFI. Sinon c'est en mode legacy, et le dual-boot sera impossible. Si jamais vous avez fait cette bêtise, il est possible de transformer ubuntu legacy en ubuntu UEFI au prix de multiples manoeuvres (https://forum.ubuntu-fr.org/viewtopic.php?id=1770981) <|> lauch
28 Mot inconnu : CSM [[40:43]] => dans Boot, désactiver absolument "Lauch CSM" pour que l'installation d'ubuntu se fasse en mode UEFI. Sinon c'est en mode legacy, et le dual-boot sera impossible. Si jamais vous avez fait cette bêtise, il est possible de transformer ubuntu legacy en ubuntu UEFI au prix de multiples manoeuvres (https://forum.ubuntu-fr.org/viewtopic.php?id=1770981) <|> csm
28 Guillemets typographiques fermants. [[43:44]] => dans Boot, désactiver absolument "Lauch CSM" pour que l'installation d'ubuntu se fasse en mode UEFI. Sinon c'est en mode legacy, et le dual-boot sera impossible. Si jamais vous avez fait cette bêtise, il est possible de transformer ubuntu legacy en ubuntu UEFI au prix de multiples manoeuvres (https://forum.ubuntu-fr.org/viewtopic.php?id=1770981) <|> " => suggestions :  »”
28 Mot inconnu : legacy [[121:127]] => dans Boot, désactiver absolument "Lauch CSM" pour que l'installation d'ubuntu se fasse en mode UEFI. Sinon c'est en mode legacy, et le dual-boot sera impossible. Si jamais vous avez fait cette bêtise, il est possible de transformer ubuntu legacy en ubuntu UEFI au prix de multiples manoeuvres (https://forum.ubuntu-fr.org/viewtopic.php?id=1770981) <|> legacy
28 Mot inconnu : dual-boot [[135:144]] => dans Boot, désactiver absolument "Lauch CSM" pour que l'installation d'ubuntu se fasse en mode UEFI. Sinon c'est en mode legacy, et le dual-boot sera impossible. Si jamais vous avez fait cette bêtise, il est possible de transformer ubuntu legacy en ubuntu UEFI au prix de multiples manoeuvres (https://forum.ubuntu-fr.org/viewtopic.php?id=1770981) <|> dual-boot
28 Mot inconnu : legacy [[239:245]] => dans Boot, désactiver absolument "Lauch CSM" pour que l'installation d'ubuntu se fasse en mode UEFI. Sinon c'est en mode legacy, et le dual-boot sera impossible. Si jamais vous avez fait cette bêtise, il est possible de transformer ubuntu legacy en ubuntu UEFI au prix de multiples manoeuvres (https://forum.ubuntu-fr.org/viewtopic.php?id=1770981) <|> legacy
28 Mot inconnu : manoeuvres [[282:292]] => dans Boot, désactiver absolument "Lauch CSM" pour que l'installation d'ubuntu se fasse en mode UEFI. Sinon c'est en mode legacy, et le dual-boot sera impossible. Si jamais vous avez fait cette bêtise, il est possible de transformer ubuntu legacy en ubuntu UEFI au prix de multiples manoeuvres (https://forum.ubuntu-fr.org/viewtopic.php?id=1770981) <|> manoeuvres

32 Guillemets typographiques ouvrants. [[37:38]] => Après l'installation, si des entrées "obscures" apparaissent dans grub, on peut les nettoyer : https://forum.ubuntu-fr.org/viewtopic.php?id=1985695 <|> " => suggestions : « “
32 Guillemets typographiques fermants. [[46:47]] => Après l'installation, si des entrées "obscures" apparaissent dans grub, on peut les nettoyer : https://forum.ubuntu-fr.org/viewtopic.php?id=1985695 <|> " => suggestions :  »”

36 Guillemets typographiques ouvrants. [[0:1]] => "Gestionnaire de pilotes" -> "Ne pas utiliser le périphérique" est coché donc mettre à la place le pilote recommandé "bcmwl-kernel-source" <|> " => suggestions : « “
36 Guillemets typographiques fermants. [[24:25]] => "Gestionnaire de pilotes" -> "Ne pas utiliser le périphérique" est coché donc mettre à la place le pilote recommandé "bcmwl-kernel-source" <|> " => suggestions :  »”
36 Guillemets typographiques ouvrants. [[29:30]] => "Gestionnaire de pilotes" -> "Ne pas utiliser le périphérique" est coché donc mettre à la place le pilote recommandé "bcmwl-kernel-source" <|> " => suggestions : « “
36 Guillemets typographiques fermants. [[61:62]] => "Gestionnaire de pilotes" -> "Ne pas utiliser le périphérique" est coché donc mettre à la place le pilote recommandé "bcmwl-kernel-source" <|> " => suggestions :  »”
36 Guillemets typographiques ouvrants. [[117:118]] => "Gestionnaire de pilotes" -> "Ne pas utiliser le périphérique" est coché donc mettre à la place le pilote recommandé "bcmwl-kernel-source" <|> " => suggestions : « “
36 Mot inconnu : bcmwl-kernel-source [[118:137]] => "Gestionnaire de pilotes" -> "Ne pas utiliser le périphérique" est coché donc mettre à la place le pilote recommandé "bcmwl-kernel-source" <|> bcmwl-kernel-source
36 Guillemets typographiques fermants. [[137:138]] => "Gestionnaire de pilotes" -> "Ne pas utiliser le périphérique" est coché donc mettre à la place le pilote recommandé "bcmwl-kernel-source" <|> " => suggestions :  »”

38 Guillemets typographiques ouvrants. [[12:13]] => ==== Touche "fn" ne fonctionne pas ==== <|> " => suggestions : « “
38 Mot inconnu : fn [[13:15]] => ==== Touche "fn" ne fonctionne pas ==== <|> fn
38 Guillemets typographiques fermants. [[15:16]] => ==== Touche "fn" ne fonctionne pas ==== <|> " => suggestions :  »”

