
4 Mot inconnu : XeLaTeX => ====== XeLaTeX, langage de description de document ======  | xelatex
4 Espace(s) en fin de ligne à supprimer. => ====== XeLaTeX, langage de description de document ======  |   => suggestions : ['']

6 Mot inconnu : XeLaTeX => **XeLaTeX** est une variante de [[latex|LaTeX]], la structure générale du document reste identique et l'immense majorité des commandes et packages continuent de fonctionner comme d'habitude. | xelatex

8 Mot inconnu : XeLaTeX => Cependant, XeLaTeX comporte plusieurs avantages par rapport à LaTeX : | xelatex
8 Mot inconnu : LaTeX => Cependant, XeLaTeX comporte plusieurs avantages par rapport à LaTeX : | latex

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

35 Mot inconnu : eFrench => En utilisant eFrench (sans babel) : | efrench
35 Mot inconnu : babel => En utilisant eFrench (sans babel) : | babel

52 Mot inconnu : LaTeX => La plupart des éditeurs LaTeX gèrent nativement XeLaTeX — c’est le cas de [[LaTeXila]], pour lequel il faut aller dans le menu //LaTeXila → Gérer les outils de construction//, puis cocher la case //XeTeX → PDF (Latexmk)//. L’icône de compilation en XeLaTeX apparaitra alors aux côtés de l’icône de compilation LaTeX que vous utilisez habituellement ; si vous ne compilez qu’en XeLaTeX, il est possible de cacher l’icône pour LaTeX en décochant sa case dans le menu sus-décrit. | latex
52 Mot inconnu : XeLaTeX => La plupart des éditeurs LaTeX gèrent nativement XeLaTeX — c’est le cas de [[LaTeXila]], pour lequel il faut aller dans le menu //LaTeXila → Gérer les outils de construction//, puis cocher la case //XeTeX → PDF (Latexmk)//. L’icône de compilation en XeLaTeX apparaitra alors aux côtés de l’icône de compilation LaTeX que vous utilisez habituellement ; si vous ne compilez qu’en XeLaTeX, il est possible de cacher l’icône pour LaTeX en décochant sa case dans le menu sus-décrit. | xelatex
52 Mot inconnu : LaTeXila => La plupart des éditeurs LaTeX gèrent nativement XeLaTeX — c’est le cas de [[LaTeXila]], pour lequel il faut aller dans le menu //LaTeXila → Gérer les outils de construction//, puis cocher la case //XeTeX → PDF (Latexmk)//. L’icône de compilation en XeLaTeX apparaitra alors aux côtés de l’icône de compilation LaTeX que vous utilisez habituellement ; si vous ne compilez qu’en XeLaTeX, il est possible de cacher l’icône pour LaTeX en décochant sa case dans le menu sus-décrit. | latexila
52 Mot inconnu : LaTeXila => La plupart des éditeurs LaTeX gèrent nativement XeLaTeX — c’est le cas de [[LaTeXila]], pour lequel il faut aller dans le menu //LaTeXila → Gérer les outils de construction//, puis cocher la case //XeTeX → PDF (Latexmk)//. L’icône de compilation en XeLaTeX apparaitra alors aux côtés de l’icône de compilation LaTeX que vous utilisez habituellement ; si vous ne compilez qu’en XeLaTeX, il est possible de cacher l’icône pour LaTeX en décochant sa case dans le menu sus-décrit. | latexila
