
4 Mot inconnu : Heroes [[7:13]] => ====== Heroes of Newerth ====== <|> heroes
4 Mot inconnu : of [[14:16]] => ====== Heroes of Newerth ====== <|> of
4 Mot inconnu : Newerth [[17:24]] => ====== Heroes of Newerth ====== <|> newerth
22 Mot inconnu : Core [[24:28]] =>   * Processeur : 2.0GHz Core 2 Duo / AMD 3500+ ou plus rapide ; <|> core
23 Mot inconnu : GiO [[14:17]] =>   * RAM : 1.0 GiO ou plus ; <|> gio
24 Mot inconnu : MB [[49:51]] =>   * Carte vidéo : GeForce 5 ou ATI 9800 avec 128 MB VRAM ; <|> mb
24 Mot inconnu : VRAM [[52:56]] =>   * Carte vidéo : GeForce 5 ou ATI 9800 avec 128 MB VRAM ; <|> vram

44 Mot inconnu : stats [[104:109]] => Pour apprendre à jouer, préférez jouer des parties dont les statistiques ne sont pas enregistrées (//No stats//) et choisissez des héros plutôt simples à jouer (Arachna, Predator, etc.). Vous pouvez apprendre avec le mode « Casual », qui facilite le jeu (temps de réapparition des héros plus court, pas de perte d'or à la mort, etc.). <|> stats
44 Mot inconnu : Arachna [[161:168]] => Pour apprendre à jouer, préférez jouer des parties dont les statistiques ne sont pas enregistrées (//No stats//) et choisissez des héros plutôt simples à jouer (Arachna, Predator, etc.). Vous pouvez apprendre avec le mode « Casual », qui facilite le jeu (temps de réapparition des héros plus court, pas de perte d'or à la mort, etc.). <|> arachna
44 Mot inconnu : Predator [[170:178]] => Pour apprendre à jouer, préférez jouer des parties dont les statistiques ne sont pas enregistrées (//No stats//) et choisissez des héros plutôt simples à jouer (Arachna, Predator, etc.). Vous pouvez apprendre avec le mode « Casual », qui facilite le jeu (temps de réapparition des héros plus court, pas de perte d'or à la mort, etc.). <|> predator
44 Mot inconnu : Casual [[224:230]] => Pour apprendre à jouer, préférez jouer des parties dont les statistiques ne sont pas enregistrées (//No stats//) et choisissez des héros plutôt simples à jouer (Arachna, Predator, etc.). Vous pouvez apprendre avec le mode « Casual », qui facilite le jeu (temps de réapparition des héros plus court, pas de perte d'or à la mort, etc.). <|> casual
51 Accord de nombre erroné : « champs » est au pluriel. [[47:49]] =>   * Modifier l'interface du jeu pour augmenter le champs de vision ; <|> le => suggestions : ['les']
51 Accord de nombre erroné : « champs » devrait être au singulier. [[50:56]] =>   * Modifier l'interface du jeu pour augmenter le champs de vision ; <|> champs => suggestions : ['champ']
73 Guillemets typographiques ouvrants. [[150:151]] => et y ajouter ce texte (la dernière ligne concernant la résolution d'écran, si votre écran n'est pas full HD, mettez des valeurs adéquates, pour moi : "1680,1050"): <|> " => suggestions : ['«\xa0', '“']
73 Formatage des grands nombres. [[151:155]] => et y ajouter ce texte (la dernière ligne concernant la résolution d'écran, si votre écran n'est pas full HD, mettez des valeurs adéquates, pour moi : "1680,1050"): <|> 1680 => suggestions : ['1\xa0680']
73 Guillemets typographiques fermants. [[160:161]] => et y ajouter ce texte (la dernière ligne concernant la résolution d'écran, si votre écran n'est pas full HD, mettez des valeurs adéquates, pour moi : "1680,1050"): <|> " => suggestions : ['\xa0»', '”']

79 Mot inconnu : Enregister [[0:10]] => Enregister le fichier et quitter l'éditeur de texte. <|> enregister
