
4 Mot inconnu : FreeDiams => ====== FreeDiams ====== | freediams

9 Mot inconnu : FreeDiams => FreeDiams est soutenu par les communautés open source [[https://www.debian.org/devel/debian-med/index.fr.html|Debian-Med]], [[http://en.opensuse.org/Portal:Medical|OpenSuse Medical]] et [[http://fedoraproject.org/wiki/SIGs/FedoraMedical|Fedora Medical]]. | freediams
9 Mot inconnu : Medical => FreeDiams est soutenu par les communautés open source [[https://www.debian.org/devel/debian-med/index.fr.html|Debian-Med]], [[http://en.opensuse.org/Portal:Medical|OpenSuse Medical]] et [[http://fedoraproject.org/wiki/SIGs/FedoraMedical|Fedora Medical]]. | medical
9 Mot inconnu : OpenSuse => FreeDiams est soutenu par les communautés open source [[https://www.debian.org/devel/debian-med/index.fr.html|Debian-Med]], [[http://en.opensuse.org/Portal:Medical|OpenSuse Medical]] et [[http://fedoraproject.org/wiki/SIGs/FedoraMedical|Fedora Medical]]. | opensuse
9 Mot inconnu : Medical => FreeDiams est soutenu par les communautés open source [[https://www.debian.org/devel/debian-med/index.fr.html|Debian-Med]], [[http://en.opensuse.org/Portal:Medical|OpenSuse Medical]] et [[http://fedoraproject.org/wiki/SIGs/FedoraMedical|Fedora Medical]]. | medical
9 Mot inconnu : Medical => FreeDiams est soutenu par les communautés open source [[https://www.debian.org/devel/debian-med/index.fr.html|Debian-Med]], [[http://en.opensuse.org/Portal:Medical|OpenSuse Medical]] et [[http://fedoraproject.org/wiki/SIGs/FedoraMedical|Fedora Medical]]. | medical

11 Accord de genre erroné : « interface » est féminin. => Il est développé par des médecins et se destine à une utilisation par ces mêmes professionnels. Il peut être utilisé seul pour prescrire et/ou tester les interactions médicamenteuses d’une prescription. Il peut être lié à n’importe quelle application grâce à l'utilisation d'un interface d'interopérabilité ouverte. | un => suggestions : ['une']
11 Accord de genre erroné : « un » est un déterminant masculin. => Il est développé par des médecins et se destine à une utilisation par ces mêmes professionnels. Il peut être utilisé seul pour prescrire et/ou tester les interactions médicamenteuses d’une prescription. Il peut être lié à n’importe quelle application grâce à l'utilisation d'un interface d'interopérabilité ouverte. | interface => suggestions : ['interfacé']

13 Mot inconnu : FreeDiams => FreeDiams peut gérer plusieurs bases de données thérapeutiques. Les bases de données disponibles sont: | freediams

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Française (sources: AFSSAPS) |    => suggestions : ['']
14 Mot inconnu : AFSSAPS =>   * Française (sources: AFSSAPS) | afssaps

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Canadienne (sources: HCDPD) |    => suggestions : ['']
15 Mot inconnu : HCDPD =>   * Canadienne (sources: HCDPD) | hcdpd

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Américaine (sources: FDA) |    => suggestions : ['']
16 Mot inconnu : FDA =>   * Américaine (sources: FDA) | fda

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Belge |    => suggestions : ['']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Portuguaise (en cours) |    => suggestions : ['']
18 Mot inconnu : Portuguaise =>   * Portuguaise (en cours) | portuguaise

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Sud Africaine (sources: SAEPI) |    => suggestions : ['']
19 Accord de genre erroné avec « Sud ». =>   * Sud Africaine (sources: SAEPI) | africaine => suggestions : ['Africain']
19 Mot inconnu : SAEPI =>   * Sud Africaine (sources: SAEPI) | saepi
21 Mot inconnu : AFSSAPS => La base de données des interactions (source: AFSSAPS) donne accès divers informations: | afssaps

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * les interactions elle-mêmes |    => suggestions : ['']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * le niveau de risque |    => suggestions : ['']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * la nature du risque |    => suggestions : ['']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * la conduite à tenir |    => suggestions : ['']

27 Mot inconnu : FreeDiams => === Que signifie FreeDiams === | freediams

29 Mot inconnu : FreeDiams => Le premier objectif de FreeDiams était uniquement de tester les interactions médicamenteuses au sein d’une même ordonnance. Son premier nom était alors DrugsInteractions. Avec le temps, FreeDiams a acquis la possibilité de réaliser des prescriptions. Son nom est alors devenu… incomplet… Il a donc été renommé avant la version 0.0.10 en FreeDiams qui signifie : **Free Drugs InterActions Manager and preScriptor**. | freediams
29 Mot inconnu : DrugsInteractions => Le premier objectif de FreeDiams était uniquement de tester les interactions médicamenteuses au sein d’une même ordonnance. Son premier nom était alors DrugsInteractions. Avec le temps, FreeDiams a acquis la possibilité de réaliser des prescriptions. Son nom est alors devenu… incomplet… Il a donc été renommé avant la version 0.0.10 en FreeDiams qui signifie : **Free Drugs InterActions Manager and preScriptor**. | drugsinteractions
29 Mot inconnu : FreeDiams => Le premier objectif de FreeDiams était uniquement de tester les interactions médicamenteuses au sein d’une même ordonnance. Son premier nom était alors DrugsInteractions. Avec le temps, FreeDiams a acquis la possibilité de réaliser des prescriptions. Son nom est alors devenu… incomplet… Il a donc été renommé avant la version 0.0.10 en FreeDiams qui signifie : **Free Drugs InterActions Manager and preScriptor**. | freediams
29 Mot inconnu : FreeDiams => Le premier objectif de FreeDiams était uniquement de tester les interactions médicamenteuses au sein d’une même ordonnance. Son premier nom était alors DrugsInteractions. Avec le temps, FreeDiams a acquis la possibilité de réaliser des prescriptions. Son nom est alors devenu… incomplet… Il a donc été renommé avant la version 0.0.10 en FreeDiams qui signifie : **Free Drugs InterActions Manager and preScriptor**. | freediams
29 Mot inconnu : Drugs => Le premier objectif de FreeDiams était uniquement de tester les interactions médicamenteuses au sein d’une même ordonnance. Son premier nom était alors DrugsInteractions. Avec le temps, FreeDiams a acquis la possibilité de réaliser des prescriptions. Son nom est alors devenu… incomplet… Il a donc été renommé avant la version 0.0.10 en FreeDiams qui signifie : **Free Drugs InterActions Manager and preScriptor**. | drugs
29 Mot inconnu : InterActions => Le premier objectif de FreeDiams était uniquement de tester les interactions médicamenteuses au sein d’une même ordonnance. Son premier nom était alors DrugsInteractions. Avec le temps, FreeDiams a acquis la possibilité de réaliser des prescriptions. Son nom est alors devenu… incomplet… Il a donc été renommé avant la version 0.0.10 en FreeDiams qui signifie : **Free Drugs InterActions Manager and preScriptor**. | interactions
29 Mot inconnu : and => Le premier objectif de FreeDiams était uniquement de tester les interactions médicamenteuses au sein d’une même ordonnance. Son premier nom était alors DrugsInteractions. Avec le temps, FreeDiams a acquis la possibilité de réaliser des prescriptions. Son nom est alors devenu… incomplet… Il a donc été renommé avant la version 0.0.10 en FreeDiams qui signifie : **Free Drugs InterActions Manager and preScriptor**. | and
29 Mot inconnu : preScriptor => Le premier objectif de FreeDiams était uniquement de tester les interactions médicamenteuses au sein d’une même ordonnance. Son premier nom était alors DrugsInteractions. Avec le temps, FreeDiams a acquis la possibilité de réaliser des prescriptions. Son nom est alors devenu… incomplet… Il a donc été renommé avant la version 0.0.10 en FreeDiams qui signifie : **Free Drugs InterActions Manager and preScriptor**. | prescriptor

31 Mot inconnu : FreeDiams => ===== Que peut faire FreeDiams pour vous ? ===== | freediams

34 Mot inconnu : FreeDiams => FreeDiams est un logiciel **stable** et **abouti**. Il peut être utilisé en pratique courante sans arrière pensée, la pérennité des données est assurée entre les versions depuis la version 0.0.8. | freediams
34 Accord de genre erroné avec « pensée ». => FreeDiams est un logiciel **stable** et **abouti**. Il peut être utilisé en pratique courante sans arrière pensée, la pérennité des données est assurée entre les versions depuis la version 0.0.8. | arrière => suggestions : ['arriérée']
34 Accord de genre erroné avec « arrière ». => FreeDiams est un logiciel **stable** et **abouti**. Il peut être utilisé en pratique courante sans arrière pensée, la pérennité des données est assurée entre les versions depuis la version 0.0.8. | pensée => suggestions : ['pensé']

36 Il manque un trait d’union. => Voici quelques unes de ses fonctionnalités: | quelques unes => suggestions : ['quelques-unes']

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Utilisation en mode autonome ou connecté à un gestionnaire de dossiers médicaux compatible (FreeMedForms, GNUmed par ex) |    => suggestions : ['']
37 Mot inconnu : FreeMedForms =>   * Utilisation en mode autonome ou connecté à un gestionnaire de dossiers médicaux compatible (FreeMedForms, GNUmed par ex) | freemedforms
37 Mot inconnu : GNUmed =>   * Utilisation en mode autonome ou connecté à un gestionnaire de dossiers médicaux compatible (FreeMedForms, GNUmed par ex) | gnumed

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Accès à l'intégralité des thérapeutiques commercialisées : France, Etats-Unis d'Amérique, Canada, Belgique, Portugal |    => suggestions : ['']
38 Mot inconnu : Etats-Unis =>   * Accès à l'intégralité des thérapeutiques commercialisées : France, Etats-Unis d'Amérique, Canada, Belgique, Portugal | etats-unis

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Accès à la majorité des thérapeutiques : Afrique du Sud |    => suggestions : ['']

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Possibilité d'ajouter vous-même votre propre base de données thérapeutique |    => suggestions : ['']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Bases de données compatible avec la classification ATC |    => suggestions : ['']
41 Mot inconnu : ATC =>   * Bases de données compatible avec la classification ATC | atc

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Internationalisation intégrale de l'interface. Langages disponibles: français, anglais (allemand en cours). |    => suggestions : ['']

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Saisie assistée, recherche des médicaments par leur nom, leur composition moléculaire ou leur DCI |    => suggestions : ['']
44 Mot inconnu : DCI =>   * Saisie assistée, recherche des médicaments par leur nom, leur composition moléculaire ou leur DCI | dci

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Peut être utilisé pour prescrire ou pour tester les interactions uniquement |    => suggestions : ['']
45 Confusion probable. Pour dire “possiblement”, écrivez “peut-être”. =>   * Peut être utilisé pour prescrire ou pour tester les interactions uniquement | peut être => suggestions : ['Peut-être']

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Les prescriptions peuvent être en nom commercial ou en DCI pour la majorité des thérapeutiques |    => suggestions : ['']
46 Mot inconnu : DCI =>   * Les prescriptions peuvent être en nom commercial ou en DCI pour la majorité des thérapeutiques | dci

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Calcul des interactions médicamenteuses en temps réel |    => suggestions : ['']

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avec possibilité de paramétrer des alertes dynamiques bloquantes |    => suggestions : ['']

