
7 Mot inconnu : PHP-XDebug [[18:28]] => ====== Eclipse et PHP-XDebug ====== <|> php-xdebug

9 Mot inconnu : PDT [[67:70]] => <note>Cette documentation est basée sur une installation d'Eclipse PDT (Simplement téléchargée, décompressée et utilisée telle quelle). Cependant je ne vois pas pourquoi cela ne s'appliquerait pas à d'autres.</note> <|> pdt

12 Mot inconnu : débug [[81:86]] => Vous avez installé Eclipse pour faire de développement PHP, mais qu'en est-il du débug ?\\ <|> débug

13 Accord de nombre erroné : « fonction » devrait être au pluriel. [[29:37]] => Bien entendu, passer par les fonction var_dump(), echo print etc. est une solution, mais il est toujours plus interessant d'avoir plus d'informations et de pouvoir utiliser des points d'arrêts/pause dans l'exécution du script pour surveiller ses variables et voir si le résultat est celui attendu avant la fin du script.\\ <|> fonction => suggestions : ['fonctions']
13 Mot inconnu : var_dump [[38:46]] => Bien entendu, passer par les fonction var_dump(), echo print etc. est une solution, mais il est toujours plus interessant d'avoir plus d'informations et de pouvoir utiliser des points d'arrêts/pause dans l'exécution du script pour surveiller ses variables et voir si le résultat est celui attendu avant la fin du script.\\ <|> var_dump
13 Mot inconnu : echo [[50:54]] => Bien entendu, passer par les fonction var_dump(), echo print etc. est une solution, mais il est toujours plus interessant d'avoir plus d'informations et de pouvoir utiliser des points d'arrêts/pause dans l'exécution du script pour surveiller ses variables et voir si le résultat est celui attendu avant la fin du script.\\ <|> echo
13 Mot inconnu : print [[55:60]] => Bien entendu, passer par les fonction var_dump(), echo print etc. est une solution, mais il est toujours plus interessant d'avoir plus d'informations et de pouvoir utiliser des points d'arrêts/pause dans l'exécution du script pour surveiller ses variables et voir si le résultat est celui attendu avant la fin du script.\\ <|> print
13 Avant « etc. », il faut mettre une virgule. [[60:65]] => Bien entendu, passer par les fonction var_dump(), echo print etc. est une solution, mais il est toujours plus interessant d'avoir plus d'informations et de pouvoir utiliser des points d'arrêts/pause dans l'exécution du script pour surveiller ses variables et voir si le résultat est celui attendu avant la fin du script.\\ <|>  etc. => suggestions : [', etc.']
13 Mot inconnu : interessant [[110:121]] => Bien entendu, passer par les fonction var_dump(), echo print etc. est une solution, mais il est toujours plus interessant d'avoir plus d'informations et de pouvoir utiliser des points d'arrêts/pause dans l'exécution du script pour surveiller ses variables et voir si le résultat est celui attendu avant la fin du script.\\ <|> interessant

15 Mot inconnu : Xdebug [[0:6]] => Xdebug est une extension PHP très pratique, écrite par l'un des développeurs de PHP, Derick Rethans. \\ <|> xdebug
15 Mot inconnu : Derick [[85:91]] => Xdebug est une extension PHP très pratique, écrite par l'un des développeurs de PHP, Derick Rethans. \\ <|> derick
15 Mot inconnu : Rethans [[92:99]] => Xdebug est une extension PHP très pratique, écrite par l'un des développeurs de PHP, Derick Rethans. \\ <|> rethans

17 Mot inconnu : Xdebug [[24:30]] => Bien entendu la version Xdebug  peut aussi s'installer en téléchargeant les binaires du site, en compilant les sources ou via PECL. Pour les anglophones qui préfèrent installer la dernière version, je vous invite à consulter les liens en bas de page ;-) <|> xdebug
17 Espace(s) surnuméraire(s) à supprimer. [[30:32]] => Bien entendu la version Xdebug  peut aussi s'installer en téléchargeant les binaires du site, en compilant les sources ou via PECL. Pour les anglophones qui préfèrent installer la dernière version, je vous invite à consulter les liens en bas de page ;-) <|>    => suggestions : [' ']
