
6 Espace(s) en fin de ligne à supprimer. => Voici toutes les optimisations pour accélérer Ubuntu.   |    => suggestions : ['']
26 Mot inconnu : Preload => À n'utiliser que si vous avez un minimum de 3 Go de RAM. Permet d'accélérer le premier démarrage des logiciels les plus souvent utilisés. Preload ne permet pas au système de démarrer plus rapidement. Pour accélérer le boot, ureadahead est utilisé. Preload réduit la latence du premier démarrage d'une application mais il charge en permanence le système, ce qui rend l'exécution d'un programme déjà chargé en mémoire moins rapide. Par ailleurs, Preload augmente la consommation d'énergie : à éviter sur un ordinateur portable. | preload
26 Mot inconnu : boot => À n'utiliser que si vous avez un minimum de 3 Go de RAM. Permet d'accélérer le premier démarrage des logiciels les plus souvent utilisés. Preload ne permet pas au système de démarrer plus rapidement. Pour accélérer le boot, ureadahead est utilisé. Preload réduit la latence du premier démarrage d'une application mais il charge en permanence le système, ce qui rend l'exécution d'un programme déjà chargé en mémoire moins rapide. Par ailleurs, Preload augmente la consommation d'énergie : à éviter sur un ordinateur portable. | boot
26 Mot inconnu : ureadahead => À n'utiliser que si vous avez un minimum de 3 Go de RAM. Permet d'accélérer le premier démarrage des logiciels les plus souvent utilisés. Preload ne permet pas au système de démarrer plus rapidement. Pour accélérer le boot, ureadahead est utilisé. Preload réduit la latence du premier démarrage d'une application mais il charge en permanence le système, ce qui rend l'exécution d'un programme déjà chargé en mémoire moins rapide. Par ailleurs, Preload augmente la consommation d'énergie : à éviter sur un ordinateur portable. | ureadahead
26 Mot inconnu : Preload => À n'utiliser que si vous avez un minimum de 3 Go de RAM. Permet d'accélérer le premier démarrage des logiciels les plus souvent utilisés. Preload ne permet pas au système de démarrer plus rapidement. Pour accélérer le boot, ureadahead est utilisé. Preload réduit la latence du premier démarrage d'une application mais il charge en permanence le système, ce qui rend l'exécution d'un programme déjà chargé en mémoire moins rapide. Par ailleurs, Preload augmente la consommation d'énergie : à éviter sur un ordinateur portable. | preload
26 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. => À n'utiliser que si vous avez un minimum de 3 Go de RAM. Permet d'accélérer le premier démarrage des logiciels les plus souvent utilisés. Preload ne permet pas au système de démarrer plus rapidement. Pour accélérer le boot, ureadahead est utilisé. Preload réduit la latence du premier démarrage d'une application mais il charge en permanence le système, ce qui rend l'exécution d'un programme déjà chargé en mémoire moins rapide. Par ailleurs, Preload augmente la consommation d'énergie : à éviter sur un ordinateur portable. |  mais => suggestions : [', mais']
26 Mot inconnu : Preload => À n'utiliser que si vous avez un minimum de 3 Go de RAM. Permet d'accélérer le premier démarrage des logiciels les plus souvent utilisés. Preload ne permet pas au système de démarrer plus rapidement. Pour accélérer le boot, ureadahead est utilisé. Preload réduit la latence du premier démarrage d'une application mais il charge en permanence le système, ce qui rend l'exécution d'un programme déjà chargé en mémoire moins rapide. Par ailleurs, Preload augmente la consommation d'énergie : à éviter sur un ordinateur portable. | preload

32 Mot inconnu : energie => //voir [[energie#outils|La gestion de l'énergie sous Ubuntu (section Outils)]]// | energie

45 Si “Gio” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => Si vous avez 1 Gio de mémoire vive ou plus, vous pouvez essayer de diminuer la propension de Linux à utiliser le fichier d'échange. Le système travaillera un peu plus en mémoire. Selon les utilisations, il peut devenir plus réactif, ou pas.  | 1 gio => suggestions : ['1\xa0Gio']
