5 Mot inconnu : Redback [[4:11]] =>   * Redback : NASs <|> redback
5 Mot inconnu : NASs [[14:18]] =>   * Redback : NASs <|> nass
6 Mot inconnu : ADC [[4:7]] =>   * ADC EZT3 <|> adc
6 Mot inconnu : EZT3 [[8:12]] =>   * ADC EZT3 <|> ezt3
7 Mot inconnu : MRTd [[4:8]] =>   * MRTd <|> mrtd
8 Mot inconnu : Alteon [[4:10]] =>   * Alteon : switchs <|> alteon
9 Mot inconnu : Procurve [[17:25]] =>   * HP : switchs Procurve <|> procurve

12 Mot inconnu : cvsweb [[23:29]] => ===== Configuration de cvsweb ===== <|> cvsweb

14 Mot inconnu : cvsweb [[53:59]] => Une première étape est la configuration du serveur **cvsweb**. En effet, il faut lui spécifier le répertoire racine qu'il doit utiliser.\\ <|> cvsweb

55 Mot inconnu : Rancid [[0:6]] => Rancid gère les équipements par groupe. Ainsi, pour chaque groupe sont associés des équipements, et des utilisateurs pour la réception des rapports de sauvegarde.\\ <|> rancid

62 Mot inconnu : rancid-cvs [[25:35]] => <note help>La commande **rancid-cvs** doit être utilisée chaque fois qu'un groupe est ajouté, modifié ou supprimé dans le fichier de configuration **/etc/rancid.conf**</note> <|> rancid-cvs

70 Mot inconnu : Rancid [[27:33]] => L'ajout d'équipements dans Rancid s'effectue avec les fichiers de configuration des groupes d'équipements et s'effectue en 2 étapes : <|> rancid

76 Mot inconnu : db [[60:62]] => L'ajout de l'équipement s'effectue dans le fichier **router.db** du groupe concerné. Ainsi, pour le groupe GRP_SW_1, le fichier se situe à l'emplacement **/var/GRP_SW_1/router.db**.\\ <|> db
76 Mot inconnu : GRP_SW_1 [[107:115]] => L'ajout de l'équipement s'effectue dans le fichier **router.db** du groupe concerné. Ainsi, pour le groupe GRP_SW_1, le fichier se situe à l'emplacement **/var/GRP_SW_1/router.db**.\\ <|> grp_sw_1
77 Mot inconnu : device [[58:64]] => Il est construit selon la syntaxe décrite ci-dessous : **[device]:[type]:[state]:[comments]**  <|> device
77 Mot inconnu : comments [[82:90]] => Il est construit selon la syntaxe décrite ci-dessous : **[device]:[type]:[state]:[comments]**  <|> comments
77 Espace(s) en fin de ligne à supprimer. [[93:94]] => Il est construit selon la syntaxe décrite ci-dessous : **[device]:[type]:[state]:[comments]**  <|>   => suggestions : ['']
78 Mot inconnu : device [[6:12]] =>   * **device** : nom DNS ou IP de l'équipement. <|> device
80 Mot inconnu : up [[58:60]] =>   * **state** : état de fonctionnement de l'équipement : [up/down] <|> up
81 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. [[6:14]] =>   * **comments** : commentaires. Ce champs est facultatif. <|> comments => suggestions : ['Comments']
81 Mot inconnu : comments [[6:14]] =>   * **comments** : commentaires. Ce champs est facultatif. <|> comments
81 Accord de nombre erroné : « champs » devrait être au singulier. [[36:42]] =>   * **comments** : commentaires. Ce champs est facultatif. <|> champs => suggestions : ['champ']

91 Mot inconnu : Rancid [[166:172]] => Chaque groupe peut disposer d'une liste d'adresses mails ou d'alias correspondant aux adresses mails des destinataires de rapports de sauvegarde. Pour chaque groupe, Rancid va considérer deux alias destinataires : <|> rancid
92 Mot inconnu : rancid-admin [[4:16]] =>   * rancid-admin-[GROUPE] <|> rancid-admin
93 Mot inconnu : rancid [[4:10]] =>   * rancid-[GROUPE] <|> rancid

112 Mot inconnu : rancid-run [[72:82]] => Le lancement des sauvegardes des équipements est assuré par le script **rancid-run**. L'utilisation de cette commande sans paramètres déclenche la sauvegarde de tous les groupes d'équipements renseignés par la variable **LIST_OF_GROUPS** dans le fichier de configuration **/etc/rancid.conf**. Cependant, il est également possible de sauvegarder un groupe unique en le renseignant en paramètre. <|> rancid-run
112 Mot inconnu : LIST_OF_GROUPS [[221:235]] => Le lancement des sauvegardes des équipements est assuré par le script **rancid-run**. L'utilisation de cette commande sans paramètres déclenche la sauvegarde de tous les groupes d'équipements renseignés par la variable **LIST_OF_GROUPS** dans le fichier de configuration **/etc/rancid.conf**. Cependant, il est également possible de sauvegarder un groupe unique en le renseignant en paramètre. <|> list_of_groups

140 Mot inconnu : cvsweb [[5:11]] => ==== cvsweb ==== <|> cvsweb

142 Mot inconnu : Not [[8:11]] => === 404 Not Found === <|> not
142 Mot inconnu : Found [[12:17]] => === 404 Not Found === <|> found
145 Mot inconnu : cvsweb [[29:35]] =>   * la présence du dossier **cvsweb** à l'emplacement **/usr/lib/cgi-bin/** <|> cvsweb

162 Mot inconnu : cvsweb [[27:33]] => L'interface graphique de **cvsweb** est supposée afficher des icônes et un style graphique plutôt sobre. Cependant, il arrive qu'au cours de l'installation le dossier contenant les objets et les styles graphiques ne soient pas copiés au bon endroit.\\ <|> cvsweb
