
30 Mettez des guillemets fermants plutôt qu’ouvrants. => ==== Convertir un paquet en « .deb » ==== |  « => suggestions : ['\xa0»', '”']
30 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => ==== Convertir un paquet en « .deb » ==== |  . => suggestions : ['. ', '.']
30 Mot inconnu : deb => ==== Convertir un paquet en « .deb » ==== | deb

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo alien -d paquet.ext |    => suggestions : ['']
32 Mot inconnu : sudo =>   sudo alien -d paquet.ext | sudo
32 Il manque un espace à côté du tiret. =>   sudo alien -d paquet.ext |  - => suggestions : [' – ', ' — ']
32 Mot inconnu : ext =>   sudo alien -d paquet.ext | ext

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo alien -i paquet.ext |    => suggestions : ['']
39 Mot inconnu : sudo =>   sudo alien -i paquet.ext | sudo
39 Il manque un espace à côté du tiret. =>   sudo alien -i paquet.ext |  - => suggestions : [' – ', ' — ']
39 Mot inconnu : ext =>   sudo alien -i paquet.ext | ext

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://kitenet.net/programs/alien/|Site officiel de Alien]] |    => suggestions : ['']
