
5 Mot inconnu : Joomla => ====== Joomla! ====== | joomla

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         ServerName joomla.localhost |          => suggestions : ['']
27 Mot inconnu : ServerName =>         ServerName joomla.localhost | servername
27 Mot inconnu : joomla =>         ServerName joomla.localhost | joomla
27 Mot inconnu : localhost =>         ServerName joomla.localhost | localhost

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         DocumentRoot /var/www/joomla |          => suggestions : ['']
28 Mot inconnu : DocumentRoot =>         DocumentRoot /var/www/joomla | documentroot

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         <Directory /var/www/joomla> |          => suggestions : ['']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 AllowOverride all |                  => suggestions : ['']
30 Mot inconnu : AllowOverride =>                 AllowOverride all | allowoverride
30 Mot inconnu : all =>                 AllowOverride all | all

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 Require all granted |                  => suggestions : ['']
31 Mot inconnu : Require =>                 Require all granted | require
31 Mot inconnu : all =>                 Require all granted | all
31 Mot inconnu : granted =>                 Require all granted | granted

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         </Directory> |          => suggestions : ['']

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         ErrorLog /var/log/apache2/error.joomla.log |          => suggestions : ['']
33 Mot inconnu : ErrorLog =>         ErrorLog /var/log/apache2/error.joomla.log | errorlog

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         CustomLog /var/log/apache2/access.joomla.log combined |          => suggestions : ['']
34 Mot inconnu : CustomLog =>         CustomLog /var/log/apache2/access.joomla.log combined | customlog
34 Mot inconnu : combined =>         CustomLog /var/log/apache2/access.joomla.log combined | combined

41 Mot inconnu : sudo => sudo systemctl reload apache2</code> | sudo
41 Mot inconnu : systemctl => sudo systemctl reload apache2</code> | systemctl
41 Mot inconnu : reload => sudo systemctl reload apache2</code> | reload
41 Mot inconnu : apache2 => sudo systemctl reload apache2</code> | apache2

45 Mot inconnu : Joomla => ==== Installation de Joomla! ==== | joomla

49 Conjugaison erronée. Accord avec « tout ». Le verbe devrait être à la 3ᵉ personne du singulier. => Tout d'​abord téléchargeons la dernière version française de Joomla! : | téléchargeons => suggestions : ['télécharge']
49 Mot inconnu : Joomla => Tout d'​abord téléchargeons la dernière version française de Joomla! : | joomla

62 Mot inconnu : chmod => chmod -R g+w /var/www/joomla/cache /var/www/joomla/tmp /var/www/joomla/administrator/cache /var/www/joomla/administrator/logs /var/www/joomla/configuration.php</code> | chmod
62 Il manque un espace à côté du tiret. => chmod -R g+w /var/www/joomla/cache /var/www/joomla/tmp /var/www/joomla/administrator/cache /var/www/joomla/administrator/logs /var/www/joomla/configuration.php</code> |  - => suggestions : [' – ', ' — ']

74 Mot inconnu : QUIT => QUIT;</code> | quit

81 Mot inconnu : Joomla => Joomla! devrait alors être accessible à l'​adresse [[http://joomla.localhost/]], et cette adresse nous redirige sur une interface qui nous permet de finaliser l'installation en 4 étapes. | joomla

104 Mot inconnu : URLs => ==== Comment activer la réécriture des URLs ==== | urls

106 Forme interrogative ? Mettez un trait d’union. => Rendez vous dans l'administration de votre Joomla!, puis cliquez sur //Configuration//. Dans les //Paramètres SEO//, mettre //oui// pour //Réécriture d'URL en clair (SEF)// et //Réécriture au 'vol' des URL//. Puis cliquez sur //Enregistrer//. | rendez vous => suggestions : ['Rendez-vous']
106 Mot inconnu : Joomla => Rendez vous dans l'administration de votre Joomla!, puis cliquez sur //Configuration//. Dans les //Paramètres SEO//, mettre //oui// pour //Réécriture d'URL en clair (SEF)// et //Réécriture au 'vol' des URL//. Puis cliquez sur //Enregistrer//. | joomla
106 Mot inconnu : SEF => Rendez vous dans l'administration de votre Joomla!, puis cliquez sur //Configuration//. Dans les //Paramètres SEO//, mettre //oui// pour //Réécriture d'URL en clair (SEF)// et //Réécriture au 'vol' des URL//. Puis cliquez sur //Enregistrer//. | sef
106 Guillemets typographiques ouvrants. => Rendez vous dans l'administration de votre Joomla!, puis cliquez sur //Configuration//. Dans les //Paramètres SEO//, mettre //oui// pour //Réécriture d'URL en clair (SEF)// et //Réécriture au 'vol' des URL//. Puis cliquez sur //Enregistrer//. | ' => suggestions : ['“', '‘', '‹']
