1 Mot inconnu : Edition [[7:14]] => ====== Edition de scripts PlayOnLinux ====== <|> edition
13 Copier-coller pour la verbe ou l’action, copié-collé (et ses variantes) pour ce qui est copié-collé. [[252:265]] => Cette documentation n'est que le condensé de la documentation officielle afin de savoir comment éditer les scripts donnés en texte (où les mettre, comment les publier, etc.) car les scripts disponibles sur le site ne sont pas téléchargeables ; il faut copier/coller les lignes de codes dans l'éditeur.  <|> copier/coller => suggestions : copier-collercopié-collécopiée-colléecopiées-colléescopiés-collés
13 Espace(s) en fin de ligne à supprimer. [[301:302]] => Cette documentation n'est que le condensé de la documentation officielle afin de savoir comment éditer les scripts donnés en texte (où les mettre, comment les publier, etc.) car les scripts disponibles sur le site ne sont pas téléchargeables ; il faut copier/coller les lignes de codes dans l'éditeur.  <|>  
17 Mot inconnu : creator [[33:40]] =>   * Installer playonlinux script creator <|> creator

22 Mot inconnu : Creator [[29:36]] => ===== Installation du Script Creator (playonlinux) ===== <|> creator
30 Mot inconnu : creator [[42:49]] => Pour l'installation de playonlinux script creator vous devez: <|> creator

40 Mot inconnu : creator [[28:35]] => ==== Ajout du plugin script creator ==== <|> creator

42 Mot inconnu : creator [[40:47]] => Après avoir téléchargé le plugin script creator, ouvrez playonlinux, puis Plugin/Gestionnaire de plugins. Faites "Ajouter", ouvrez le plugin que vous venez de télécharger et activez le, si ce n'est déjà fait. <|> creator
42 Guillemets typographiques ouvrants. [[113:114]] => Après avoir téléchargé le plugin script creator, ouvrez playonlinux, puis Plugin/Gestionnaire de plugins. Faites "Ajouter", ouvrez le plugin que vous venez de télécharger et activez le, si ce n'est déjà fait. <|> " => suggestions : « “
42 Guillemets typographiques fermants. [[121:122]] => Après avoir téléchargé le plugin script creator, ouvrez playonlinux, puis Plugin/Gestionnaire de plugins. Faites "Ajouter", ouvrez le plugin que vous venez de télécharger et activez le, si ce n'est déjà fait. <|> " => suggestions :  »”
42 S’il s’agit d’un impératif, mettez un trait d’union. [[174:184]] => Après avoir téléchargé le plugin script creator, ouvrez playonlinux, puis Plugin/Gestionnaire de plugins. Faites "Ajouter", ouvrez le plugin que vous venez de télécharger et activez le, si ce n'est déjà fait. <|> activez le => suggestions : activez-le
57 Mot inconnu : Creator [[40:47]] => ===== Utilisation de PlayOnLinux Script Creator ===== <|> creator
61 Mot inconnu : Creator [[92:99]] => Pour exécuter un plugin donné en texte, il suffit d'ouvrir PlayOnLinux -> Plugins -> Script Creator, puis une fois l'éditeur ouvert, de copier/coller le texte avant d'enregistrer le script dans un endroit accessible pour enfin l'exécuter :  <|> creator
61 Copier-coller pour la verbe ou l’action, copié-collé (et ses variantes) pour ce qui est copié-collé. [[136:149]] => Pour exécuter un plugin donné en texte, il suffit d'ouvrir PlayOnLinux -> Plugins -> Script Creator, puis une fois l'éditeur ouvert, de copier/coller le texte avant d'enregistrer le script dans un endroit accessible pour enfin l'exécuter :  <|> copier/coller => suggestions : copier-collercopié-collécopiée-colléecopiées-colléescopiés-collés
61 Espace(s) en fin de ligne à supprimer. [[239:240]] => Pour exécuter un plugin donné en texte, il suffit d'ouvrir PlayOnLinux -> Plugins -> Script Creator, puis une fois l'éditeur ouvert, de copier/coller le texte avant d'enregistrer le script dans un endroit accessible pour enfin l'exécuter :  <|>  
62 Espace(s) en fin de ligne à supprimer. [[35:36]] =>   * soit en double-cliquant dessus,  <|>  
