1 Mot inconnu : Teamspeak => ====== Teamspeak et Wine ====== | teamspeak
1 Mot inconnu : Wine => ====== Teamspeak et Wine ====== | wine

3 Mot inconnu : Teamspeak => Vous aimez utiliser Teamspeak pour parler avec vos amis, votre team, etc, mais impossible de jouer à vos jeux sans avoir des problèmes de micro ou de son ? Vous êtes sur la bonne page ! | teamspeak
3 Mot inconnu : team => Vous aimez utiliser Teamspeak pour parler avec vos amis, votre team, etc, mais impossible de jouer à vos jeux sans avoir des problèmes de micro ou de son ? Vous êtes sur la bonne page ! | team

6 Mot inconnu : teamspeak => Cette page ne porte pas sur l'installation de [[teamspeak]] ou de [[wine]], pour cela référez-vous à leurs pages respectives. | teamspeak
6 Mot inconnu : wine => Cette page ne porte pas sur l'installation de [[teamspeak]] ou de [[wine]], pour cela référez-vous à leurs pages respectives. | wine

9 Confusion probable : “a” est la conjugaison du verbe “avoir”. Pour la préposition, écrivez “à”. => Cette page n'est plus a jour, Pulse audio n'étant pas cité. | a => suggestions : ['à']

19 Mot inconnu : __Qui => __Qui de Teamspeak ou de Wine provoque le problème ?__ | __qui
19 Mot inconnu : Teamspeak => __Qui de Teamspeak ou de Wine provoque le problème ?__ | teamspeak
19 Mot inconnu : Wine => __Qui de Teamspeak ou de Wine provoque le problème ?__ | wine
19 Il manque un espace. => __Qui de Teamspeak ou de Wine provoque le problème ?__ | __ => suggestions : [' __']
19 Mot inconnu : __ => __Qui de Teamspeak ou de Wine provoque le problème ?__ | __
21 Mot inconnu : Teamspeak => Les deux en fait : Teamspeak (pour la version 2) utilise OSS comme système audio. Wine fait de même lorsque son pilote audio est réglé sur OSS (par défaut car le plus stable et rapide a ce jour). | teamspeak
21 Mot inconnu : Wine => Les deux en fait : Teamspeak (pour la version 2) utilise OSS comme système audio. Wine fait de même lorsque son pilote audio est réglé sur OSS (par défaut car le plus stable et rapide a ce jour). | wine
21 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => Les deux en fait : Teamspeak (pour la version 2) utilise OSS comme système audio. Wine fait de même lorsque son pilote audio est réglé sur OSS (par défaut car le plus stable et rapide a ce jour). |  car => suggestions : [', car']

23 Confusion probable : “a” est une forme conjuguée du verbe “avoir”. Pour la préposition, écrivez “à”. => Le problème avec OSS c'est qu'il ne gère qu'un seul flux audio a la fois. Par exemple, vous ne pourriez entendre qu'une musique si vous en lanciez deux à la fois ! Ici, Teamspeak primera sur Wine si vous lancez Teamspeak en premier et inversement. | a => suggestions : ['à']
