
5 Mot inconnu : Red5 => ====== Red5 : serveur Flash ====== | red5

9 Mot inconnu : Red5 => Red5 est un serveur Flash gratuit et libre qui reprend les fonctionnalités de Flash Media Server de Adobe. | red5
9 Mot inconnu : Server => Red5 est un serveur Flash gratuit et libre qui reprend les fonctionnalités de Flash Media Server de Adobe. | server

11 Mot inconnu : remoting => Il permet de faire du streaming audio ou vidéo, partage d'objet distant (remoting), de la synchronisation de données, etc. Contrairement à Flash Media Server 2, les applications côté serveur peuvent être écrites en Java mais aussi avec d’autres langages de script comme JavaScript, Ruby, Python, … | remoting
11 Mot inconnu : Server => Il permet de faire du streaming audio ou vidéo, partage d'objet distant (remoting), de la synchronisation de données, etc. Contrairement à Flash Media Server 2, les applications côté serveur peuvent être écrites en Java mais aussi avec d’autres langages de script comme JavaScript, Ruby, Python, … | server
11 Typographie : pas de virgule avant les points de suspension. => Il permet de faire du streaming audio ou vidéo, partage d'objet distant (remoting), de la synchronisation de données, etc. Contrairement à Flash Media Server 2, les applications côté serveur peuvent être écrites en Java mais aussi avec d’autres langages de script comme JavaScript, Ruby, Python, … | , … => suggestions : ['…']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  Avoir installé **[[java#installation|Java]]**. |    => suggestions : ['']

22 Mot inconnu : RED5 => Il est possible de télécharger la dernière version de RED5 depuis la page du release sur le **[[https://github.com/Red5/red5-server/releases/latest|GitHub]]**. | red5
22 Mot inconnu : release => Il est possible de télécharger la dernière version de RED5 depuis la page du release sur le **[[https://github.com/Red5/red5-server/releases/latest|GitHub]]**. | release

24 Mot inconnu : red5-1 => Téléchargez l'archive **[[https://github.com/Red5/red5-server/releases/download/v1.0.9-RELEASE/red5-server-1.0.9-RELEASE.tar.gz|red5-1.0.9.tar.gz]]**, puis, pour l'installer il suffit de la décompresser dans le répertoire dans lequel vous voulez installer RED5. | red5-1
24 Mot inconnu : tar => Téléchargez l'archive **[[https://github.com/Red5/red5-server/releases/download/v1.0.9-RELEASE/red5-server-1.0.9-RELEASE.tar.gz|red5-1.0.9.tar.gz]]**, puis, pour l'installer il suffit de la décompresser dans le répertoire dans lequel vous voulez installer RED5. | tar
24 Mot inconnu : gz => Téléchargez l'archive **[[https://github.com/Red5/red5-server/releases/download/v1.0.9-RELEASE/red5-server-1.0.9-RELEASE.tar.gz|red5-1.0.9.tar.gz]]**, puis, pour l'installer il suffit de la décompresser dans le répertoire dans lequel vous voulez installer RED5. | gz
24 Mot inconnu : RED5 => Téléchargez l'archive **[[https://github.com/Red5/red5-server/releases/download/v1.0.9-RELEASE/red5-server-1.0.9-RELEASE.tar.gz|red5-1.0.9.tar.gz]]**, puis, pour l'installer il suffit de la décompresser dans le répertoire dans lequel vous voulez installer RED5. | red5

26 Mot inconnu : red5 => Vous pouvez maintenant démarrer le serveur en lançant le script red5.sh : | red5
26 Mot inconnu : sh => Vous pouvez maintenant démarrer le serveur en lançant le script red5.sh : | sh

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ./chemin/vers/red5/red5.sh |    => suggestions : ['']
28 Mot inconnu : red5 =>   ./chemin/vers/red5/red5.sh | red5
28 Mot inconnu : red5 =>   ./chemin/vers/red5/red5.sh | red5
28 Mot inconnu : sh =>   ./chemin/vers/red5/red5.sh | sh

30 Mot inconnu : red5-shutdown => Puis l'arrêter avec red5-shutdown.sh : | red5-shutdown
30 Mot inconnu : sh => Puis l'arrêter avec red5-shutdown.sh : | sh

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ./chemin/vers/red5/red5-shutdown.sh |    => suggestions : ['']
32 Mot inconnu : red5 =>   ./chemin/vers/red5/red5-shutdown.sh | red5
