
3 Mot inconnu : MTP => ====== MTP : transfert de fichiers multimédias sur des périphériques ====== | mtp
6 Mot inconnu : Transfer => //**[[wp>Media Transfer Protocol]]**// (**MTP**) est un protocole de transfert de fichiers destiné au monde du multimédia. Créé récemment (depuis 2004 environ), il s'agit d'un ensemble d'ajouts au //[[wp>Picture Transfer Protocol]]// déjà existant utilisé par les appareils photos numériques. Les ajouts apportés à ce protocole permettent de gérer les spécificités des divers appareils multimédia : baladeurs, appareils de photographie numérique, caméras vidéo, téléphones portables, etc. Il est de plus en plus utilisé par les périphériques mobiles. | transfer
6 Mot inconnu : Protocol => //**[[wp>Media Transfer Protocol]]**// (**MTP**) est un protocole de transfert de fichiers destiné au monde du multimédia. Créé récemment (depuis 2004 environ), il s'agit d'un ensemble d'ajouts au //[[wp>Picture Transfer Protocol]]// déjà existant utilisé par les appareils photos numériques. Les ajouts apportés à ce protocole permettent de gérer les spécificités des divers appareils multimédia : baladeurs, appareils de photographie numérique, caméras vidéo, téléphones portables, etc. Il est de plus en plus utilisé par les périphériques mobiles. | protocol
6 Mot inconnu : MTP => //**[[wp>Media Transfer Protocol]]**// (**MTP**) est un protocole de transfert de fichiers destiné au monde du multimédia. Créé récemment (depuis 2004 environ), il s'agit d'un ensemble d'ajouts au //[[wp>Picture Transfer Protocol]]// déjà existant utilisé par les appareils photos numériques. Les ajouts apportés à ce protocole permettent de gérer les spécificités des divers appareils multimédia : baladeurs, appareils de photographie numérique, caméras vidéo, téléphones portables, etc. Il est de plus en plus utilisé par les périphériques mobiles. | mtp
6 Mot inconnu : Picture => //**[[wp>Media Transfer Protocol]]**// (**MTP**) est un protocole de transfert de fichiers destiné au monde du multimédia. Créé récemment (depuis 2004 environ), il s'agit d'un ensemble d'ajouts au //[[wp>Picture Transfer Protocol]]// déjà existant utilisé par les appareils photos numériques. Les ajouts apportés à ce protocole permettent de gérer les spécificités des divers appareils multimédia : baladeurs, appareils de photographie numérique, caméras vidéo, téléphones portables, etc. Il est de plus en plus utilisé par les périphériques mobiles. | picture
6 Mot inconnu : Transfer => //**[[wp>Media Transfer Protocol]]**// (**MTP**) est un protocole de transfert de fichiers destiné au monde du multimédia. Créé récemment (depuis 2004 environ), il s'agit d'un ensemble d'ajouts au //[[wp>Picture Transfer Protocol]]// déjà existant utilisé par les appareils photos numériques. Les ajouts apportés à ce protocole permettent de gérer les spécificités des divers appareils multimédia : baladeurs, appareils de photographie numérique, caméras vidéo, téléphones portables, etc. Il est de plus en plus utilisé par les périphériques mobiles. | transfer
6 Mot inconnu : Protocol => //**[[wp>Media Transfer Protocol]]**// (**MTP**) est un protocole de transfert de fichiers destiné au monde du multimédia. Créé récemment (depuis 2004 environ), il s'agit d'un ensemble d'ajouts au //[[wp>Picture Transfer Protocol]]// déjà existant utilisé par les appareils photos numériques. Les ajouts apportés à ce protocole permettent de gérer les spécificités des divers appareils multimédia : baladeurs, appareils de photographie numérique, caméras vidéo, téléphones portables, etc. Il est de plus en plus utilisé par les périphériques mobiles. | protocol

8 Mot inconnu : MTP => Originalement créé par Microsoft(r), le protocole MTP est désormais développé par le USB Implementers Forum et a été normalisé. | mtp
8 Mot inconnu : Implementers => Originalement créé par Microsoft(r), le protocole MTP est désormais développé par le USB Implementers Forum et a été normalisé. | implementers

12 Mot inconnu : MTP => Récemment, MTP est devenu le protocole recommandé par Google pour l'accès aux mémoires des téléphones Android. | mtp

14 Espace(s) surnuméraire(s) à supprimer. => <note important>Si lorsque vous branchez votre appareil Android, celui-ci est reconnu mais est vide sous l'explorateur,  c'est que vous avez sans doute configuré un verrouillage par code, modèle ou signature. Déverrouillez-le et vous aurez alors accès à vos fichiers. Il s'agit d'une sécurité implémentée dans le protocole MTP.</note> |    => suggestions : [' ']
14 Mot inconnu : MTP => <note important>Si lorsque vous branchez votre appareil Android, celui-ci est reconnu mais est vide sous l'explorateur,  c'est que vous avez sans doute configuré un verrouillage par code, modèle ou signature. Déverrouillez-le et vous aurez alors accès à vos fichiers. Il s'agit d'une sécurité implémentée dans le protocole MTP.</note> | mtp

18 Mot inconnu : mtp => Les périphériques mtp "sont" nativement gérés. | mtp
18 Guillemets typographiques ouvrants. => Les périphériques mtp "sont" nativement gérés. | " => suggestions : ['«\xa0', '“']
18 Guillemets typographiques fermants. => Les périphériques mtp "sont" nativement gérés. | " => suggestions : ['\xa0»', '”']

22 Espace(s) en fin de ligne à supprimer. => en utilisant un port USB 3 (si votre ordinateur en est équipé) au lieu d'un port USB 2. Il faut alors chercher dans le dossier  |   => suggestions : ['']

23 Guillemets typographiques ouvrants. => "réseau" (network) pour y trouver les dossiers du smartphone. | " => suggestions : ['«\xa0', '“']
23 Guillemets typographiques fermants. => "réseau" (network) pour y trouver les dossiers du smartphone. | " => suggestions : ['\xa0»', '”']
23 Mot inconnu : network => "réseau" (network) pour y trouver les dossiers du smartphone. | network

28 Mot inconnu : jmtpfs => ==== Utilisation de jmtpfs (pour périphériques MTP >= Android 4) ==== | jmtpfs
28 Mot inconnu : MTP => ==== Utilisation de jmtpfs (pour périphériques MTP >= Android 4) ==== | mtp
28 Signe “supérieur ou égal”. => ==== Utilisation de jmtpfs (pour périphériques MTP >= Android 4) ==== | >= => suggestions : ['≥', '⩾']
30 Mot inconnu : jmtpfs => Installer le paquet **[[apt>jmtpfs]]**. | jmtpfs

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ln -s /usr/bin/jmtpfs /sbin/mount.jmtpfs |    => suggestions : ['']
33 Mot inconnu : sudo =>   sudo ln -s /usr/bin/jmtpfs /sbin/mount.jmtpfs | sudo
33 Il manque un espace à côté du tiret. =>   sudo ln -s /usr/bin/jmtpfs /sbin/mount.jmtpfs |  - => suggestions : [' – ', ' — ']

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   mkdir ~/mtp |    => suggestions : ['']
35 Mot inconnu : mkdir =>   mkdir ~/mtp | mkdir
35 Mot inconnu : mtp =>   mkdir ~/mtp | mtp

36 Mot inconnu : filesystem => Et enfin, taper la commande suivante pour monter le filesystem mtp dans le répertoire choisi précédemment : | filesystem
36 Mot inconnu : mtp => Et enfin, taper la commande suivante pour monter le filesystem mtp dans le répertoire choisi précédemment : | mtp

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   jmtpfs ~/mtp |    => suggestions : ['']
37 Mot inconnu : jmtpfs =>   jmtpfs ~/mtp | jmtpfs
37 Mot inconnu : mtp =>   jmtpfs ~/mtp | mtp

38 Mot inconnu : MTP => Si le périphérique MTP n'est pas connu par libmtp, alors le message suivant s'affichera : | mtp
38 Mot inconnu : libmtp => Si le périphérique MTP n'est pas connu par libmtp, alors le message suivant s'affichera : | libmtp

40 Mot inconnu : Please => Please report this VID/PID and the device model to the libmtp development team</code> | please
40 Mot inconnu : this => Please report this VID/PID and the device model to the libmtp development team</code> | this
40 Mot inconnu : VID => Please report this VID/PID and the device model to the libmtp development team</code> | vid
40 Mot inconnu : PID => Please report this VID/PID and the device model to the libmtp development team</code> | pid
40 Mot inconnu : and => Please report this VID/PID and the device model to the libmtp development team</code> | and
40 Mot inconnu : the => Please report this VID/PID and the device model to the libmtp development team</code> | the
40 Mot inconnu : device => Please report this VID/PID and the device model to the libmtp development team</code> | device
40 Mot inconnu : model => Please report this VID/PID and the device model to the libmtp development team</code> | model
40 Mot inconnu : to => Please report this VID/PID and the device model to the libmtp development team</code> | to
40 Mot inconnu : the => Please report this VID/PID and the device model to the libmtp development team</code> | the
40 Mot inconnu : libmtp => Please report this VID/PID and the device model to the libmtp development team</code> | libmtp
40 Mot inconnu : development => Please report this VID/PID and the device model to the libmtp development team</code> | development
40 Mot inconnu : team => Please report this VID/PID and the device model to the libmtp development team</code> | team

41 Mot inconnu : libmtp => Il faut alors faire une mise à jour de libmtp via le PPA de libmtp ((https://launchpad.net/~fossfreedom/+archive/ubuntu/libmtp)). | libmtp
41 Mot inconnu : libmtp => Il faut alors faire une mise à jour de libmtp via le PPA de libmtp ((https://launchpad.net/~fossfreedom/+archive/ubuntu/libmtp)). | libmtp
41 Mot inconnu : fossfreedom => Il faut alors faire une mise à jour de libmtp via le PPA de libmtp ((https://launchpad.net/~fossfreedom/+archive/ubuntu/libmtp)). | fossfreedom
