
4 Mot inconnu : QuiteRSS => ====== QuiteRSS ====== | quiterss

8 Mot inconnu : Qtn => Ce programme est multiplateforme, écrit en Qtn/C++ et disponible sous Windows, GNU/Linux, Mac OS X, OS/2 et FreeBSD.  | qtn
8 Espace(s) en fin de ligne à supprimer. => Ce programme est multiplateforme, écrit en Qtn/C++ et disponible sous Windows, GNU/Linux, Mac OS X, OS/2 et FreeBSD.  |   => suggestions : ['']

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * est compatible avec de nouveaux filtres,  |    => suggestions : ['']
11 Espace(s) en fin de ligne à supprimer. =>   * est compatible avec de nouveaux filtres,  |   => suggestions : ['']

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * dispose de son propre navigateur intégré (basé sur Webkit),  |    => suggestions : ['']
12 Mot inconnu : Webkit =>   * dispose de son propre navigateur intégré (basé sur Webkit),  | webkit
12 Espace(s) en fin de ligne à supprimer. =>   * dispose de son propre navigateur intégré (basé sur Webkit),  |   => suggestions : ['']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * a de nombreux raccourcis clavier,  |    => suggestions : ['']
13 Espace(s) en fin de ligne à supprimer. =>   * a de nombreux raccourcis clavier,  |   => suggestions : ['']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * a des fonctions de notifications audio et de mises à jour automatiques. |    => suggestions : ['']
20 Espace(s) surnuméraire(s) à supprimer. => ==== Installation depuis un dépôt ppa  ==== |    => suggestions : [' ']

32 Mot inconnu : QuiteRSS => L'interface de QuiteRSS est divisée en trois parties : | quiterss

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(1) :** le panneau de gauche liste ** les flux** auxquels vous êtes abonnés. Vous pouvez les organiser comme bon vous semble en utilisant le //glisser-déposer//. Le nombre d'articles que vous n'avez pas encore lu est indiqué en gras entre parenthèses à côté du nom du flux. |    => suggestions : ['']

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(2) :** la fenêtre haute affiche **les titres** des articles du flux que vous avez sélectionné dans le panneau de gauche. Vous pouvez choisir de les afficher par ordre alphabétique ou bien par date de parution. En cliquant sur un titre, vous l'affichez dans la fenêtre basse mais vous pouvez aussi double-cliquer et l'ouvrir dans une nouvelle fenêtre directement dans votre navigateur. |    => suggestions : ['']
34 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. =>   * **(2) :** la fenêtre haute affiche **les titres** des articles du flux que vous avez sélectionné dans le panneau de gauche. Vous pouvez choisir de les afficher par ordre alphabétique ou bien par date de parution. En cliquant sur un titre, vous l'affichez dans la fenêtre basse mais vous pouvez aussi double-cliquer et l'ouvrir dans une nouvelle fenêtre directement dans votre navigateur. |  mais => suggestions : [', mais']

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(3) :** la fenêtre basse affiche **l'article** que vous avez sélectionné dans la fenêtre haute. |    => suggestions : ['']

49 Mot inconnu : F8 => Le menu (l'icône en haut) //Outils -> Options// (ou F8) vous permet de configurer QuiteRSS. Son apparence, les raccourcis claviers et bien d'autres options peuvent y être réglés. | f8
49 Mot inconnu : QuiteRSS => Le menu (l'icône en haut) //Outils -> Options// (ou F8) vous permet de configurer QuiteRSS. Son apparence, les raccourcis claviers et bien d'autres options peuvent y être réglés. | quiterss

53 Mot inconnu : __thème__ => Vous pouvez changer de thème facilement par le menu, // Affichage ⇒ Style de l'application ⇒ __thème__ // | __thème__

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://quiterss.org/en|Site officiel]] (en) |    => suggestions : ['']
