4 Mot inconnu : pmidi => ====== Lecture d'un fichier MIDI : pmidi ====== | pmidi

6 Accord erroné : “Ubuntu” et “installé” ne sont pas accordés. Mettez au féminin pluriel. => Ubuntu n'est pas toujours installé avec un logiciel permettant de lire les fichiers MIDI. | installé => suggestions : ['installée']

7 Mot inconnu : Timidity => Pour cela, il existe l'excellent [[Timidity]]. Cependant celui-ci va vous prendre une trentaine de mégas pour de nombreuses fonctionnalités qui ne vous intéresse peut-être pas. | timidity

9 Mot inconnu : Pmidi => **Pmidi** permet de lire très simplement un fichier midi à partir d'une ligne de commande. | pmidi

21 Espace(s) surnuméraire(s) à supprimer. => 128:0   FLUID Synth (7176)               Synth input port (7176:0)</code> |     => suggestions : [' ']
21 Mot inconnu : FLUID => 128:0   FLUID Synth (7176)               Synth input port (7176:0)</code> | fluid
21 Mot inconnu : Synth => 128:0   FLUID Synth (7176)               Synth input port (7176:0)</code> | synth
21 Mot inconnu : Synth => 128:0   FLUID Synth (7176)               Synth input port (7176:0)</code> | synth

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[apt>playmidi]] : autre lecteur midi en ligne de commande, |    => suggestions : ['']
28 Mot inconnu : playmidi =>   * [[apt>playmidi]] : autre lecteur midi en ligne de commande, | playmidi

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[timidity]] : lecteur et synthétiseur midi contenant de nombreuses options avancées. |    => suggestions : ['']
29 Mot inconnu : timidity =>   * [[timidity]] : lecteur et synthétiseur midi contenant de nombreuses options avancées. | timidity
