4 Mot inconnu : Utility [[29:36]] => ====== Ubuntu Kernel Upgrade Utility (UKUU) ====== <|> utility
4 Mot inconnu : UKUU [[38:42]] => ====== Ubuntu Kernel Upgrade Utility (UKUU) ====== <|> ukuu

6 Mot inconnu : UKUU [[2:6]] => **UKUU** est un outil d'installation du dernier noyau Linux principal sur les distributions basées sur Ubuntu. <|> ukuu

22 Espace(s) en fin de ligne à supprimer. [[104:105]] => <note warning> Installer et utiliser une autre version de noyau est à réserver aux utilisateurs avertis.  <|>   => suggestions : ['']
24 Guillemets typographiques ouvrants. [[142:143]] =>   * <del>L'installation du noyau d'une autre version d'Ubuntu rend impossible l'installation des pilotes supplémentaires, qui seront toujours "activés" mais pas en cours d'utilisation.</del> Faux : les noyaux mainline permettent par exemple bien d'utiliser les pilotes nvidia... <|> " => suggestions : ['«\xa0', '“']
24 Guillemets typographiques fermants. [[150:151]] =>   * <del>L'installation du noyau d'une autre version d'Ubuntu rend impossible l'installation des pilotes supplémentaires, qui seront toujours "activés" mais pas en cours d'utilisation.</del> Faux : les noyaux mainline permettent par exemple bien d'utiliser les pilotes nvidia... <|> " => suggestions : ['\xa0»', '”']
24 Mot inconnu : mainline [[209:217]] =>   * <del>L'installation du noyau d'une autre version d'Ubuntu rend impossible l'installation des pilotes supplémentaires, qui seront toujours "activés" mais pas en cours d'utilisation.</del> Faux : les noyaux mainline permettent par exemple bien d'utiliser les pilotes nvidia... <|> mainline
24 Typographie : points de suspension. Utilisez le caractère dédié. [[275:278]] =>   * <del>L'installation du noyau d'une autre version d'Ubuntu rend impossible l'installation des pilotes supplémentaires, qui seront toujours "activés" mais pas en cours d'utilisation.</del> Faux : les noyaux mainline permettent par exemple bien d'utiliser les pilotes nvidia... <|> ... => suggestions : ['…']

40 Mot inconnu : UKUU [[0:4]] => UKUU est une interface graphique (**GUI Gtk**) et un outil en ligne de commande, donc il fonctionnera sur les éditions de bureau et serveur. <|> ukuu
71 Accord de nombre erroné avec “onglet” : “Autres” devrait être au singulier. [[208:214]] => <note tip>Si vous entrez la ligne de commandes complète de téléchargement du dépôt en incluant le commentaire dièse, vous retrouverez ce même commentaire dans le gestionnaire de mises à jour, sous l'onglet « Autres dépôts »</note> <|> autres => suggestions : ['Autre']
84 Mot inconnu : Dropbox [[62:69]] => Les paquets DEB sont disponibles à partir des liens suivants (Dropbox) : <|> dropbox

89 Mot inconnu : Dropbox [[72:79]] => Le programme d'installation est disponible à partir des liens suivants (Dropbox) : <|> dropbox

99 Mot inconnu : Setting [[20:27]] => Puis cliquer sur "**Setting**" pour avoir accès aux paramètres : <|> setting
101 Mot inconnu : Display [[4:11]] =>   * Display <|> display
107 Mot inconnu : Release [[50:57]] =>   * Permet de recevoir les derniers kernel ou une Release ponctuelle disponible. Lorsqu'un nouveau Kernel est disponible sur le site web du noyau principal, UKUU vous le notifiera et vous proposera de l'installer automatiquement sur votre système. <|> release
107 Mot inconnu : UKUU [[157:161]] =>   * Permet de recevoir les derniers kernel ou une Release ponctuelle disponible. Lorsqu'un nouveau Kernel est disponible sur le site web du noyau principal, UKUU vous le notifiera et vous proposera de l'installer automatiquement sur votre système. <|> ukuu
108 Mot inconnu : up [[29:31]] =>   * Permet d'afficher le pop up de notification sur le bureau <|> up

111 Mot inconnu : Display [[2:9]] => **Display** <|> display
112 Mot inconnu : kernels [[26:33]] =>   * Permet de masquer les kernels instable et les RC Releases. <|> kernels
112 Mot inconnu : RC [[50:52]] =>   * Permet de masquer les kernels instable et les RC Releases. <|> rc
112 Mot inconnu : Releases [[53:61]] =>   * Permet de masquer les kernels instable et les RC Releases. <|> releases
113 Mot inconnu : kernels [[16:23]] =>   * Masquer les kernels plus vieux que le 4.0 <|> kernels

117 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

125 Mot inconnu : CLI [[26:29]] => **Pour le serveur Ubuntu (CLI) :** <|> cli

128 Mot inconnu : UKUU [[21:25]] => À chaque ouverture d'UKUU celui ci effectue une recherche et affiche le dernier noyau Linux disponible, le kernel (noyau) installé et en cours d'exécution, et d'autres noyaux plus anciens. <|> ukuu
128 Il manque un trait d’union. [[26:34]] => À chaque ouverture d'UKUU celui ci effectue une recherche et affiche le dernier noyau Linux disponible, le kernel (noyau) installé et en cours d'exécution, et d'autres noyaux plus anciens. <|> celui ci => suggestions : ['celui-ci']

130 Mot inconnu : Install [[101:108]] => Pour installer un noyau, il suffit de le sélectionner dans la liste et de cliquer sur le bouton "//**Install**//" dans la colonne des commandes à droite. <|> install

134 Mot inconnu : UKUU [[14:18]] => En ré-ouvrant UKUU vous pourrez visualiser le noyau utilisé <|> ukuu

139 Mot inconnu : UKKU [[0:4]] => UKKU simplifie non seulement le processus de téléchargement manuel et l'installation de nouveaux kernels, mais vous aide également à supprimer en toute sécurité les kernels inutiles qui sont obsolètes. <|> ukku
139 Mot inconnu : kernels [[97:104]] => UKKU simplifie non seulement le processus de téléchargement manuel et l'installation de nouveaux kernels, mais vous aide également à supprimer en toute sécurité les kernels inutiles qui sont obsolètes. <|> kernels
139 Mot inconnu : kernels [[165:172]] => UKKU simplifie non seulement le processus de téléchargement manuel et l'installation de nouveaux kernels, mais vous aide également à supprimer en toute sécurité les kernels inutiles qui sont obsolètes. <|> kernels

141 Mot inconnu : Remove [[78:84]] => Pour supprimer un noyau ancien, sélectionnez-le et cliquez sur le bouton "//**Remove**//" dans la colonne des commandes à droite. <|> remove
