
3 Mot inconnu : Jetty => ====== Jetty ====== | jetty

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd ~ |    => suggestions : ['']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   wget http://dist.codehaus.org/jetty/jetty-<version>/jetty-<version>.zip |    => suggestions : ['']
24 Mot inconnu : wget =>   wget http://dist.codehaus.org/jetty/jetty-<version>/jetty-<version>.zip | wget
24 Mot inconnu : jetty =>   wget http://dist.codehaus.org/jetty/jetty-<version>/jetty-<version>.zip | jetty

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   unzip jetty-<version>.zip |    => suggestions : ['']
28 Mot inconnu : unzip =>   unzip jetty-<version>.zip | unzip
28 Mot inconnu : jetty =>   unzip jetty-<version>.zip | jetty

30 Mot inconnu : Jetty => Jetty est dès lors opérationnel sur votre machine. | jetty

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo mv ~/jetty-<version> /opt/jetty |    => suggestions : ['']
39 Mot inconnu : sudo =>   sudo mv ~/jetty-<version> /opt/jetty | sudo
39 Mot inconnu : mv =>   sudo mv ~/jetty-<version> /opt/jetty | mv
39 Mot inconnu : jetty =>   sudo mv ~/jetty-<version> /opt/jetty | jetty

43 Mot inconnu : Jetty => Le propriétaire des sources est vous-même, il est préférable de créer un utilisateur dédié à Jetty, pour cela : | jetty

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo addgroup jetty |    => suggestions : ['']
45 Mot inconnu : sudo =>   sudo addgroup jetty | sudo
45 Mot inconnu : addgroup =>   sudo addgroup jetty | addgroup
45 Mot inconnu : jetty =>   sudo addgroup jetty | jetty

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo adduser jetty --no-create-home --ingroup jetty |    => suggestions : ['']
46 Mot inconnu : sudo =>   sudo adduser jetty --no-create-home --ingroup jetty | sudo
46 Mot inconnu : adduser =>   sudo adduser jetty --no-create-home --ingroup jetty | adduser
46 Mot inconnu : jetty =>   sudo adduser jetty --no-create-home --ingroup jetty | jetty
46 Mot inconnu : no-create-home =>   sudo adduser jetty --no-create-home --ingroup jetty | no-create-home
46 Mot inconnu : ingroup =>   sudo adduser jetty --no-create-home --ingroup jetty | ingroup
46 Mot inconnu : jetty =>   sudo adduser jetty --no-create-home --ingroup jetty | jetty

50 Mot inconnu : Jetty => Appliquer les changements à Jetty : | jetty

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo chown -R jetty:jetty /opt/jetty/* |    => suggestions : ['']
52 Mot inconnu : sudo =>   sudo chown -R jetty:jetty /opt/jetty/* | sudo
52 Mot inconnu : chown =>   sudo chown -R jetty:jetty /opt/jetty/* | chown
52 Il manque un espace à côté du tiret. =>   sudo chown -R jetty:jetty /opt/jetty/* |  - => suggestions : [' – ', ' — ']
52 Mot inconnu : jetty =>   sudo chown -R jetty:jetty /opt/jetty/* | jetty
52 Il manque un espace. =>   sudo chown -R jetty:jetty /opt/jetty/* | jetty => suggestions : [' jetty']
52 Mot inconnu : jetty =>   sudo chown -R jetty:jetty /opt/jetty/* | jetty

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo chmod -R 755 /opt/jetty/* |    => suggestions : ['']
53 Mot inconnu : sudo =>   sudo chmod -R 755 /opt/jetty/* | sudo
53 Mot inconnu : chmod =>   sudo chmod -R 755 /opt/jetty/* | chmod
53 Il manque un espace à côté du tiret. =>   sudo chmod -R 755 /opt/jetty/* |  - => suggestions : [' – ', ' — ']

55 Mot inconnu : Jetty => === Automatiser le lancement de Jetty === | jetty

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ln -s /opt/jetty/bin/jetty.sh /etc/init.d/jetty |    => suggestions : ['']
59 Mot inconnu : sudo =>   sudo ln -s /opt/jetty/bin/jetty.sh /etc/init.d/jetty | sudo
59 Il manque un espace à côté du tiret. =>   sudo ln -s /opt/jetty/bin/jetty.sh /etc/init.d/jetty |  - => suggestions : [' – ', ' — ']
