
2 Mot inconnu : Intellivision => ====== Émuler l'Intellivision ====== | intellivision

4 Mot inconnu : Intellivision => L'Intellivision est une console de jeux vidéo produite par Mattel et sortie en 1979. Le développement de la console a commencé en 1978, moins d'une année après l'introduction de sa principale concurrente, l'Atari 2600. | intellivision
4 Mot inconnu : Mattel => L'Intellivision est une console de jeux vidéo produite par Mattel et sortie en 1979. Le développement de la console a commencé en 1978, moins d'une année après l'introduction de sa principale concurrente, l'Atari 2600. | mattel

6 Guillemets typographiques ouvrants. => Les émulateurs ont besoin au minimum des fichiers ''exec.bin'' et ''grom.bin'' pour fonctionner. Il en existe des versions libres, ''miniexec.bin'' et ''minigrom.bin'', mais qui sont peu compatibles avec les jeux originaux. | '' => suggestions : ['«\xa0', '“']
6 Mot inconnu : exec => Les émulateurs ont besoin au minimum des fichiers ''exec.bin'' et ''grom.bin'' pour fonctionner. Il en existe des versions libres, ''miniexec.bin'' et ''minigrom.bin'', mais qui sont peu compatibles avec les jeux originaux. | exec
6 Mot inconnu : bin => Les émulateurs ont besoin au minimum des fichiers ''exec.bin'' et ''grom.bin'' pour fonctionner. Il en existe des versions libres, ''miniexec.bin'' et ''minigrom.bin'', mais qui sont peu compatibles avec les jeux originaux. | bin
6 Guillemets typographiques fermants. => Les émulateurs ont besoin au minimum des fichiers ''exec.bin'' et ''grom.bin'' pour fonctionner. Il en existe des versions libres, ''miniexec.bin'' et ''minigrom.bin'', mais qui sont peu compatibles avec les jeux originaux. | '' => suggestions : ['\xa0»', '”']
6 Guillemets typographiques ouvrants. => Les émulateurs ont besoin au minimum des fichiers ''exec.bin'' et ''grom.bin'' pour fonctionner. Il en existe des versions libres, ''miniexec.bin'' et ''minigrom.bin'', mais qui sont peu compatibles avec les jeux originaux. | '' => suggestions : ['«\xa0', '“']
6 Mot inconnu : grom => Les émulateurs ont besoin au minimum des fichiers ''exec.bin'' et ''grom.bin'' pour fonctionner. Il en existe des versions libres, ''miniexec.bin'' et ''minigrom.bin'', mais qui sont peu compatibles avec les jeux originaux. | grom
6 Mot inconnu : bin => Les émulateurs ont besoin au minimum des fichiers ''exec.bin'' et ''grom.bin'' pour fonctionner. Il en existe des versions libres, ''miniexec.bin'' et ''minigrom.bin'', mais qui sont peu compatibles avec les jeux originaux. | bin
6 Guillemets typographiques fermants. => Les émulateurs ont besoin au minimum des fichiers ''exec.bin'' et ''grom.bin'' pour fonctionner. Il en existe des versions libres, ''miniexec.bin'' et ''minigrom.bin'', mais qui sont peu compatibles avec les jeux originaux. | '' => suggestions : ['\xa0»', '”']
6 Guillemets typographiques ouvrants. => Les émulateurs ont besoin au minimum des fichiers ''exec.bin'' et ''grom.bin'' pour fonctionner. Il en existe des versions libres, ''miniexec.bin'' et ''minigrom.bin'', mais qui sont peu compatibles avec les jeux originaux. | '' => suggestions : ['«\xa0', '“']
