
3 Mot inconnu : Nodejs => ====== Nodejs ====== | nodejs

6 Mot inconnu : Nodejs => L'avantage d'utiliser **Nodejs** est que javascript permet l'exécution de tâches asynchrones, ce qui peut être pratique dans certaines situations. C'est de plus en plus souvent le cas avec le « nouveau » web qui arrive (html5/css3, etc.).\\ | nodejs
6 Mot inconnu : javascript => L'avantage d'utiliser **Nodejs** est que javascript permet l'exécution de tâches asynchrones, ce qui peut être pratique dans certaines situations. C'est de plus en plus souvent le cas avec le « nouveau » web qui arrive (html5/css3, etc.).\\ | javascript
6 Mot inconnu : html5 => L'avantage d'utiliser **Nodejs** est que javascript permet l'exécution de tâches asynchrones, ce qui peut être pratique dans certaines situations. C'est de plus en plus souvent le cas avec le « nouveau » web qui arrive (html5/css3, etc.).\\ | html5
6 Mot inconnu : css3 => L'avantage d'utiliser **Nodejs** est que javascript permet l'exécution de tâches asynchrones, ce qui peut être pratique dans certaines situations. C'est de plus en plus souvent le cas avec le « nouveau » web qui arrive (html5/css3, etc.).\\ | css3

18 Mot inconnu : LTS => sous Focal, cela installe la version LTS… 10.19 et sous Jammy la version 12.22.9 qui ne sont plus supportées \\ | lts
18 Mot inconnu : Jammy => sous Focal, cela installe la version LTS… 10.19 et sous Jammy la version 12.22.9 qui ne sont plus supportées \\ | jammy

19 Mot inconnu : LTS => la dernière version LTS en maintenance étant la v14 ((cf. https://nodejs.org/fr/about/releases/)) ! | lts
19 Mot inconnu : v14 => la dernière version LTS en maintenance étant la v14 ((cf. https://nodejs.org/fr/about/releases/)) ! | v14

44 Mot inconnu : Personal => ==== Depuis un Personal Package Archives (PPA) (dépôts officiels "nodesource")  ==== | personal
44 Guillemets typographiques ouvrants. => ==== Depuis un Personal Package Archives (PPA) (dépôts officiels "nodesource")  ==== | " => suggestions : ['«\xa0', '“']
44 Mot inconnu : nodesource => ==== Depuis un Personal Package Archives (PPA) (dépôts officiels "nodesource")  ==== | nodesource
44 Guillemets typographiques fermants. => ==== Depuis un Personal Package Archives (PPA) (dépôts officiels "nodesource")  ==== | " => suggestions : ['\xa0»', '”']

46 Mot inconnu : Lea => [[https://chrislea.com/2014/07/09/joining-forces-nodesource/|Chris Lea]] et [[https://nodesource.com/blog/chris-lea-joins-forces-with-nodesource|NodeSource]] se sont associés pour maintenir un nouveau PPA avec des versions stables plus récentes de Nodejs | lea
46 Mot inconnu : Nodejs => [[https://chrislea.com/2014/07/09/joining-forces-nodesource/|Chris Lea]] et [[https://nodesource.com/blog/chris-lea-joins-forces-with-nodesource|NodeSource]] se sont associés pour maintenir un nouveau PPA avec des versions stables plus récentes de Nodejs | nodejs

48 Mot inconnu : nodejs => Chaque version de nodejs possède un script d'installation qui ajoute le dépôt correspondant au gestionnaire de paquet. | nodejs

51 Mot inconnu : nodejs => === Pour installer nodejs 16.x (LTS : support jusqu'à octobre 2023) : === | nodejs
51 Mot inconnu : LTS => === Pour installer nodejs 16.x (LTS : support jusqu'à octobre 2023) : === | lts

61 Mot inconnu : nodejs => === Pour installer nodejs 18.x et yarn : === | nodejs
61 Mot inconnu : yarn => === Pour installer nodejs 18.x et yarn : === | yarn

71 Mot inconnu : npm => <note important>Pour installer des paquets supplémentaires avec npm, vous aurez peut être besoin d'installer **[[apt>build-essential]]**</note> | npm
71 Confusion probable. Pour dire “possiblement”, écrivez “peut-être”. => <note important>Pour installer des paquets supplémentaires avec npm, vous aurez peut être besoin d'installer **[[apt>build-essential]]**</note> | peut être => suggestions : ['peut-être']
71 Mot inconnu : build-essential => <note important>Pour installer des paquets supplémentaires avec npm, vous aurez peut être besoin d'installer **[[apt>build-essential]]**</note> | build-essential

75 Accord de genre erroné entre “installation” et “simplifié”. => **n**, cf. [[https://github.com/tj/n]], une fois installé, permet l'installation simplifié des différentes versions de //node//. | simplifié => suggestions : ['simplifiée']
75 Mot inconnu : node => **n**, cf. [[https://github.com/tj/n]], une fois installé, permet l'installation simplifié des différentes versions de //node//. | node

76 Mot inconnu : curl => Si besoin, installer tout d'abord //curl// : | curl

82 Mot inconnu : node => et enfin, installer //node// | node

92 Mot inconnu : javascript => Voici un exemple d'application javascript que pourrait exécuter **Nodejs**: | javascript
92 Mot inconnu : Nodejs => Voici un exemple d'application javascript que pourrait exécuter **Nodejs**: | nodejs

94 Mot inconnu : setTimeout => setTimeout(function() { | settimeout
94 Il manque un espace avant la parenthèse. => setTimeout(function() { | ( => suggestions : [' (']
94 Mot inconnu : function => setTimeout(function() { | function

95 Il manque un espace. => console.log('Coucou'); // écrit un message dans la console au bout de deux secondes | log => suggestions : [' log']
95 Il manque un espace avant la parenthèse. => console.log('Coucou'); // écrit un message dans la console au bout de deux secondes | ( => suggestions : [' (']

97 Il manque un espace. => console.log('toi'); // écrit un message dans la console | log => suggestions : [' log']
97 Il manque un espace avant la parenthèse. => console.log('toi'); // écrit un message dans la console | ( => suggestions : [' (']

107 Mot inconnu : require => var http = require('http'); | require
107 Il manque un espace avant la parenthèse. => var http = require('http'); | ( => suggestions : [' (']

109 Mot inconnu : createServer => http.createServer(function (req, res) { | createserver
109 Il manque un espace avant la parenthèse. => http.createServer(function (req, res) { | ( => suggestions : [' (']
109 Mot inconnu : function => http.createServer(function (req, res) { | function
109 Mot inconnu : req => http.createServer(function (req, res) { | req
109 Mot inconnu : res => http.createServer(function (req, res) { | res

110 Mot inconnu : res => res.writeHead(200, {'Content-Type': 'text/html'}); | res
110 Mot inconnu : writeHead => res.writeHead(200, {'Content-Type': 'text/html'}); | writehead
110 Il manque un espace avant la parenthèse. => res.writeHead(200, {'Content-Type': 'text/html'}); | ( => suggestions : [' (']
110 Guillemets typographiques ouvrants. => res.writeHead(200, {'Content-Type': 'text/html'}); | ' => suggestions : ['“', '‘', '‹']
110 Mot inconnu : text => res.writeHead(200, {'Content-Type': 'text/html'}); | text
110 Mot inconnu : html => res.writeHead(200, {'Content-Type': 'text/html'}); | html

111 Mot inconnu : res => res.write('Salut tout le monde !'); | res
111 Mot inconnu : write => res.write('Salut tout le monde !'); | write
111 Il manque un espace avant la parenthèse. => res.write('Salut tout le monde !'); | ( => suggestions : [' (']

112 Mot inconnu : res => res.end(); | res
112 Mot inconnu : end => res.end(); | end

113 Mot inconnu : listen => }).listen(port); | listen
113 Il manque un espace avant la parenthèse. => }).listen(port); | ( => suggestions : [' (']

114 Il manque un espace. => console.log("Serveur tourne sur http://localhost:"+port); | log => suggestions : [' log']
114 Il manque un espace avant la parenthèse. => console.log("Serveur tourne sur http://localhost:"+port); | ( => suggestions : [' (']
114 Guillemets typographiques ouvrants. => console.log("Serveur tourne sur http://localhost:"+port); | " => suggestions : ['«\xa0', '“']

116 Mot inconnu : oeil => Pour comprendre ce code vous devriez jeter un coup d'oeil à la [[https://nodejs.org/docs/latest/api/index.html|documentation officielle]]. | oeil

118 Mot inconnu : Nodejs => Bien entendu **Nodejs** n'a pas uniquement vocation à créer des petits serveurs comme celui-ci. Mais pour aller plus loin il va falloir utiliser des [[# Ajout de modules|modules]]. | nodejs
