1 Mot inconnu : channel => ====== Ligne de conduite sur le channel IRC ====== | channel
1 Mot inconnu : IRC => ====== Ligne de conduite sur le channel IRC ====== | irc

2 Mot inconnu : IRC => <note>Cette page ne peut être éditée que par l'équipe de modération IRC.\\ http://doc.ubuntu-fr.org/groupes/ubuntu-fr-irc</note> | irc

6 Mot inconnu : codedeconduite => Le [[codedeconduite|Code de Conduite]] est la base de l'atmosphère agréable d'Ubuntu. Être coopératifs, respectueux les uns envers les autres est un devoir. | codedeconduite

10 Mot inconnu : channel => Le channel n'est pas une hotline. Un bonjour sera le bienvenu, ainsi qu'un merci après avoir reçu de l'aide (fuir en courant après avoir recu une réponse n'est pas très correct). | channel
10 Mot inconnu : recu => Le channel n'est pas une hotline. Un bonjour sera le bienvenu, ainsi qu'un merci après avoir reçu de l'aide (fuir en courant après avoir recu une réponse n'est pas très correct). | recu
14 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => Il est inutile de demander à poser une question, cela ne fera que vous retarder. De même, il n'est pas nécessaire de demander à quelqu'un en particulier de résoudre votre problème ni de demander son avis à un « expert », même en message privé. Les messages du type « Qui peut m'aider ? » sont peu souvent regardés car on ne peut rien savoir du problème et donc de ses capacités à aider. Exposez publiquement et directement votre problème, cela ira plus vite et vous donnera plus de chances d'avoir une réponse. |  car => suggestions : [', car']

16 Mot inconnu : floodez => ===== Ne floodez pas le salon ===== | floodez

18 Mot inconnu : Flooder => Flooder le salon (envoyer en peu de temps un grand nombre de messages, souvent identiques et/ou inutiles) interrompt les discussions. Merci de ne pas flooder. Pour afficher de longs textes, tels que des erreurs, préférez [[http://paste.ubuntu-fr-secours.org]]. En cas de flood ou répétition, vous serez expulsé du canal automatiquement. Vous pouvez rejoindre le canal tout de suite, mais veillez à utiliser le //pastebin// les prochaines fois. | flooder
18 Mot inconnu : flooder => Flooder le salon (envoyer en peu de temps un grand nombre de messages, souvent identiques et/ou inutiles) interrompt les discussions. Merci de ne pas flooder. Pour afficher de longs textes, tels que des erreurs, préférez [[http://paste.ubuntu-fr-secours.org]]. En cas de flood ou répétition, vous serez expulsé du canal automatiquement. Vous pouvez rejoindre le canal tout de suite, mais veillez à utiliser le //pastebin// les prochaines fois. | flooder
18 Mot inconnu : pastebin => Flooder le salon (envoyer en peu de temps un grand nombre de messages, souvent identiques et/ou inutiles) interrompt les discussions. Merci de ne pas flooder. Pour afficher de longs textes, tels que des erreurs, préférez [[http://paste.ubuntu-fr-secours.org]]. En cas de flood ou répétition, vous serez expulsé du canal automatiquement. Vous pouvez rejoindre le canal tout de suite, mais veillez à utiliser le //pastebin// les prochaines fois. | pastebin

24 Mot inconnu : awaynick => En cas d'awaynick, le bot vous envoie un message privé pour vous avertir à votre retour. En cas d'abus/récidives, une sanction pourra être prise par un opérateur. | awaynick

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  #ubuntu-fr est un salon d'aide, et de nombreux utilisateurs peuvent poser leur question au même moment. Nous faisons de notre mieux pour répondre à toutes les questions mais ne pouvons pas être partout à la fois. Si vous n'obtenez pas de réponse tout de suite, attendez quelques minutes avant de la reposer. Ne vous énervez pas si vous n'obtenez pas de réponse, sans doute que personne dans le salon ne sait. Vous pouvez également utiliser le forum. |   => suggestions : ['']

34 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => #ubuntu-fr est un salon francophone. Merci de parler un français correct (c'est-à-dire pas de SMS ou d'abréviations !). | ubuntu-fr => suggestions : ['Ubuntu-fr']

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

49 Il manque un “s” à même. => Il est interdit (en pratique, fortement déconseillé) d'envoyer des messages privés aux intervenants de #ubuntu-fr. Avoir de l'aide directement sur le canal implique que les autres usagers puissent utiliser l'aide qui vous est prodiguée pour eux-même s'ils ont un soucis similaire, ou d'infirmer un conseil / proposer une autre méthode. Cela permet aussi à l'équipe de modération d'empêcher que des actions dangereuses (par exemple rendre votre système inaccessible ou entraîner la perte de vos données / leur accessibilité à tous, …) soient conseillées. | eux-même => suggestions : ['eux-mêmes']
49 Accord de nombre erroné : « soucis » devrait être au singulier. => Il est interdit (en pratique, fortement déconseillé) d'envoyer des messages privés aux intervenants de #ubuntu-fr. Avoir de l'aide directement sur le canal implique que les autres usagers puissent utiliser l'aide qui vous est prodiguée pour eux-même s'ils ont un soucis similaire, ou d'infirmer un conseil / proposer une autre méthode. Cela permet aussi à l'équipe de modération d'empêcher que des actions dangereuses (par exemple rendre votre système inaccessible ou entraîner la perte de vos données / leur accessibilité à tous, …) soient conseillées. | soucis => suggestions : ['souci']
49 Typographie : pas de virgule avant les points de suspension. => Il est interdit (en pratique, fortement déconseillé) d'envoyer des messages privés aux intervenants de #ubuntu-fr. Avoir de l'aide directement sur le canal implique que les autres usagers puissent utiliser l'aide qui vous est prodiguée pour eux-même s'ils ont un soucis similaire, ou d'infirmer un conseil / proposer une autre méthode. Cela permet aussi à l'équipe de modération d'empêcher que des actions dangereuses (par exemple rendre votre système inaccessible ou entraîner la perte de vos données / leur accessibilité à tous, …) soient conseillées. | , … => suggestions : ['…']

55 Mot inconnu : Régles => ===== Régles non écrites ===== | régles

57 Mot inconnu : régles => Il y a un certains nombres de régles non écrites qui sont plus du bon sens qu'autre chose : | régles

68 Il manque un espace avant la parenthèse. => En cas de problèmes rencontrés avec un(des) utilisateur(s) ou d'une demande de retrait de bannissement, vous pouvez consulter l'équipe de modération sur le salon #ubuntu-fr-ops. | ( => suggestions : [' (']
