
3 Mot inconnu : Xfce => ====== Capture d'écran (Xfce) ====== | xfce

4 Mot inconnu : Xfce => L'outil Capture d'écran d'Xfce (''Xfce4-screenshooter'') est un programme permettant de faire des captures d'écran selon différents paramètres. | xfce
4 Mot inconnu : Xfce4-screenshooter => L'outil Capture d'écran d'Xfce (''Xfce4-screenshooter'') est un programme permettant de faire des captures d'écran selon différents paramètres. | xfce4-screenshooter
4 Guillemets typographiques fermants. => L'outil Capture d'écran d'Xfce (''Xfce4-screenshooter'') est un programme permettant de faire des captures d'écran selon différents paramètres. | '' => suggestions : ['\xa0»', '”']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Tout l'écran** : Capture l'écran dans sa totalité, y compris le(s) tableau(x) de bord ; |    => suggestions : ['']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **La fenêtre active** : Capture uniquement la fenêtre juste en dessous de celle de Capture d'écran ; |    => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Sélectionnez une zoné** : À l'aide du pointeur de la souris , encadrez la zone que vous voulez capturer. C'est celle-ci que vous obtiendrez. |    => suggestions : ['']
21 Accord de genre erroné : « zoné » est masculin. =>   * **Sélectionnez une zoné** : À l'aide du pointeur de la souris , encadrez la zone que vous voulez capturer. C'est celle-ci que vous obtiendrez. | une => suggestions : ['un']
21 Accord de genre erroné : « une » est un déterminant féminin. =>   * **Sélectionnez une zoné** : À l'aide du pointeur de la souris , encadrez la zone que vous voulez capturer. C'est celle-ci que vous obtiendrez. | zoné => suggestions : ['zonée']
21 Pas d’espace avant une virgule. =>   * **Sélectionnez une zoné** : À l'aide du pointeur de la souris , encadrez la zone que vous voulez capturer. C'est celle-ci que vous obtiendrez. |  , => suggestions : [',']

27 Guillemets typographiques ouvrants. => Vous pouvez également déclencher l'ouverture de Capture d'écran en appuyant sur la touche ''Imp.Écran'' de votre clavier, si vous en disposez. De cette façon, tout votre écran sera capturé, et vous accéderez directement à la fenêtre décrite dans la partie « Enregistrement de votre capture ». | '' => suggestions : ['«\xa0', '“']
27 Mot inconnu : Imp => Vous pouvez également déclencher l'ouverture de Capture d'écran en appuyant sur la touche ''Imp.Écran'' de votre clavier, si vous en disposez. De cette façon, tout votre écran sera capturé, et vous accéderez directement à la fenêtre décrite dans la partie « Enregistrement de votre capture ». | imp
27 Il manque un espace. => Vous pouvez également déclencher l'ouverture de Capture d'écran en appuyant sur la touche ''Imp.Écran'' de votre clavier, si vous en disposez. De cette façon, tout votre écran sera capturé, et vous accéderez directement à la fenêtre décrite dans la partie « Enregistrement de votre capture ». | écran => suggestions : [' Écran']
27 Guillemets typographiques fermants. => Vous pouvez également déclencher l'ouverture de Capture d'écran en appuyant sur la touche ''Imp.Écran'' de votre clavier, si vous en disposez. De cette façon, tout votre écran sera capturé, et vous accéderez directement à la fenêtre décrite dans la partie « Enregistrement de votre capture ». | '' => suggestions : ['\xa0»', '”']

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * D'enregistrer votre capture dans votre ordinateur ; |    => suggestions : ['']

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * De la copier dans votre presse-papier pour la coller dans un document ; |    => suggestions : ['']

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * De l'ouvrir avec un logiciel de traitement d'image sur votre ordinateur ; |    => suggestions : ['']

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * De l'héberger sur différents services. |    => suggestions : ['']
