
4 Mot inconnu : Gigabyte [[7:15]] => ====== Gigabyte GA-990XA-UD3 ====== <|> gigabyte
4 Mot inconnu : GA-990XA-UD3 [[16:28]] => ====== Gigabyte GA-990XA-UD3 ====== <|> ga-990xa-ud3
10 Mot inconnu : Memoire [[35:42]] => ^Marque^Modèle^Socket^Chipset^Type Memoire^Spécifications^Format^prix^Commentaires ^ <|> memoire

13 Accord de genre erroné : « dernière » est féminin. [[11:13]] => <note><del>Au dernière nouvelle (31/07/13) les kernels 64 bits ne semble pas  détecté les ports usb et réseaux de cette carte mère si cela se produit installer une version 32 bits d'ubuntu</del> Pas de problème de mon coté (rev 1)... Est-ce un problème avec la révision 3.0 de la carte mère? Et sinon attention à ne pas confondre avec la GA-990FXA-UD3 - HacKurx. <|> au => suggestions : None
13 Accord de genre erroné : « Au » est un déterminant masculin. [[14:22]] => <note><del>Au dernière nouvelle (31/07/13) les kernels 64 bits ne semble pas  détecté les ports usb et réseaux de cette carte mère si cela se produit installer une version 32 bits d'ubuntu</del> Pas de problème de mon coté (rev 1)... Est-ce un problème avec la révision 3.0 de la carte mère? Et sinon attention à ne pas confondre avec la GA-990FXA-UD3 - HacKurx. <|> dernière => suggestions : None
13 Mot inconnu : kernels [[47:54]] => <note><del>Au dernière nouvelle (31/07/13) les kernels 64 bits ne semble pas  détecté les ports usb et réseaux de cette carte mère si cela se produit installer une version 32 bits d'ubuntu</del> Pas de problème de mon coté (rev 1)... Est-ce un problème avec la révision 3.0 de la carte mère? Et sinon attention à ne pas confondre avec la GA-990FXA-UD3 - HacKurx. <|> kernels
13 Espace(s) surnuméraire(s) à supprimer. [[76:78]] => <note><del>Au dernière nouvelle (31/07/13) les kernels 64 bits ne semble pas  détecté les ports usb et réseaux de cette carte mère si cela se produit installer une version 32 bits d'ubuntu</del> Pas de problème de mon coté (rev 1)... Est-ce un problème avec la révision 3.0 de la carte mère? Et sinon attention à ne pas confondre avec la GA-990FXA-UD3 - HacKurx. <|>    => suggestions : None
13 Confusion : “coté” est le participe passé du verbe “coter”. [[218:222]] => <note><del>Au dernière nouvelle (31/07/13) les kernels 64 bits ne semble pas  détecté les ports usb et réseaux de cette carte mère si cela se produit installer une version 32 bits d'ubuntu</del> Pas de problème de mon coté (rev 1)... Est-ce un problème avec la révision 3.0 de la carte mère? Et sinon attention à ne pas confondre avec la GA-990FXA-UD3 - HacKurx. <|> coté => suggestions : None
13 Mot inconnu : rev [[224:227]] => <note><del>Au dernière nouvelle (31/07/13) les kernels 64 bits ne semble pas  détecté les ports usb et réseaux de cette carte mère si cela se produit installer une version 32 bits d'ubuntu</del> Pas de problème de mon coté (rev 1)... Est-ce un problème avec la révision 3.0 de la carte mère? Et sinon attention à ne pas confondre avec la GA-990FXA-UD3 - HacKurx. <|> rev
13 Typographie : points de suspension. Utilisez le caractère dédié. [[230:233]] => <note><del>Au dernière nouvelle (31/07/13) les kernels 64 bits ne semble pas  détecté les ports usb et réseaux de cette carte mère si cela se produit installer une version 32 bits d'ubuntu</del> Pas de problème de mon coté (rev 1)... Est-ce un problème avec la révision 3.0 de la carte mère? Et sinon attention à ne pas confondre avec la GA-990FXA-UD3 - HacKurx. <|> ... => suggestions : None
13 Mot inconnu : GA-990FXA-UD3 [[338:351]] => <note><del>Au dernière nouvelle (31/07/13) les kernels 64 bits ne semble pas  détecté les ports usb et réseaux de cette carte mère si cela se produit installer une version 32 bits d'ubuntu</del> Pas de problème de mon coté (rev 1)... Est-ce un problème avec la révision 3.0 de la carte mère? Et sinon attention à ne pas confondre avec la GA-990FXA-UD3 - HacKurx. <|> ga-990fxa-ud3
13 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[351:354]] => <note><del>Au dernière nouvelle (31/07/13) les kernels 64 bits ne semble pas  détecté les ports usb et réseaux de cette carte mère si cela se produit installer une version 32 bits d'ubuntu</del> Pas de problème de mon coté (rev 1)... Est-ce un problème avec la révision 3.0 de la carte mère? Et sinon attention à ne pas confondre avec la GA-990FXA-UD3 - HacKurx. <|>  -  => suggestions : None
13 Mot inconnu : HacKurx [[354:361]] => <note><del>Au dernière nouvelle (31/07/13) les kernels 64 bits ne semble pas  détecté les ports usb et réseaux de cette carte mère si cela se produit installer une version 32 bits d'ubuntu</del> Pas de problème de mon coté (rev 1)... Est-ce un problème avec la révision 3.0 de la carte mère? Et sinon attention à ne pas confondre avec la GA-990FXA-UD3 - HacKurx. <|> hackurx

14 Mot inconnu : XA-UD3 [[43:49]] => Les toutes dernières nouvelles, avec la 990XA-UD3 Rev 3, et la version 64 bits de l'ubuntu 13.04, la carte réseau ethernet est détectée mais pas utilisable et seuls les ports USB 3.0 fonctionnent. - izbzorg. (je conseille de rajouter une carte réseau ethernet chipset intel, attention toutes les cartes witfi pci ne sont pas fonctionnelles !) <|> xa-ud3
14 Mot inconnu : Rev [[50:53]] => Les toutes dernières nouvelles, avec la 990XA-UD3 Rev 3, et la version 64 bits de l'ubuntu 13.04, la carte réseau ethernet est détectée mais pas utilisable et seuls les ports USB 3.0 fonctionnent. - izbzorg. (je conseille de rajouter une carte réseau ethernet chipset intel, attention toutes les cartes witfi pci ne sont pas fonctionnelles !) <|> rev
14 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[196:199]] => Les toutes dernières nouvelles, avec la 990XA-UD3 Rev 3, et la version 64 bits de l'ubuntu 13.04, la carte réseau ethernet est détectée mais pas utilisable et seuls les ports USB 3.0 fonctionnent. - izbzorg. (je conseille de rajouter une carte réseau ethernet chipset intel, attention toutes les cartes witfi pci ne sont pas fonctionnelles !) <|>  -  => suggestions : None
14 Mot inconnu : izbzorg [[199:206]] => Les toutes dernières nouvelles, avec la 990XA-UD3 Rev 3, et la version 64 bits de l'ubuntu 13.04, la carte réseau ethernet est détectée mais pas utilisable et seuls les ports USB 3.0 fonctionnent. - izbzorg. (je conseille de rajouter une carte réseau ethernet chipset intel, attention toutes les cartes witfi pci ne sont pas fonctionnelles !) <|> izbzorg
14 Mot inconnu : intel [[268:273]] => Les toutes dernières nouvelles, avec la 990XA-UD3 Rev 3, et la version 64 bits de l'ubuntu 13.04, la carte réseau ethernet est détectée mais pas utilisable et seuls les ports USB 3.0 fonctionnent. - izbzorg. (je conseille de rajouter une carte réseau ethernet chipset intel, attention toutes les cartes witfi pci ne sont pas fonctionnelles !) <|> intel
14 Mot inconnu : witfi [[303:308]] => Les toutes dernières nouvelles, avec la 990XA-UD3 Rev 3, et la version 64 bits de l'ubuntu 13.04, la carte réseau ethernet est détectée mais pas utilisable et seuls les ports USB 3.0 fonctionnent. - izbzorg. (je conseille de rajouter une carte réseau ethernet chipset intel, attention toutes les cartes witfi pci ne sont pas fonctionnelles !) <|> witfi
20 Mot inconnu : IOMMU [[141:146]] => Si vous installez Ubuntu 64 bits sur un PC équipé de cette carte mère vous devrez très certainement aller dans le bios/UEFI pour activer les IOMMU.  <|> iommu
20 Espace(s) en fin de ligne à supprimer. [[147:148]] => Si vous installez Ubuntu 64 bits sur un PC équipé de cette carte mère vous devrez très certainement aller dans le bios/UEFI pour activer les IOMMU.  <|>   => suggestions : None

21 Mot inconnu : connection [[43:53]] => Cette activation corrige le problème de la connection ethernet qui ne fonctionne pas, et des ports USB non-USB3 qui n'étaient pas détectés.  <|> connection
21 Mot inconnu : non-USB3 [[103:111]] => Cette activation corrige le problème de la connection ethernet qui ne fonctionne pas, et des ports USB non-USB3 qui n'étaient pas détectés.  <|> non-usb3
21 Espace(s) en fin de ligne à supprimer. [[139:140]] => Cette activation corrige le problème de la connection ethernet qui ne fonctionne pas, et des ports USB non-USB3 qui n'étaient pas détectés.  <|>   => suggestions : None

22 Espace(s) en fin de ligne à supprimer. [[19:20]] => ===== USB 3.0 =====  <|>   => suggestions : None

24 Mot inconnu : xhci_hcd [[62:70]] => Si au démarrage de GNU/Linux vous avez un message du genre "**xhci_hcd : Failed to enable MSI-X**" c'est qu'il y a un problème avec l'USB3 il va falloir indiquer à grub que c'est pas une carte mère MSI. <|> xhci_hcd
24 Mot inconnu : Failed [[73:79]] => Si au démarrage de GNU/Linux vous avez un message du genre "**xhci_hcd : Failed to enable MSI-X**" c'est qu'il y a un problème avec l'USB3 il va falloir indiquer à grub que c'est pas une carte mère MSI. <|> failed
24 Mot inconnu : to [[80:82]] => Si au démarrage de GNU/Linux vous avez un message du genre "**xhci_hcd : Failed to enable MSI-X**" c'est qu'il y a un problème avec l'USB3 il va falloir indiquer à grub que c'est pas une carte mère MSI. <|> to
24 Mot inconnu : enable [[83:89]] => Si au démarrage de GNU/Linux vous avez un message du genre "**xhci_hcd : Failed to enable MSI-X**" c'est qu'il y a un problème avec l'USB3 il va falloir indiquer à grub que c'est pas une carte mère MSI. <|> enable
