
4 Mot inconnu : PCMCIA => ====== Carte PCMCIA SFR 3G+ ====== | pcmcia

11 Mot inconnu : chipset => //Si la procédure d'installation du matériel (ou le chipset) est commune à plusieurs périphériques, dressez une liste dans cette section.// | chipset

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * PCMCIA SFR 3G+ |    => suggestions : ['']
13 Mot inconnu : PCMCIA =>   * PCMCIA SFR 3G+ | pcmcia

17 Mot inconnu : wvdial => Installation paquet wvdial (jusqu'à Ubuntu 8.10 inclus) | wvdial

19 Mot inconnu : wvdial => <note important>Vérifier la présence du programme wvdial (installé par défaut) qui permet de créer la connexion modem.</note> | wvdial

21 Mot inconnu : root => Ouvrir un Terminal, se connecter en « root » et taper : | root

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   wvdial  |    => suggestions : ['']
23 Mot inconnu : wvdial =>   wvdial  | wvdial
23 Espace(s) en fin de ligne à supprimer. =>   wvdial  |   => suggestions : ['']

29 Mot inconnu : PCMCIA => Pour installer la carte PCMCIA. | pcmcia

30 Mot inconnu : root => Le terminal déjà ouvert avec l'utilisateur root, nous allons afficher un fichier log pour connaitre le pilote que la carte utilise. | root

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   tail -10 /var/log/messages |    => suggestions : ['']
32 Mot inconnu : tail =>   tail -10 /var/log/messages | tail
32 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>   tail -10 /var/log/messages | -10 => suggestions : ['−10', '– 10', '— 10']

34 Mot inconnu : PCMCIA => Mettre la carte PCMCIA dans son emplacement (port PCMCIA sur les côtés). Nous voyons apparaitre de nouvelles lignes : | pcmcia
34 Mot inconnu : PCMCIA => Mettre la carte PCMCIA dans son emplacement (port PCMCIA sur les côtés). Nous voyons apparaitre de nouvelles lignes : | pcmcia

47 Mot inconnu : nozomi => Ici, nous voyons que notre système a installé le pilote nozomi, il faudra donc mettre /dev/noz0 pour le nom du périphérique du modem | nozomi

78 Mot inconnu : root => Dans un terminal en root, taper : | root

80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   wvdial SFR |    => suggestions : ['']
80 Mot inconnu : wvdial =>   wvdial SFR | wvdial

135 Mot inconnu : root => Pour tester, ouvrir un terminal en root et taper: | root

137 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ping doc.ubuntu-fr.org |    => suggestions : ['']
137 Mot inconnu : ping =>   ping doc.ubuntu-fr.org | ping
137 Mot inconnu : ubuntu-fr =>   ping doc.ubuntu-fr.org | ubuntu-fr

141 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ping 213.95.41.13 |    => suggestions : ['']
141 Mot inconnu : ping =>   ping 213.95.41.13 | ping

147 Mot inconnu : nameserver => nameserver 80.118.192.100  | nameserver
147 Espace(s) en fin de ligne à supprimer. => nameserver 80.118.192.100  |   => suggestions : ['']

148 Mot inconnu : nameserver => nameserver 80.118.196.36  | nameserver
148 Espace(s) en fin de ligne à supprimer. => nameserver 80.118.196.36  |   => suggestions : ['']

151 Mot inconnu : ping => Il faut re tester le ping du site doc.ubuntu-fr.org : | ping
151 Mot inconnu : ubuntu-fr => Il faut re tester le ping du site doc.ubuntu-fr.org : | ubuntu-fr

166 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * FIXME |    => suggestions : ['']
166 Mot inconnu : FIXME =>   * FIXME | fixme
