1 Mot inconnu : Advanced [[14:22]] => ====== Oxford Advanced Learner Dictionnary ====== <|> advanced
1 Mot inconnu : Learner [[23:30]] => ====== Oxford Advanced Learner Dictionnary ====== <|> learner
1 Mot inconnu : Dictionnary [[31:42]] => ====== Oxford Advanced Learner Dictionnary ====== <|> dictionnary

3 Espace(s) surnuméraire(s) à supprimer. [[107:109]] => Il s'agit d'un dictionnaire simplifié d'anglais de grande qualité mais avec un grand nombre de définitions.  Le dictionnaire est soumis au droit d'auteur et vous pouvez l'acheter dans une librairie spécialisée (la copie n'en n'est pas libre).   <|>    => suggestions : None
3 Double négation :  “n’” est une graphie élidée de “ne”. Il est inutile de la mettre deux fois. L’accord euphonique se fait en prononçant le “n” de “en” avec la première voyelle de “est”. [[222:227]] => Il s'agit d'un dictionnaire simplifié d'anglais de grande qualité mais avec un grand nombre de définitions.  Le dictionnaire est soumis au droit d'auteur et vous pouvez l'acheter dans une librairie spécialisée (la copie n'en n'est pas libre).   <|> en n' => suggestions : None
3 Espace(s) en fin de ligne à supprimer. [[242:244]] => Il s'agit d'un dictionnaire simplifié d'anglais de grande qualité mais avec un grand nombre de définitions.  Le dictionnaire est soumis au droit d'auteur et vous pouvez l'acheter dans une librairie spécialisée (la copie n'en n'est pas libre).   <|>    => suggestions : None

5 Mot inconnu : Red [[14:17]] => Le support de Red Hat Linux est indiqué sur la pochette du CD-ROM  et sur le dictionnaire papier, néanmoins, le dictionnaire fonctionne au prix de quelques manipulations détaillées ci-dessous sur Linux Ubuntu. <|> red
5 Mot inconnu : Hat [[18:21]] => Le support de Red Hat Linux est indiqué sur la pochette du CD-ROM  et sur le dictionnaire papier, néanmoins, le dictionnaire fonctionne au prix de quelques manipulations détaillées ci-dessous sur Linux Ubuntu. <|> hat
5 Espace(s) surnuméraire(s) à supprimer. [[65:67]] => Le support de Red Hat Linux est indiqué sur la pochette du CD-ROM  et sur le dictionnaire papier, néanmoins, le dictionnaire fonctionne au prix de quelques manipulations détaillées ci-dessous sur Linux Ubuntu. <|>    => suggestions : None
25 Espace(s) en fin de ligne à supprimer. [[27:28]] => Placer le contenu suivant :  <|>   => suggestions : None

36 Espace(s) surnuméraire(s) à supprimer. [[40:42]] => Les polices sont maintenant disponibles.  Si vous écrivez à l'éditeur, il vous enverra un fichier .tgz que vous pourrez décompresser dans le répertoire /usr/local/oald/fonts.   <|>    => suggestions : None
36 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[97:99]] => Les polices sont maintenant disponibles.  Si vous écrivez à l'éditeur, il vous enverra un fichier .tgz que vous pourrez décompresser dans le répertoire /usr/local/oald/fonts.   <|>  . => suggestions : None
36 Mot inconnu : tgz [[99:102]] => Les polices sont maintenant disponibles.  Si vous écrivez à l'éditeur, il vous enverra un fichier .tgz que vous pourrez décompresser dans le répertoire /usr/local/oald/fonts.   <|> tgz
36 Espace(s) en fin de ligne à supprimer. [[174:176]] => Les polices sont maintenant disponibles.  Si vous écrivez à l'éditeur, il vous enverra un fichier .tgz que vous pourrez décompresser dans le répertoire /usr/local/oald/fonts.   <|>    => suggestions : None

40 Guillemets typographiques ouvrants. [[46:47]] => Vous pouvez maintenant dé-installer le paquet "msttcorefonts". <|> " => suggestions : None
40 Mot inconnu : msttcorefonts [[47:60]] => Vous pouvez maintenant dé-installer le paquet "msttcorefonts". <|> msttcorefonts
40 Guillemets typographiques fermants. [[60:61]] => Vous pouvez maintenant dé-installer le paquet "msttcorefonts". <|> " => suggestions : None

42 Accord de nombre erroné : « question » devrait être au pluriel. [[43:51]] => Pour tout problème, vous pouvez poster vos question sur la page de OALD7. <|> question => suggestions : None
42 Mot inconnu : OALD7 [[67:72]] => Pour tout problème, vous pouvez poster vos question sur la page de OALD7. <|> oald7

44 Mot inconnu : OALD [[139:143]] => <note> Comme vous avez téléchargé les police sur le site officiel de Microsoft, rien ne vous empêche de les utiliser sans que l'éditeur du OALD n'ait à payer de droits.  </note> <|> oald
44 Espace(s) surnuméraire(s) à supprimer. [[168:170]] => <note> Comme vous avez téléchargé les police sur le site officiel de Microsoft, rien ne vous empêche de les utiliser sans que l'éditeur du OALD n'ait à payer de droits.  </note> <|>    => suggestions : None

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  <note>Si l'option //Exécuter dans un terminal// n’apparaît pas ou si vous exécuter le script depuis un dossier de votre disque dur, <|>   => suggestions : None

59 Mot inconnu : OALD8 [[59:64]] => Une fois le logiciel installé vous devriez voir un fichier OALD8 apparaître sur votre bureau, vous permettant de lancer le logiciel. <|> oald8

63 Mot inconnu : á [[21:22]] => <note> Contrairement á la version Windows, vous n'avez pas besoin d’insérer le CD au démarrage du logiciel. </note> <|> á

68 Mot inconnu : OALD8 [[37:42]] => Il n'existe pas de version 64bits de OALD8. Il faut donc forcer l'installation en 32bits. <|> oald8

84 Il manque un trait d’union. [[104:115]] => <note>Si le script ne se lance pas ou si vous exécuter le script depuis un dossier de votre disque dur, rendez vous dans le dossier du script, puis <|> rendez vous => suggestions : None

89 Mot inconnu : OALD8 [[59:64]] => Une fois le logiciel installé vous devriez voir un fichier OALD8 apparaître sur votre bureau, vous permettant de lancer le logiciel. <|> oald8

98 Mot inconnu : ia32-libs [[18:27]] => Les bibliothèques ia32-libs - permettant l’exécution de logiciels 32bits sur une architecture 64bits - présentes dans Ubuntu 11.04 64bits ne fonctionnent pas avec OALD8. <|> ia32-libs
98 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[27:30]] => Les bibliothèques ia32-libs - permettant l’exécution de logiciels 32bits sur une architecture 64bits - présentes dans Ubuntu 11.04 64bits ne fonctionnent pas avec OALD8. <|>  -  => suggestions : None
98 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[100:103]] => Les bibliothèques ia32-libs - permettant l’exécution de logiciels 32bits sur une architecture 64bits - présentes dans Ubuntu 11.04 64bits ne fonctionnent pas avec OALD8. <|>  -  => suggestions : None
98 Mot inconnu : OALD8 [[163:168]] => Les bibliothèques ia32-libs - permettant l’exécution de logiciels 32bits sur une architecture 64bits - présentes dans Ubuntu 11.04 64bits ne fonctionnent pas avec OALD8. <|> oald8

99 Espace(s) surnuméraire(s) à supprimer. [[20:22]] => La solution consiste  supprimer ia32-libs et d'installer la version précédente provenant d'Ubuntu 10.10. <|>    => suggestions : None
99 Mot inconnu : ia32-libs [[32:41]] => La solution consiste  supprimer ia32-libs et d'installer la version précédente provenant d'Ubuntu 10.10. <|> ia32-libs

102 Mot inconnu : Désintaller [[2:13]] => * Désintaller ia32-libs (version 20090808ubuntu13) via Synaptic, ou tapez dans un terminal: <|> désintaller
102 Mot inconnu : ia32-libs [[14:23]] => * Désintaller ia32-libs (version 20090808ubuntu13) via Synaptic, ou tapez dans un terminal: <|> ia32-libs
102 Mot inconnu : ubuntu13 [[41:49]] => * Désintaller ia32-libs (version 20090808ubuntu13) via Synaptic, ou tapez dans un terminal: <|> ubuntu13
102 Mot inconnu : Synaptic [[55:63]] => * Désintaller ia32-libs (version 20090808ubuntu13) via Synaptic, ou tapez dans un terminal: <|> synaptic

104 Élision de l’article devant un mot commençant par une voyelle. [[25:28]] => <note>La désinstallation de ia32-libs entraîne la désinstallation de flash player et de ndiswrapper. <|> de  => suggestions : None
104 Mot inconnu : ia32-libs [[28:37]] => <note>La désinstallation de ia32-libs entraîne la désinstallation de flash player et de ndiswrapper. <|> ia32-libs
104 Mot inconnu : player [[75:81]] => <note>La désinstallation de ia32-libs entraîne la désinstallation de flash player et de ndiswrapper. <|> player
104 Mot inconnu : ndiswrapper [[88:99]] => <note>La désinstallation de ia32-libs entraîne la désinstallation de flash player et de ndiswrapper. <|> ndiswrapper
106 Élision de l’article devant un mot commençant par une voyelle. [[36:39]] =>   * Récupérez la version précédente de ia32-libs des dépôts d'Ubuntu 10.10: <|> de  => suggestions : None
106 Mot inconnu : ia32-libs [[39:48]] =>   * Récupérez la version précédente de ia32-libs des dépôts d'Ubuntu 10.10: <|> ia32-libs

110 Mot inconnu : player [[30:36]] => Vous pouvez réinstaller flash player - nécessaire a OALD8 - et les autres logiciels supprimés  pendant la manipulation. <|> player
110 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[36:39]] => Vous pouvez réinstaller flash player - nécessaire a OALD8 - et les autres logiciels supprimés  pendant la manipulation. <|>  -  => suggestions : None
