10 Espace(s) en fin de ligne à supprimer. [[41:42]] =>   * suppression d'une partie d'une piste,  <|>  
11 Espace(s) en fin de ligne à supprimer. [[55:56]] =>   * copier-coller (déplacement) au sein de cette piste,  <|>  
12 Espace(s) en fin de ligne à supprimer. [[37:38]] =>   * numérisation des cassettes audio,  <|>  
13 Espace(s) en fin de ligne à supprimer. [[37:38]] =>   * s'enregistrer avec un microphone,  <|>  
14 Espace(s) en fin de ligne à supprimer. [[37:38]] =>   * numériser (enregistrer) la radio,  <|>  
15 Espace(s) en fin de ligne à supprimer. [[79:80]] =>   * numériser (enregistrer) la télévision (bande son) ou des films (bande son),  <|>  
16 Espace(s) en fin de ligne à supprimer. [[23:24]] =>   * faire des montages,  <|>  
19 Typographie : points de suspension. Utilisez le caractère dédié. [[4:7]] =>   * ... <|> ... => suggestions : …
55 Mot inconnu : Jammy [[141:146]] => <note warning>Le PPA proposé ci-dessous n'est plus maintenu officiellement et de ce fait ne propose plus de paquets à partir d'Ubuntu 22.04 (Jammy).\\ <|> jammy
58 Espace(s) en fin de ligne à supprimer. [[62:63]] => Si vous utilisez une version d'Ubuntu compatible avec ce PPA :  <|>  

72 Guillemets typographiques ouvrants. [[64:65]] => Dans l'espace de travail, vous verrez apparaître des espèces de "bandes". Il y aura autant de bandes que de pistes audio. Par exemple : si votre fichier est en mono, il y aura une seule bande. Si il est en stéréo, il y en aura deux !\\ <|> " => suggestions : « “
72 Guillemets typographiques fermants. [[71:72]] => Dans l'espace de travail, vous verrez apparaître des espèces de "bandes". Il y aura autant de bandes que de pistes audio. Par exemple : si votre fichier est en mono, il y aura une seule bande. Si il est en stéréo, il y en aura deux !\\ <|> " => suggestions :  »”
72 Il faut élider “si” et l’accoler au pronom. [[193:196]] => Dans l'espace de travail, vous verrez apparaître des espèces de "bandes". Il y aura autant de bandes que de pistes audio. Par exemple : si votre fichier est en mono, il y aura une seule bande. Si il est en stéréo, il y en aura deux !\\ <|> si  => suggestions : S’
73 Typographie : points de suspension. Utilisez le caractère dédié. [[110:113]] => Le reste de l'interface est très simple : des boutons de lecture, des boutons simples, et des menus déroulants... rien de bien diabolique :-) <|> ... => suggestions : …

78 Guillemets typographiques ouvrants. [[181:182]] => En fait, il n'est pas possible de se déplacer pendant la lecture. Pausez la musique, puis cliquez sur un endroit dans la bande. Vous mettrez ainsi un petit marqueur. Si vous faites "lire", alors la lecture se fera a partir de votre petit marqueur !\\ <|> " => suggestions : « “
