3 Mot inconnu : ncurse [[44:50]] => =======Ranger : le gestionnaire de fichiers ncurse======= <|> ncurse
21 Pas d’espace après ce signe. [[9:11]] =>   * Haut ( ↑ ) / Bas ( ↓ ) : vous choisissez la dossier/fichier dans le dossier en cours. <|> (  => suggestions : None
21 Pas d’espace avant ce signe. [[12:14]] =>   * Haut ( ↑ ) / Bas ( ↓ ) : vous choisissez la dossier/fichier dans le dossier en cours. <|>  ) => suggestions : None
21 Pas d’espace après ce signe. [[21:23]] =>   * Haut ( ↑ ) / Bas ( ↓ ) : vous choisissez la dossier/fichier dans le dossier en cours. <|> (  => suggestions : None
21 Pas d’espace avant ce signe. [[24:26]] =>   * Haut ( ↑ ) / Bas ( ↓ ) : vous choisissez la dossier/fichier dans le dossier en cours. <|>  ) => suggestions : None
22 Pas d’espace après ce signe. [[11:13]] =>   * Gauche ( ← ) : vous remontez d'un niveau dans l'arborescence <|> (  => suggestions : None
22 Pas d’espace avant ce signe. [[14:16]] =>   * Gauche ( ← ) : vous remontez d'un niveau dans l'arborescence <|>  ) => suggestions : None
23 Pas d’espace après ce signe. [[11:13]] =>   * Droite ( → ) : vous entrez dans le dossier ou lancez le fichier désigné. <|> (  => suggestions : None
23 Pas d’espace avant ce signe. [[14:16]] =>   * Droite ( → ) : vous entrez dans le dossier ou lancez le fichier désigné. <|>  ) => suggestions : None
29 Typographie : points de suspension. Utilisez le caractère dédié. [[4:7]] =>   * ... <|> ... => suggestions : None
34 Mot inconnu : apps [[6:10]] =>   * **apps.py** : détermine le logiciel à lancer selon l'extension du fichier choisi, <|> apps
34 Mot inconnu : py [[11:13]] =>   * **apps.py** : détermine le logiciel à lancer selon l'extension du fichier choisi, <|> py
35 Mot inconnu : commands [[6:14]] =>   * **commands.py** : pour définir les commandes, <|> commands
35 Mot inconnu : py [[15:17]] =>   * **commands.py** : pour définir les commandes, <|> py
36 Mot inconnu : keys [[6:10]] =>   * **keys.py** : détermine les raccourcis clavier, <|> keys
36 Mot inconnu : py [[11:13]] =>   * **keys.py** : détermine les raccourcis clavier, <|> py
37 Mot inconnu : py [[14:16]] =>   * **options.py** : détermine les différentes options du logiciel. <|> py
44 Mot inconnu : yy [[8:10]] =>   * //**yy**//((**y**ank)) : copier le fichier <|> yy
44 Mot inconnu : ank [[21:24]] =>   * //**yy**//((**y**ank)) : copier le fichier <|> ank
45 Mot inconnu : aste [[21:25]] =>   * //**pp**//((**p**aste **p**rotect)) : coller le fichier sans écraser l'existant s'il existe déjà. <|> aste
45 Mot inconnu : rotect [[31:37]] =>   * //**pp**//((**p**aste **p**rotect)) : coller le fichier sans écraser l'existant s'il existe déjà. <|> rotect
46 Mot inconnu : uit [[12:15]] =>   * //**:q**uit// : quitter le logiciel <|> uit

48 Espace(s) en fin de ligne à supprimer. [[129:130]] => Vous trouverez l'ensemble des raccourcis dans la documentation (en anglais) que vous pourrez atteindre en saisissant //**?**//.\\  <|>   => suggestions : None
51 Accord de nombre erroné : « base » devrait être au pluriel. [[21:25]] =>   * **//1?//** : Les base de la navigation dans Ranger  <|> base => suggestions : None
51 Espace(s) en fin de ligne à supprimer. [[54:55]] =>   * **//1?//** : Les base de la navigation dans Ranger  <|>   => suggestions : None
78 Espace(s) en fin de ligne à supprimer. [[177:178]] => Si vous souhaitez voir directement une sous-section, saisissez son numéro après celui de la section. Par exemple si vous voulez atteindre la partie 3-2, saisissez : //**32?**//.  <|>   => suggestions : None
