
4 Mot inconnu : gPodder => ====== gPodder ====== | gpodder

7 Mot inconnu : gPodder => **gPodder** est un lecteur qui permet de s'abonner à des flux podcast ou des fichiers MP3, de se synchroniser avec ceux-ci au démarrage de l'application puis de les transférer par un simple clic sur un iPod ou un téléphone mobile. \\ | gpodder
7 Mot inconnu : iPod => **gPodder** est un lecteur qui permet de s'abonner à des flux podcast ou des fichiers MP3, de se synchroniser avec ceux-ci au démarrage de l'application puis de les transférer par un simple clic sur un iPod ou un téléphone mobile. \\ | ipod

8 Mot inconnu : Atom => Il permet aussi la gestion des flux RSS, Atom, et des vidéos YouTube. | atom
10 Mot inconnu : v3 => L'interface est en GTK+ sous licence Open Source GPL v3. | v3

21 Mot inconnu : gPodder => Au premier démarrage, gPodder vous propose un assistant pour créer ou importer vos flux podcast : | gpodder

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Choisissez une liste d'exemple de podcast ; |    => suggestions : ['']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ajoutez un podcast depuis une adresse ; |    => suggestions : ['']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Restaurez mes abonnements depuis le site gpodder.net. |    => suggestions : ['']
24 Mot inconnu : gpodder =>   * Restaurez mes abonnements depuis le site gpodder.net. | gpodder

26 Mot inconnu : OPML => Concernant le dernier choix, vous pouvez créer un compte directement depuis le logiciel ou sur le site internet. Cela vous permet de restaurer tous vos abonnements et l'état des épisodes écoutés si la synchronisation des informations est activée avec le site internet. Si l'importation ne fonctionne pas, vous pouvez générer un fichier OPML depuis le site internet pour importer tous vos flux manuellement. | opml

31 Guillemets typographiques ouvrants. => Pour s'abonner à de nouveaux podcasts, allez sur le site dont vous souhaitez récupérer les podcasts et cliquez sur "Podcast", "flux RSS" (ou autre expression du genre). | " => suggestions : ['«\xa0', '“']
31 Guillemets typographiques fermants. => Pour s'abonner à de nouveaux podcasts, allez sur le site dont vous souhaitez récupérer les podcasts et cliquez sur "Podcast", "flux RSS" (ou autre expression du genre). | " => suggestions : ['\xa0»', '”']
31 Guillemets typographiques ouvrants. => Pour s'abonner à de nouveaux podcasts, allez sur le site dont vous souhaitez récupérer les podcasts et cliquez sur "Podcast", "flux RSS" (ou autre expression du genre). | " => suggestions : ['«\xa0', '“']
31 Guillemets typographiques fermants. => Pour s'abonner à de nouveaux podcasts, allez sur le site dont vous souhaitez récupérer les podcasts et cliquez sur "Podcast", "flux RSS" (ou autre expression du genre). | " => suggestions : ['\xa0»', '”']

33 Mot inconnu : gPodder => Avec gPodder, dans //Abonnements -> **Ajouter un podcast par son URL**// collez y le lien. | gpodder

40 Mot inconnu : gPodder => Par défaut, gPodder télécharge les podcasts dans le répertoire ~/gPodder/Download. | gpodder
