
7 Mot inconnu : The [[2:5]] => //The R Project for Statistical Computing// <|> the
7 Mot inconnu : Project [[8:15]] => //The R Project for Statistical Computing// <|> project
7 Mot inconnu : Statistical [[20:31]] => //The R Project for Statistical Computing// <|> statistical
7 Mot inconnu : Computing [[32:41]] => //The R Project for Statistical Computing// <|> computing

10 Mot inconnu : Student [[82:89]] => **R** est un logiciel libre permettant de faire des calculs statistiques (test de Student, Anova, ACP, Chi2, régressions, etc.) et de visualiser les résultats sous forme de graphiques, voire de rapports d'analyses complets. C'est aussi un langage de script, permettant d'écrire des programmes d'analyses statistiques complexes. C'est un logiciel en ligne de commande mais de nombreux projets d'applications graphiques dédiés sont développés autour de R. <|> student
10 Mot inconnu : Anova [[91:96]] => **R** est un logiciel libre permettant de faire des calculs statistiques (test de Student, Anova, ACP, Chi2, régressions, etc.) et de visualiser les résultats sous forme de graphiques, voire de rapports d'analyses complets. C'est aussi un langage de script, permettant d'écrire des programmes d'analyses statistiques complexes. C'est un logiciel en ligne de commande mais de nombreux projets d'applications graphiques dédiés sont développés autour de R. <|> anova
10 Mot inconnu : ACP [[98:101]] => **R** est un logiciel libre permettant de faire des calculs statistiques (test de Student, Anova, ACP, Chi2, régressions, etc.) et de visualiser les résultats sous forme de graphiques, voire de rapports d'analyses complets. C'est aussi un langage de script, permettant d'écrire des programmes d'analyses statistiques complexes. C'est un logiciel en ligne de commande mais de nombreux projets d'applications graphiques dédiés sont développés autour de R. <|> acp
10 Mot inconnu : Chi2 [[103:107]] => **R** est un logiciel libre permettant de faire des calculs statistiques (test de Student, Anova, ACP, Chi2, régressions, etc.) et de visualiser les résultats sous forme de graphiques, voire de rapports d'analyses complets. C'est aussi un langage de script, permettant d'écrire des programmes d'analyses statistiques complexes. C'est un logiciel en ligne de commande mais de nombreux projets d'applications graphiques dédiés sont développés autour de R. <|> chi2

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

23 Mot inconnu : mirroir [[12:19]] => ==== Via un mirroir du CRAN (version plus récente) ==== <|> mirroir

59 Mot inconnu : R_LIBS_USER [[0:11]] => R_LIBS_USER="~/lib/R/library" <|> r_libs_user
71 Espace(s) surnuméraire(s) à supprimer. [[25:27]] =>   * En ligne de commande:  R <|>    => suggestions : [' ']
72 Mot inconnu : KDE [[21:24]] =>   * Avec l'interface KDE: Lancez RKward. <|> kde
72 Mot inconnu : RKward [[33:39]] =>   * Avec l'interface KDE: Lancez RKward. <|> rkward
73 Mot inconnu : Rcmdr [[44:49]] =>   * Avec l'interface graphique R commander (Rcmdr): il faut ouvrir un terminal, lancer R puis charger Rcmdr : <|> rcmdr
73 Mot inconnu : Rcmdr [[102:107]] =>   * Avec l'interface graphique R commander (Rcmdr): il faut ouvrir un terminal, lancer R puis charger Rcmdr : <|> rcmdr

77 Mot inconnu : dépots [[69:75]] => Si vous installez R avec les dépôts officiels Ubuntu //et// avec les dépots de CRAN (plus récents), vous aurez probablement deux versions de R, celle des dépots Ubuntu étant généralement lancée par: <|> dépots
77 Mot inconnu : dépots [[154:160]] => Si vous installez R avec les dépôts officiels Ubuntu //et// avec les dépots de CRAN (plus récents), vous aurez probablement deux versions de R, celle des dépots Ubuntu étant généralement lancée par: <|> dépots

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  Puis lancer R en mode administrateur : <|>   => suggestions : ['']

94 Mot inconnu : RQuantLib [[172:181]] => D'une façon générale, un grand nombre de bibliothèques est disponible dans les dépôts. Pour les charger dans R, rien de plus simple. Par exemple, pour charger la librairie RQuantLib (après l'avoir installé via synaptic) : <|> rquantlib
94 Mot inconnu : synaptic [[210:218]] => D'une façon générale, un grand nombre de bibliothèques est disponible dans les dépôts. Pour les charger dans R, rien de plus simple. Par exemple, pour charger la librairie RQuantLib (après l'avoir installé via synaptic) : <|> synaptic

104 Mot inconnu : csv [[25:28]] => Pour importer un fichier csv (numérique, avec éventuellement 1ère ligne et 1ère colonne pour les noms de colonnes et lignes) : <|> csv
104 Nombre ordinal. Premier : 1ᵉʳ. Première : 1ʳᵉ. Premiers : 1ᵉʳˢ. Premières : 1ʳᵉˢ. [[61:65]] => Pour importer un fichier csv (numérique, avec éventuellement 1ère ligne et 1ère colonne pour les noms de colonnes et lignes) : <|> 1ère => suggestions : ['1ʳᵉ']
104 Nombre ordinal. Premier : 1ᵉʳ. Première : 1ʳᵉ. Premiers : 1ᵉʳˢ. Premières : 1ʳᵉˢ. [[75:79]] => Pour importer un fichier csv (numérique, avec éventuellement 1ère ligne et 1ère colonne pour les noms de colonnes et lignes) : <|> 1ère => suggestions : ['1ʳᵉ']

137 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']
