
4 Espace(s) surnuméraire(s) à supprimer. => ====== Écran tactile  ====== |    => suggestions : [' ']

5 Mot inconnu : evdev => Cette page présente les points principaux liés à la gestion des écrans tactiles. Voir aussi la page //[[evdev|Configurer un écran tactile]]//. | evdev

9 Mot inconnu : touchscreen => Les **écrans tactiles** ou //touchscreen// sont apparus depuis quelques années. Leur prise en charge s'améliore petit à petit. Il existe des écrans tactiles séparés (sous forme de moniteur), ou qui intègrent un ordinateur de bureau, ou encore combinés à un PC portable.  | touchscreen
9 Espace(s) en fin de ligne à supprimer. => Les **écrans tactiles** ou //touchscreen// sont apparus depuis quelques années. Leur prise en charge s'améliore petit à petit. Il existe des écrans tactiles séparés (sous forme de moniteur), ou qui intègrent un ordinateur de bureau, ou encore combinés à un PC portable.  |   => suggestions : ['']

29 Espace(s) surnuméraire(s) à supprimer. => ==== Trouver  de l'information ==== |    => suggestions : [' ']
33 Guillemets typographiques ouvrants. => Les périphériques sont identifiées par deux codes de 4 chiffres ou lettres : 'Vendor' et 'Model', que l'on trouve via la commande //lsusb// | ' => suggestions : ['“', '‘', '‹']
33 Mot inconnu : Vendor => Les périphériques sont identifiées par deux codes de 4 chiffres ou lettres : 'Vendor' et 'Model', que l'on trouve via la commande //lsusb// | vendor
33 Guillemets typographiques fermants. => Les périphériques sont identifiées par deux codes de 4 chiffres ou lettres : 'Vendor' et 'Model', que l'on trouve via la commande //lsusb// | ' => suggestions : ['”', '’', '›']
33 Guillemets typographiques ouvrants. => Les périphériques sont identifiées par deux codes de 4 chiffres ou lettres : 'Vendor' et 'Model', que l'on trouve via la commande //lsusb// | ' => suggestions : ['“', '‘', '‹']
33 Mot inconnu : Model => Les périphériques sont identifiées par deux codes de 4 chiffres ou lettres : 'Vendor' et 'Model', que l'on trouve via la commande //lsusb// | model
33 Mot inconnu : lsusb => Les périphériques sont identifiées par deux codes de 4 chiffres ou lettres : 'Vendor' et 'Model', que l'on trouve via la commande //lsusb// | lsusb
35 Mot inconnu : lsusb => exemple : après avoir tapé **lsusb** dans un terminal, on obtient entre autres ceci : | lsusb

39 Guillemets typographiques ouvrants. => 0408 est le 'Vendor' et 3000 est le 'Model' ; c'est comme ceci qu'on identifie précisément le périphérique. Par exemple le IIYAMA Pro Lite 2250 mts et l'ACER 230, bien que de marque différente sont tous les deux caractérisés par le même numéro que dans l'exemple. Ce qui marche pour l'un marchera donc pour l'autre. | ' => suggestions : ['“', '‘', '‹']
39 Mot inconnu : Vendor => 0408 est le 'Vendor' et 3000 est le 'Model' ; c'est comme ceci qu'on identifie précisément le périphérique. Par exemple le IIYAMA Pro Lite 2250 mts et l'ACER 230, bien que de marque différente sont tous les deux caractérisés par le même numéro que dans l'exemple. Ce qui marche pour l'un marchera donc pour l'autre. | vendor
39 Guillemets typographiques fermants. => 0408 est le 'Vendor' et 3000 est le 'Model' ; c'est comme ceci qu'on identifie précisément le périphérique. Par exemple le IIYAMA Pro Lite 2250 mts et l'ACER 230, bien que de marque différente sont tous les deux caractérisés par le même numéro que dans l'exemple. Ce qui marche pour l'un marchera donc pour l'autre. | ' => suggestions : ['”', '’', '›']
39 Guillemets typographiques ouvrants. => 0408 est le 'Vendor' et 3000 est le 'Model' ; c'est comme ceci qu'on identifie précisément le périphérique. Par exemple le IIYAMA Pro Lite 2250 mts et l'ACER 230, bien que de marque différente sont tous les deux caractérisés par le même numéro que dans l'exemple. Ce qui marche pour l'un marchera donc pour l'autre. | ' => suggestions : ['“', '‘', '‹']
39 Mot inconnu : Model => 0408 est le 'Vendor' et 3000 est le 'Model' ; c'est comme ceci qu'on identifie précisément le périphérique. Par exemple le IIYAMA Pro Lite 2250 mts et l'ACER 230, bien que de marque différente sont tous les deux caractérisés par le même numéro que dans l'exemple. Ce qui marche pour l'un marchera donc pour l'autre. | model
39 Guillemets typographiques fermants. => 0408 est le 'Vendor' et 3000 est le 'Model' ; c'est comme ceci qu'on identifie précisément le périphérique. Par exemple le IIYAMA Pro Lite 2250 mts et l'ACER 230, bien que de marque différente sont tous les deux caractérisés par le même numéro que dans l'exemple. Ce qui marche pour l'un marchera donc pour l'autre. | ' => suggestions : ['”', '’', '›']
39 Mot inconnu : IIYAMA => 0408 est le 'Vendor' et 3000 est le 'Model' ; c'est comme ceci qu'on identifie précisément le périphérique. Par exemple le IIYAMA Pro Lite 2250 mts et l'ACER 230, bien que de marque différente sont tous les deux caractérisés par le même numéro que dans l'exemple. Ce qui marche pour l'un marchera donc pour l'autre. | iiyama
