
5 Mot inconnu : AWStats => ====== AWStats ====== | awstats

7 Mot inconnu : AWStats => **AWStats** est un logiciel libre sous licence GPL qui permet de générer des statistiques pour son serveur. Il offre des vues graphiques statiques mais aussi dynamiques des statistiques d'accès à vos serveurs web, FTP, courrier ou en continu (streaming). | awstats

21 Incohérence avec « se » : « créé » devrait être un verbe. => Le répertoire d'installation se créé dans **/usr/share/awstats/**. | créé => suggestions : ['créent', 'créiez', 'créaient', 'créer', 'crées', 'créez', 'créai', 'créait', 'crée', 'créais']

26 Écriture invariable. Utilisez un point médian. => Le(s) fichier(s) de configuration se trouve(nt) dans **/etc/awstats/**. | fichier(s) => suggestions : ['fichier·s']
26 Mot inconnu : nt => Le(s) fichier(s) de configuration se trouve(nt) dans **/etc/awstats/**. | nt

30 Guillemets typographiques ouvrants. => où 'ma_machine.mon_domaine.mon_pays' correspond à l'url de la machine qui permettra de consulter les statistiques avec un navigateur à l'adresse : http://ma_machine.mon_domaine.mon_pays/cgi-bin/awstats.pl | ' => suggestions : ['“', '‘', '‹']
30 Guillemets typographiques fermants. => où 'ma_machine.mon_domaine.mon_pays' correspond à l'url de la machine qui permettra de consulter les statistiques avec un navigateur à l'adresse : http://ma_machine.mon_domaine.mon_pays/cgi-bin/awstats.pl | ' => suggestions : ['”', '’', '›']
30 Mot inconnu : url => où 'ma_machine.mon_domaine.mon_pays' correspond à l'url de la machine qui permettra de consulter les statistiques avec un navigateur à l'adresse : http://ma_machine.mon_domaine.mon_pays/cgi-bin/awstats.pl | url
32 Mot inconnu : wikipedia => **N.B :** //ma_machine.mon_domaine.mon_pays// sera par exemple : //wikipedia.org// | wikipedia

34 Écriture invariable. Utilisez un point médian. => Réglez ce(s) fichier(s) de configuration(s) avec notamment dans le cas d'un serveur web apache : | fichier(s) => suggestions : ['fichier·s']
34 Écriture invariable. Utilisez un point médian. => Réglez ce(s) fichier(s) de configuration(s) avec notamment dans le cas d'un serveur web apache : | configuration(s) => suggestions : ['configuration·s']

37 Mot inconnu : LogType => LogType=W | logtype

38 Mot inconnu : LogFormat => LogFormat=1 | logformat

39 Mot inconnu : LogFile => LogFile="/var/log/apache2/access.log" # pour apache2 | logfile
39 Mot inconnu : apache2 => LogFile="/var/log/apache2/access.log" # pour apache2 | apache2

40 Mot inconnu : SiteDomain => SiteDomain="ma_machine.mon_domaine.mon_pays" | sitedomain
40 Guillemets typographiques ouvrants. => SiteDomain="ma_machine.mon_domaine.mon_pays" | " => suggestions : ['«\xa0', '“']
40 Guillemets typographiques fermants. => SiteDomain="ma_machine.mon_domaine.mon_pays" | " => suggestions : ['\xa0»', '”']

42 Mot inconnu : awstats => Voir les explications contenues dans le fichier **awstats.conf** pour les autres options. | awstats
42 Il manque un espace. => Voir les explications contenues dans le fichier **awstats.conf** pour les autres options. | conf => suggestions : [' conf']

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ... quelques instants plus tard, si tout va bien ... |   => suggestions : ['']
53 Typographie : points de suspension. Utilisez le caractère dédié. =>  ... quelques instants plus tard, si tout va bien ... | ... => suggestions : ['…']
53 Typographie : points de suspension. Utilisez le caractère dédié. =>  ... quelques instants plus tard, si tout va bien ... | ... => suggestions : ['…']
68 Espace(s) surnuméraire(s) à supprimer. => === Ajouter l'analyse des logs archivés:  === |    => suggestions : [' ']

79 Mot inconnu : FIXME => </code> FIXME Le script doit être lancé avec sudo. | fixme
79 Mot inconnu : sudo => </code> FIXME Le script doit être lancé avec sudo. | sudo

89 Guillemets typographiques ouvrants. => S'il y a des "trous" dans les stats, c'est que le cron est passé par là en cours traitement, solution : | " => suggestions : ['«\xa0', '“']
89 Guillemets typographiques fermants. => S'il y a des "trous" dans les stats, c'est que le cron est passé par là en cours traitement, solution : | " => suggestions : ['\xa0»', '”']
89 Mot inconnu : stats => S'il y a des "trous" dans les stats, c'est que le cron est passé par là en cours traitement, solution : | stats
89 Mot inconnu : cron => S'il y a des "trous" dans les stats, c'est que le cron est passé par là en cours traitement, solution : | cron

100 Mot inconnu : awstatsclasses => <file>Alias /awstatsclasses "/usr/share/awstats/classes/" | awstatsclasses

101 Mot inconnu : awstatscss => Alias /awstatscss "/usr/share/awstats/css/" | awstatscss

102 Mot inconnu : awstats-icon => Alias /awstats-icon "/usr/share/awstats/icon/" | awstats-icon

112 Mot inconnu : awstats => # mêmes paramètres que dans awstats.*.conf | awstats

116 Mot inconnu : AuthName => #  AuthName "Statistiques awstats" | authname
116 Guillemets typographiques ouvrants. => #  AuthName "Statistiques awstats" | " => suggestions : ['«\xa0', '“']
116 Mot inconnu : awstats => #  AuthName "Statistiques awstats" | awstats
116 Guillemets typographiques fermants. => #  AuthName "Statistiques awstats" | " => suggestions : ['\xa0»', '”']

117 Mot inconnu : AuthType => #  AuthType Basic | authtype

118 Mot inconnu : Require => #  Require valid-user | require
118 Mot inconnu : valid-user => #  Require valid-user | valid-user

119 Mot inconnu : AuthUserFile => #  AuthUserFile /che/min/.passwdstats | authuserfile
119 Mot inconnu : che => #  AuthUserFile /che/min/.passwdstats | che
119 Mot inconnu : passwdstats => #  AuthUserFile /che/min/.passwdstats | passwdstats

126 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  <IfVersion >= 2.3> |   => suggestions : ['']
133 Espace(s) en fin de ligne à supprimer. => <note important>Attention : dans cet exemple, votre page de statistiques sera accessible pour n'importe quel utilisateur. Si vous ne souhaitez la rendre accessible que pour vous seul, pensez à modifier la ligne suivante :  |   => suggestions : ['']
137 Mot inconnu : AWStats => <note important>Attention : Si vous souhaitez protéger l’accès à votre page de statistiques AWStats en utilisant l'authentification apache. Il faudra éditer **/etc/apache2/conf-available/serve-cgi-bin.conf** et remplacer : | awstats
137 Il manque un espace. => <note important>Attention : Si vous souhaitez protéger l’accès à votre page de statistiques AWStats en utilisant l'authentification apache. Il faudra éditer **/etc/apache2/conf-available/serve-cgi-bin.conf** et remplacer : | conf => suggestions : [' conf']

141 Mot inconnu : Enjoy => Enjoy : | enjoy

148 Mot inconnu : Awstats => ===== Ajouter des plugins à Awstats ===== | awstats

154 Mot inconnu : GeoIP => ==== GeoIP ==== | geoip
155 Mot inconnu : GeoIP => Tous les mois sur le site de [[http://www.maxmind.com/app/geoip_country|MaxMind]] une base GeoIP gratuite est fournie. | geoip

157 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Ce fichier va permettre d'effectuer la correspondance entre les adresses IP et les pays correspondants. Un domaine en .com par exemple peut se trouver en France, en Australie ou au Zimbabwe. Ce traitement va nous permettre de différencier les origines des internautes et d'affecter le nombre de pages et de hits aux pays correspondants. En résumé, il faut installer la base GeoIP, le programme PurePerl, modifier le fichier de configuration du site et le plugin geoip. |  . => suggestions : ['. ', '.']
157 Mot inconnu : GeoIP => Ce fichier va permettre d'effectuer la correspondance entre les adresses IP et les pays correspondants. Un domaine en .com par exemple peut se trouver en France, en Australie ou au Zimbabwe. Ce traitement va nous permettre de différencier les origines des internautes et d'affecter le nombre de pages et de hits aux pays correspondants. En résumé, il faut installer la base GeoIP, le programme PurePerl, modifier le fichier de configuration du site et le plugin geoip. | geoip
157 Mot inconnu : PurePerl => Ce fichier va permettre d'effectuer la correspondance entre les adresses IP et les pays correspondants. Un domaine en .com par exemple peut se trouver en France, en Australie ou au Zimbabwe. Ce traitement va nous permettre de différencier les origines des internautes et d'affecter le nombre de pages et de hits aux pays correspondants. En résumé, il faut installer la base GeoIP, le programme PurePerl, modifier le fichier de configuration du site et le plugin geoip. | pureperl
