
5 Mot inconnu : KShutDown => ====== KShutDown ou comment programmer l'arrêt de l'ordinateur ====== | kshutdown

7 Espace(s) en fin de ligne à supprimer. => Cet utilitaire permet de programmer l'arrêt, le redémarrage ou la fermeture de la session et plus encore.\\  |   => suggestions : ['']

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

52 Mot inconnu : Ok => Il ne vous reste plus qu'à pousser le bouton « Ok ». | ok

75 Mot inconnu : Shut => === Shut Down (Arrêt) === | shut
75 Mot inconnu : Down => === Shut Down (Arrêt) === | down

83 Mot inconnu : System => === System (Système) ==== | system

87 Mot inconnu : Eject => Mais vous aurez au moins //Eject CD// (//si vous avez un lecteur//) pour les gros zéros en anglais : **Ejecter le CD**. | eject
87 Mot inconnu : Ejecter => Mais vous aurez au moins //Eject CD// (//si vous avez un lecteur//) pour les gros zéros en anglais : **Ejecter le CD**. | ejecter
101 Mot inconnu : KShutDown => Pour y accéder : //Paramètres -> Configurer KShutDown//. | kshutdown

116 Typographie : points de suspension. Utilisez le caractère dédié. => Cela vous permet de créer ou de retirer des liens pour éteindre/redémarrer... sur le bureau ou dans le Kmenu. | ... => suggestions : ['…']
116 Mot inconnu : Kmenu => Cela vous permet de créer ou de retirer des liens pour éteindre/redémarrer... sur le bureau ou dans le Kmenu. | kmenu

122 Mot inconnu : systray => Cette option vous permet d'afficher en permanence ou en cas d'utilisation ou encore d'enlever l'icône dans la zone de notification (ou //systray// en US, les icônes à côté de l'horloge). | systray

145 Typographie : points de suspension. Utilisez le caractère dédié. => Dans ce menu, il vous est possible de changer les codes pour les actions arrêt, redémarrer... | ... => suggestions : ['…']

150 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

152 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']
