
28 Mot inconnu : daemon => Par défaut, le daemon **motion** n'est pas activé/démarré. | daemon

30 Guillemets typographiques ouvrants. => Si l'on veut l'activer, il faut mettre à 'Yes' la variable //start_motion_daemon// dans le fichier **/etc/default/motion**. | ' => suggestions : ['“', '‘', '‹']
30 Guillemets typographiques fermants. => Si l'on veut l'activer, il faut mettre à 'Yes' la variable //start_motion_daemon// dans le fichier **/etc/default/motion**. | ' => suggestions : ['”', '’', '›']
30 Mot inconnu : start_motion_daemon => Si l'on veut l'activer, il faut mettre à 'Yes' la variable //start_motion_daemon// dans le fichier **/etc/default/motion**. | start_motion_daemon

33 Mot inconnu : daemon => En mode utilisateur (hors daemon), le mieux est de copier le fichier **/etc/motion/motion.conf** dans son propre dossier personnel. Dans un [[terminal]] : | daemon

42 Espace(s) surnuméraire(s) à supprimer. => Reportez-vous au fichier /usr/share/motion/examples/motion-dist.conf ou au site du développeur  [[http://www.lavrsen.dk/foswiki/bin/view/Motion/ConfigFileOptions]]r</note> |    => suggestions : [' ']

48 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => Les principaux paramètres a changer sont : **target_dir**,  **width & height** (résolution). Les remplacer par les valeurs de votre choix. | a => suggestions : ['à']
48 Ce verbe devrait être un participe passé au masculin singulier. => Les principaux paramètres a changer sont : **target_dir**,  **width & height** (résolution). Les remplacer par les valeurs de votre choix. | changer => suggestions : ['changé']
48 Mot inconnu : target_dir => Les principaux paramètres a changer sont : **target_dir**,  **width & height** (résolution). Les remplacer par les valeurs de votre choix. | target_dir
48 Espace(s) surnuméraire(s) à supprimer. => Les principaux paramètres a changer sont : **target_dir**,  **width & height** (résolution). Les remplacer par les valeurs de votre choix. |    => suggestions : [' ']
48 Mot inconnu : width => Les principaux paramètres a changer sont : **target_dir**,  **width & height** (résolution). Les remplacer par les valeurs de votre choix. | width
48 Mot inconnu : height => Les principaux paramètres a changer sont : **target_dir**,  **width & height** (résolution). Les remplacer par les valeurs de votre choix. | height

50 Il manque un espace. => Voici un exemple de motion.conf : | conf => suggestions : [' conf']

138 Espace(s) surnuméraire(s) à supprimer. => <note tip> Pour connaitre les résolutions supportées, ou tout simplement pour tester sa webcam,  **[[apt://cheese|cheese]]** est un bon candidat.</note> |    => suggestions : [' ']

141 Mot inconnu : swf => Ici, les mouvements détectés par la webcam seront sauvegardés au format swf, résolution 640x480 dans le répertoire /tmp/motion. | swf
141 Signe de multiplication typographique. => Ici, les mouvements détectés par la webcam seront sauvegardés au format swf, résolution 640x480 dans le répertoire /tmp/motion. | 640x480 => suggestions : ['640\xa0×\xa0480']
141 Mot inconnu : x480 => Ici, les mouvements détectés par la webcam seront sauvegardés au format swf, résolution 640x480 dans le répertoire /tmp/motion. | x480

143 Mot inconnu : video => Le flux video de la webcam sera accessible par tous (**webcam_localhost off**) sur le port 8081. | video
143 Mot inconnu : webcam_localhost => Le flux video de la webcam sera accessible par tous (**webcam_localhost off**) sur le port 8081. | webcam_localhost
146 Espace(s) en fin de ligne à supprimer. => Pour démarrer le processus :  |   => suggestions : ['']

154 Mot inconnu : threadN => Lorsque plusieurs webcams sont utilisées, il faut dédier un fichier //threadN.conf// par webcam. | threadn
154 Il manque un espace. => Lorsque plusieurs webcams sont utilisées, il faut dédier un fichier //threadN.conf// par webcam. | conf => suggestions : [' conf']

156 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A la fin du fichier //motion.conf//, rajouter une ligne par webcam. | a => suggestions : ['À']
156 Il manque un espace. => A la fin du fichier //motion.conf//, rajouter une ligne par webcam. | conf => suggestions : [' conf']

160 Il manque un espace. => Chaque fichier //thread.conf// reprend des paramètres du //motion.conf// qu'il va forcer pour chacune des webcams. | conf => suggestions : [' conf']
160 Il manque un espace. => Chaque fichier //thread.conf// reprend des paramètres du //motion.conf// qu'il va forcer pour chacune des webcams. | conf => suggestions : [' conf']

161 Mot inconnu : videodevice => Bien renseigner le paramètre **videodevice** qui doit etre different pour chaque fichier //thread.conf//. | videodevice
161 Mot inconnu : etre => Bien renseigner le paramètre **videodevice** qui doit etre different pour chaque fichier //thread.conf//. | etre
161 Mot inconnu : different => Bien renseigner le paramètre **videodevice** qui doit etre different pour chaque fichier //thread.conf//. | different
161 Il manque un espace. => Bien renseigner le paramètre **videodevice** qui doit etre different pour chaque fichier //thread.conf//. | conf => suggestions : [' conf']

165 Il manque un espace. => Exemple de fichier thread.conf | conf => suggestions : [' conf']

174 Mot inconnu : Dropbox => ==== Grâce à Motion et Dropbox ==== | dropbox

177 Mot inconnu : Wheezy => La démarche ci-dessous a été testée sur Ubuntu 12.04 et sur Debian Wheezy 7.1. | wheezy
201 Mot inconnu : Dropbox => <note tip> Vérifiez à cet instant que vos photographies sont bien enregistrées automatiquement dans le dossier « Dropbox ». si ce n'est pas le cas, vérifier votre fichier de configuration motion.conf. </note> | dropbox
201 Il manque un espace. => <note tip> Vérifiez à cet instant que vos photographies sont bien enregistrées automatiquement dans le dossier « Dropbox ». si ce n'est pas le cas, vérifier votre fichier de configuration motion.conf. </note> | conf => suggestions : [' conf']

203 Mot inconnu : Dropbox => Désormais, vos images enregistrées dans le dossier Dropbox sont automatiquement sauvegardées en lignes vers votre stockage Dropbox ! Il ne vous reste plus qu'à les consulter quand vous le souhaitez avec votre smartphone ! ;-) | dropbox
203 Mot inconnu : Dropbox => Désormais, vos images enregistrées dans le dossier Dropbox sont automatiquement sauvegardées en lignes vers votre stockage Dropbox ! Il ne vous reste plus qu'à les consulter quand vous le souhaitez avec votre smartphone ! ;-) | dropbox

211 Mot inconnu : ioctl => ==== Erreur de segmentation, support ioctl ==== | ioctl

216 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Cette commande peux résoudre sur certaines machines , l'erreur ci dessous : |   => suggestions : ['']
216 Conjugaison erronée. Accord avec “Cette commande…”. Le verbe devrait être à la 3ᵉ personne du singulier. =>  Cette commande peux résoudre sur certaines machines , l'erreur ci dessous : | peux => suggestions : ['peut']
216 Pas d’espace avant une virgule. =>  Cette commande peux résoudre sur certaines machines , l'erreur ci dessous : |  , => suggestions : [',']
216 Il manque un trait d’union. =>  Cette commande peux résoudre sur certaines machines , l'erreur ci dessous : | ci dessous => suggestions : ['ci-dessous']

217 Mot inconnu : VIDIOC_G_JPEGCOMP => //VIDIOC_G_JPEGCOMP not supported but it should be (does your webcam driver support this ioctl?)// | vidioc_g_jpegcomp
217 Mot inconnu : not => //VIDIOC_G_JPEGCOMP not supported but it should be (does your webcam driver support this ioctl?)// | not
217 Mot inconnu : supported => //VIDIOC_G_JPEGCOMP not supported but it should be (does your webcam driver support this ioctl?)// | supported
217 Mot inconnu : it => //VIDIOC_G_JPEGCOMP not supported but it should be (does your webcam driver support this ioctl?)// | it
217 Mot inconnu : should => //VIDIOC_G_JPEGCOMP not supported but it should be (does your webcam driver support this ioctl?)// | should
217 Mot inconnu : does => //VIDIOC_G_JPEGCOMP not supported but it should be (does your webcam driver support this ioctl?)// | does
217 Mot inconnu : your => //VIDIOC_G_JPEGCOMP not supported but it should be (does your webcam driver support this ioctl?)// | your
217 Mot inconnu : this => //VIDIOC_G_JPEGCOMP not supported but it should be (does your webcam driver support this ioctl?)// | this
217 Mot inconnu : ioctl => //VIDIOC_G_JPEGCOMP not supported but it should be (does your webcam driver support this ioctl?)// | ioctl

219 Espace(s) en fin de ligne à supprimer. => [[http://www.lavrsen.dk/foswiki/bin/view/Motion/SupportQuestion2009x01x20x183230]]   |    => suggestions : ['']

221 Mot inconnu : Unable => ====Unable to find a palette format==== | unable
221 Mot inconnu : to => ====Unable to find a palette format==== | to
221 Mot inconnu : find => ====Unable to find a palette format==== | find

223 Mot inconnu : cheese => Si votre webcam fonctionne avec d'autres logiciels (cheese etc...) mais pas avec motion, et que l'on a une erreur du type "unable to find a palette format", la commande suivante peut résoudre ce problème : | cheese
223 Avant « etc. », il faut mettre une virgule. => Si votre webcam fonctionne avec d'autres logiciels (cheese etc...) mais pas avec motion, et que l'on a une erreur du type "unable to find a palette format", la commande suivante peut résoudre ce problème : |  etc. => suggestions : [', etc.']
223 Un seul point après « etc. » => Si votre webcam fonctionne avec d'autres logiciels (cheese etc...) mais pas avec motion, et que l'on a une erreur du type "unable to find a palette format", la commande suivante peut résoudre ce problème : | etc... => suggestions : ['etc.']
223 Guillemets typographiques ouvrants. => Si votre webcam fonctionne avec d'autres logiciels (cheese etc...) mais pas avec motion, et que l'on a une erreur du type "unable to find a palette format", la commande suivante peut résoudre ce problème : | " => suggestions : ['«\xa0', '“']
