
5 Mot inconnu : LottaNZB => ====== LottaNZB ====== | lottanzb

7 Mot inconnu : LottaNZB => Depuis la Version 0.6, LottaNZB n'est plus une interface graphique pour [[HellaNZB]], mais pour [[SABnzbd]] | lottanzb
7 Mot inconnu : HellaNZB => Depuis la Version 0.6, LottaNZB n'est plus une interface graphique pour [[HellaNZB]], mais pour [[SABnzbd]] | hellanzb
7 Mot inconnu : SABnzbd => Depuis la Version 0.6, LottaNZB n'est plus une interface graphique pour [[HellaNZB]], mais pour [[SABnzbd]] | sabnzbd

12 Mot inconnu : LottaNZB => LottaNZB gère (par héritage de SABnzbd): | lottanzb
12 Mot inconnu : SABnzbd => LottaNZB gère (par héritage de SABnzbd): | sabnzbd

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le téléchargement, l'extraction et la réparation des fichiers |    => suggestions : ['']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * L'encryptage SSL |    => suggestions : ['']
14 Mot inconnu : SSL =>   * L'encryptage SSL | ssl

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le support pour un compte Newzbin.com |    => suggestions : ['']
15 Mot inconnu : Newzbin =>   * Le support pour un compte Newzbin.com | newzbin

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * L'association des fichiers NZB : double cliquer sur un fichier NZB, LottaNZB s'ouvre. |    => suggestions : ['']
16 Mot inconnu : NZB =>   * L'association des fichiers NZB : double cliquer sur un fichier NZB, LottaNZB s'ouvre. | nzb
16 Mot inconnu : NZB =>   * L'association des fichiers NZB : double cliquer sur un fichier NZB, LottaNZB s'ouvre. | nzb
16 Mot inconnu : LottaNZB =>   * L'association des fichiers NZB : double cliquer sur un fichier NZB, LottaNZB s'ouvre. | lottanzb

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le contrôle de la bande-passante |    => suggestions : ['']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le support linguistique : disponible en de nombreux langages, dont le français |    => suggestions : ['']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Une documentation détaillée. |    => suggestions : ['']

30 Mot inconnu : LottaNZB => Au premier lancement de LottaNZB, l'assistant de configuration se lance et vous avez le choix entre trois modes :  | lottanzb
30 Espace(s) en fin de ligne à supprimer. => Au premier lancement de LottaNZB, l'assistant de configuration se lance et vous avez le choix entre trois modes :  |   => suggestions : ['']

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Autonome** : ce mode permet à LottaNZB de lancer sa propre instance de HellaNZB, en vous laissant choisir les paramètres, ce qui évite la fastidieuse configuration du fichier /etc/hellanzb.conf, etc. |    => suggestions : ['']
32 Mot inconnu : LottaNZB =>   * **Autonome** : ce mode permet à LottaNZB de lancer sa propre instance de HellaNZB, en vous laissant choisir les paramètres, ce qui évite la fastidieuse configuration du fichier /etc/hellanzb.conf, etc. | lottanzb
32 Mot inconnu : HellaNZB =>   * **Autonome** : ce mode permet à LottaNZB de lancer sa propre instance de HellaNZB, en vous laissant choisir les paramètres, ce qui évite la fastidieuse configuration du fichier /etc/hellanzb.conf, etc. | hellanzb

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Plate-forme** : LottaNZB sert de façade à sabnzbd, c'est-à-dire que vous vous occupez de configurer et lancer HellaNZB indépendamment, et LottaNZB fourni l'interface graphique. |    => suggestions : ['']
33 Mot inconnu : LottaNZB =>   * **Plate-forme** : LottaNZB sert de façade à sabnzbd, c'est-à-dire que vous vous occupez de configurer et lancer HellaNZB indépendamment, et LottaNZB fourni l'interface graphique. | lottanzb
33 Mot inconnu : sabnzbd =>   * **Plate-forme** : LottaNZB sert de façade à sabnzbd, c'est-à-dire que vous vous occupez de configurer et lancer HellaNZB indépendamment, et LottaNZB fourni l'interface graphique. | sabnzbd
33 Mot inconnu : HellaNZB =>   * **Plate-forme** : LottaNZB sert de façade à sabnzbd, c'est-à-dire que vous vous occupez de configurer et lancer HellaNZB indépendamment, et LottaNZB fourni l'interface graphique. | hellanzb
33 Mot inconnu : LottaNZB =>   * **Plate-forme** : LottaNZB sert de façade à sabnzbd, c'est-à-dire que vous vous occupez de configurer et lancer HellaNZB indépendamment, et LottaNZB fourni l'interface graphique. | lottanzb

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Plate-forme à distance** : Ce mode permet de fournir une interface graphique à une instance de HellaNZB lancé sur un autre ordinateur de votre réseau. |    => suggestions : ['']
34 Mot inconnu : HellaNZB =>   * **Plate-forme à distance** : Ce mode permet de fournir une interface graphique à une instance de HellaNZB lancé sur un autre ordinateur de votre réseau. | hellanzb

38 Mot inconnu : LottaNZB => LottaNZB est très facile à utiliser : //Fichier → Ajouter un fichier NZB// et c'est parti :-). Notez que vous pouvez aussi sélectionner une catégorie de fichiers (Film DVD, XVID, Audio...) dans la boîte de dialogue qui importe les NZBs. | lottanzb
38 Mot inconnu : NZB => LottaNZB est très facile à utiliser : //Fichier → Ajouter un fichier NZB// et c'est parti :-). Notez que vous pouvez aussi sélectionner une catégorie de fichiers (Film DVD, XVID, Audio...) dans la boîte de dialogue qui importe les NZBs. | nzb
38 Mot inconnu : XVID => LottaNZB est très facile à utiliser : //Fichier → Ajouter un fichier NZB// et c'est parti :-). Notez que vous pouvez aussi sélectionner une catégorie de fichiers (Film DVD, XVID, Audio...) dans la boîte de dialogue qui importe les NZBs. | xvid
38 Typographie : points de suspension. Utilisez le caractère dédié. => LottaNZB est très facile à utiliser : //Fichier → Ajouter un fichier NZB// et c'est parti :-). Notez que vous pouvez aussi sélectionner une catégorie de fichiers (Film DVD, XVID, Audio...) dans la boîte de dialogue qui importe les NZBs. | ... => suggestions : ['…']
38 Mot inconnu : NZBs => LottaNZB est très facile à utiliser : //Fichier → Ajouter un fichier NZB// et c'est parti :-). Notez que vous pouvez aussi sélectionner une catégorie de fichiers (Film DVD, XVID, Audio...) dans la boîte de dialogue qui importe les NZBs. | nzbs

40 Il manque un trait d’union si “même” se rapporte à “vous”. => Au niveau des Préférences, pour le mode Autonome (dans les autres modes, on suppose que vous avez vous même configuré HellaNZB), vous pouvez activer SmartPAR (récupération automatique des fichiers abîmés), le lancement minimisé, les notifications systèmes, mais aussi l'adresse du serveur, vos identifiants, et il y a même le support de Newzbin.com, si vous y possédez un compte. | vous même => suggestions : ['vous-même']
40 Mot inconnu : HellaNZB => Au niveau des Préférences, pour le mode Autonome (dans les autres modes, on suppose que vous avez vous même configuré HellaNZB), vous pouvez activer SmartPAR (récupération automatique des fichiers abîmés), le lancement minimisé, les notifications systèmes, mais aussi l'adresse du serveur, vos identifiants, et il y a même le support de Newzbin.com, si vous y possédez un compte. | hellanzb
40 Mot inconnu : SmartPAR => Au niveau des Préférences, pour le mode Autonome (dans les autres modes, on suppose que vous avez vous même configuré HellaNZB), vous pouvez activer SmartPAR (récupération automatique des fichiers abîmés), le lancement minimisé, les notifications systèmes, mais aussi l'adresse du serveur, vos identifiants, et il y a même le support de Newzbin.com, si vous y possédez un compte. | smartpar
40 Mot inconnu : Newzbin => Au niveau des Préférences, pour le mode Autonome (dans les autres modes, on suppose que vous avez vous même configuré HellaNZB), vous pouvez activer SmartPAR (récupération automatique des fichiers abîmés), le lancement minimisé, les notifications systèmes, mais aussi l'adresse du serveur, vos identifiants, et il y a même le support de Newzbin.com, si vous y possédez un compte. | newzbin

45 Mot inconnu : Launchpad => Si vous trouvez un bogue ou si vous avez une suggestion à faire, n'hésitez pas en faire part sur la [[https://launchpad.net/lottanzb/|page Launchpad]], tout retour d'expérience est le bienvenu ! | launchpad

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Un plantage de l'application au bout de quelques minutes d'utilisation |    => suggestions : ['']

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Impossible d'ouvrir un .nzb en double cliquant dessus |    => suggestions : ['']
50 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>   * Impossible d'ouvrir un .nzb en double cliquant dessus |  . => suggestions : ['. ', '.']
50 Mot inconnu : nzb =>   * Impossible d'ouvrir un .nzb en double cliquant dessus | nzb

54 Mot inconnu : LottaNZB => [[https://bugs.launchpad.net/lottanzb|Bugs de LottaNZB sur Launchpad]] | lottanzb
54 Mot inconnu : Launchpad => [[https://bugs.launchpad.net/lottanzb|Bugs de LottaNZB sur Launchpad]] | launchpad

57 Mot inconnu : désintallation => Il faut effectuer une désintallation complète avec purge des préférences de lottanzb et sabnzbd (par exemple avec synaptic), supprimer les dossiers correspondants dans  | désintallation
57 Mot inconnu : lottanzb => Il faut effectuer une désintallation complète avec purge des préférences de lottanzb et sabnzbd (par exemple avec synaptic), supprimer les dossiers correspondants dans  | lottanzb
57 Mot inconnu : sabnzbd => Il faut effectuer une désintallation complète avec purge des préférences de lottanzb et sabnzbd (par exemple avec synaptic), supprimer les dossiers correspondants dans  | sabnzbd
57 Mot inconnu : synaptic => Il faut effectuer une désintallation complète avec purge des préférences de lottanzb et sabnzbd (par exemple avec synaptic), supprimer les dossiers correspondants dans  | synaptic
57 Espace(s) en fin de ligne à supprimer. => Il faut effectuer une désintallation complète avec purge des préférences de lottanzb et sabnzbd (par exemple avec synaptic), supprimer les dossiers correspondants dans  |   => suggestions : ['']

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * /usr/share |    => suggestions : ['']

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * /home/[user]/.local/share |    => suggestions : ['']
60 Mot inconnu : share =>   * /home/[user]/.local/share | share

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * /home/[user]/.config |    => suggestions : ['']

63 Mot inconnu : lottanzb => puis recommencer une installation de lottanzb, qui proposera d'installer sabnzbd. | lottanzb
63 Mot inconnu : sabnzbd => puis recommencer une installation de lottanzb, qui proposera d'installer sabnzbd. | sabnzbd

66 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Site officiel : [[http://www.lottanzb.org]] |    => suggestions : ['']

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Développement : [[https://launchpad.net/lottanzb/]] |    => suggestions : ['']
