
4 Mot inconnu : VNC => ====== VNC ====== | vnc

7 Mot inconnu : VNC => Pour mettre en place un service VNC complet il est nécessaire d'installer les applications à cet effet sur le client (l'ordinateur qui contrôle) et sur le serveur (l'ordinateur contrôlé). Ubuntu intègre par défaut à la fois le client VNC, pour se connecter à une machine distante et le serveur VNC qui déporte l'affichage.  | vnc
7 Mot inconnu : VNC => Pour mettre en place un service VNC complet il est nécessaire d'installer les applications à cet effet sur le client (l'ordinateur qui contrôle) et sur le serveur (l'ordinateur contrôlé). Ubuntu intègre par défaut à la fois le client VNC, pour se connecter à une machine distante et le serveur VNC qui déporte l'affichage.  | vnc
7 Mot inconnu : VNC => Pour mettre en place un service VNC complet il est nécessaire d'installer les applications à cet effet sur le client (l'ordinateur qui contrôle) et sur le serveur (l'ordinateur contrôlé). Ubuntu intègre par défaut à la fois le client VNC, pour se connecter à une machine distante et le serveur VNC qui déporte l'affichage.  | vnc
7 Espace(s) en fin de ligne à supprimer. => Pour mettre en place un service VNC complet il est nécessaire d'installer les applications à cet effet sur le client (l'ordinateur qui contrôle) et sur le serveur (l'ordinateur contrôlé). Ubuntu intègre par défaut à la fois le client VNC, pour se connecter à une machine distante et le serveur VNC qui déporte l'affichage.  |   => suggestions : ['']

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

22 Mot inconnu : VNC => Le serveur et client VNC d'Ubuntu est **[[apt>vino]]**. Il est utile pour une utilisation en réseau local sur des pc avec des ressources. Il vise les particuliers pour une utilisation normale de VNC. | vnc
22 Mot inconnu : vino => Le serveur et client VNC d'Ubuntu est **[[apt>vino]]**. Il est utile pour une utilisation en réseau local sur des pc avec des ressources. Il vise les particuliers pour une utilisation normale de VNC. | vino
22 Mot inconnu : VNC => Le serveur et client VNC d'Ubuntu est **[[apt>vino]]**. Il est utile pour une utilisation en réseau local sur des pc avec des ressources. Il vise les particuliers pour une utilisation normale de VNC. | vnc

24 Mot inconnu : VNC => Il existe d'autres clients et serveurs VNC, qui peuvent avoir l'avantage d'être moins gourmand en ressource processeur et réseau. | vnc

29 Mot inconnu : Unity => ===Serveur sous Unity et Xfce=== | unity
29 Mot inconnu : Xfce => ===Serveur sous Unity et Xfce=== | xfce

36 Mot inconnu : VNC => Dans la fenêtre qui apparaît se présentent quatre cases à cocher. La première case, //Autoriser d'autres utilisateurs à voir votre bureau//, active ou désactive le serveur VNC de cette machine, et limite le contrôle à distance à la vision du bureau. | vnc

53 Mot inconnu : LTS => Pour Ubuntu MATE depuis la version 18.04 LTS, le partage de bureau a disparu des menus et la commande vino-preferences n'existe plus. | lts
