
4 Mot inconnu : Jinzora => ====== Jinzora : diffuser votre musique sur internet ====== | jinzora
8 Mot inconnu : WMA => Les fichiers de votre médiathèque peuvent être diffusés par un flux audio au format MP3, Ogg, Wav ou WMA ou tout simplement téléchargés. | wma

10 Mot inconnu : ID3 => L'interface, très jolie et personnalisable par thèmes, permet de rechercher des morceaux par genre, par artiste ou par album. Le logiciel est même capable d'analyser les tags ID3 pour créer la bibliothèque et télécharger les jaquettes depuis Internet. | id3
17 Espace(s) en fin de ligne à supprimer. => Pour la suite des opérations, des pré-requis sont nécessaires :  |   => suggestions : ['']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée pour télécharger le logiciel ; |    => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Installer mpd |    => suggestions : ['']
21 Mot inconnu : mpd =>   * Installer mpd | mpd

24 Mot inconnu : php => ==== Paramétrage de php pour les prérequis Jinzora ==== | php
24 Mot inconnu : Jinzora => ==== Paramétrage de php pour les prérequis Jinzora ==== | jinzora

26 Mot inconnu : Editer => Editer le fichier //php.ini// pour changer les valeurs de quelques variables : | editer
26 Mot inconnu : php => Editer le fichier //php.ini// pour changer les valeurs de quelques variables : | php
26 Mot inconnu : ini => Editer le fichier //php.ini// pour changer les valeurs de quelques variables : | ini

30 Accord de nombre erroné : « valeur » devrait être au pluriel. => Rechercher les lignes ci-dessous dans le fichier puis remplacer les valeur par celles-ci : | valeur => suggestions : ['valeurs']

35 Mot inconnu : upload_max_filesize => upload_max_filesize = 32M</code> | upload_max_filesize

41 Mot inconnu : virtual-host => === En cas de virtual-host === | virtual-host

43 Mot inconnu : virtual-host => Dans le cas d'une installation sur un virtual-host apache dédié à Jinzora, il peut être préférable de faire le paramétrage de PHP dans la configuration du virtual-host (ce qui évite de changer la configue PHP pour tout le serveur). | virtual-host
43 Mot inconnu : Jinzora => Dans le cas d'une installation sur un virtual-host apache dédié à Jinzora, il peut être préférable de faire le paramétrage de PHP dans la configuration du virtual-host (ce qui évite de changer la configue PHP pour tout le serveur). | jinzora
43 Mot inconnu : virtual-host => Dans le cas d'une installation sur un virtual-host apache dédié à Jinzora, il peut être préférable de faire le paramétrage de PHP dans la configuration du virtual-host (ce qui évite de changer la configue PHP pour tout le serveur). | virtual-host
43 Mot inconnu : configue => Dans le cas d'une installation sur un virtual-host apache dédié à Jinzora, il peut être préférable de faire le paramétrage de PHP dans la configuration du virtual-host (ce qui évite de changer la configue PHP pour tout le serveur). | configue

45 Mot inconnu : Editer => Dans ce cas, Editer le fichier de configuration du virtual host  | editer
45 Mot inconnu : virtual => Dans ce cas, Editer le fichier de configuration du virtual host  | virtual
45 Mot inconnu : host => Dans ce cas, Editer le fichier de configuration du virtual host  | host
45 Espace(s) en fin de ligne à supprimer. => Dans ce cas, Editer le fichier de configuration du virtual host  |   => suggestions : ['']

49 Mot inconnu : Directory => Dans la section Directory adapté (celle dédiée au répertoire racine du virtual-host), ajouter les php value necessaires : | directory
49 Mot inconnu : virtual-host => Dans la section Directory adapté (celle dédiée au répertoire racine du virtual-host), ajouter les php value necessaires : | virtual-host
49 Mot inconnu : php => Dans la section Directory adapté (celle dédiée au répertoire racine du virtual-host), ajouter les php value necessaires : | php
