
3 Mot inconnu : Postfix => ====== Installer Postfix en local pour un poste de travail ====== | postfix

6 Mot inconnu : Postfix => ===== Installation du serveur de messagerie Postfix ===== | postfix
12 Mot inconnu : mailutils => Installer le client [[mutt|Mutt]] de messagerie MUA **[[apt>mutt|mutt]]** (les clients MUA de mailutils et de bsd-mailx ne supportent que le format mbox pour la gestion locale, vous pouvez aussi utiliser [[https://neomutt.org|Neomutt]] avec plus de fonctionnalités en remplacement de Mutt **[[apt>neomutt|Neomutt]]**).  | mailutils
12 Mot inconnu : bsd-mailx => Installer le client [[mutt|Mutt]] de messagerie MUA **[[apt>mutt|mutt]]** (les clients MUA de mailutils et de bsd-mailx ne supportent que le format mbox pour la gestion locale, vous pouvez aussi utiliser [[https://neomutt.org|Neomutt]] avec plus de fonctionnalités en remplacement de Mutt **[[apt>neomutt|Neomutt]]**).  | bsd-mailx
12 Mot inconnu : mbox => Installer le client [[mutt|Mutt]] de messagerie MUA **[[apt>mutt|mutt]]** (les clients MUA de mailutils et de bsd-mailx ne supportent que le format mbox pour la gestion locale, vous pouvez aussi utiliser [[https://neomutt.org|Neomutt]] avec plus de fonctionnalités en remplacement de Mutt **[[apt>neomutt|Neomutt]]**).  | mbox
12 Espace(s) en fin de ligne à supprimer. => Installer le client [[mutt|Mutt]] de messagerie MUA **[[apt>mutt|mutt]]** (les clients MUA de mailutils et de bsd-mailx ne supportent que le format mbox pour la gestion locale, vous pouvez aussi utiliser [[https://neomutt.org|Neomutt]] avec plus de fonctionnalités en remplacement de Mutt **[[apt>neomutt|Neomutt]]**).  |   => suggestions : ['']

19 Mot inconnu : postmaster => <file>postmaster:    utilisateur</file> | postmaster
19 Espace(s) surnuméraire(s) à supprimer. => <file>postmaster:    utilisateur</file> |      => suggestions : [' ']

21 Mot inconnu : postmater => Avec l'utilisateur gestionnaire de la machine Linux (relais postmater à l'utilisateur root) : | postmater
21 Mot inconnu : root => Avec l'utilisateur gestionnaire de la machine Linux (relais postmater à l'utilisateur root) : | root

22 Mot inconnu : postmaster => <file>postmaster:    root | postmaster
22 Espace(s) surnuméraire(s) à supprimer. => <file>postmaster:    root |      => suggestions : [' ']
22 Mot inconnu : root => <file>postmaster:    root | root

23 Mot inconnu : root => root:    utilisateur</file> | root
23 Espace(s) surnuméraire(s) à supprimer. => root:    utilisateur</file> |      => suggestions : [' ']

25 Mot inconnu : Postfix => <note tip>Pour valider dans Postfix la configuration après modification (en ayant créer une première configuration du serveur de messagerie avec l'étape de configuration ci-après) : | postfix
25 Incohérence probable avec “ayant” : “créer” n’est pas un participe passé. => <note tip>Pour valider dans Postfix la configuration après modification (en ayant créer une première configuration du serveur de messagerie avec l'étape de configuration ci-après) : | créer => suggestions : ['créé']

28 Mot inconnu : root => <note warning>Par défaut, lors de la configuration du serveur de messagerie, celui-ci sera positionné avec l'utilisateur root</note> | root

