
4 Mot inconnu : Homeworld => ====== Homeworld ====== | homeworld

5 Mot inconnu : Homeworld => Homeworld est un jeu PC sorti en 1999 developpé par Relic Entertainment et édité par Sierra Entertainment. Il s'agit du premier jeu spatial de stratégie temps réel où les unités peuvent se deplacer sur 3 axes dimensionnels. | homeworld
5 Mot inconnu : developpé => Homeworld est un jeu PC sorti en 1999 developpé par Relic Entertainment et édité par Sierra Entertainment. Il s'agit du premier jeu spatial de stratégie temps réel où les unités peuvent se deplacer sur 3 axes dimensionnels. | developpé
5 Mot inconnu : Relic => Homeworld est un jeu PC sorti en 1999 developpé par Relic Entertainment et édité par Sierra Entertainment. Il s'agit du premier jeu spatial de stratégie temps réel où les unités peuvent se deplacer sur 3 axes dimensionnels. | relic
5 Mot inconnu : Entertainment => Homeworld est un jeu PC sorti en 1999 developpé par Relic Entertainment et édité par Sierra Entertainment. Il s'agit du premier jeu spatial de stratégie temps réel où les unités peuvent se deplacer sur 3 axes dimensionnels. | entertainment
5 Mot inconnu : Entertainment => Homeworld est un jeu PC sorti en 1999 developpé par Relic Entertainment et édité par Sierra Entertainment. Il s'agit du premier jeu spatial de stratégie temps réel où les unités peuvent se deplacer sur 3 axes dimensionnels. | entertainment
5 Mot inconnu : deplacer => Homeworld est un jeu PC sorti en 1999 developpé par Relic Entertainment et édité par Sierra Entertainment. Il s'agit du premier jeu spatial de stratégie temps réel où les unités peuvent se deplacer sur 3 axes dimensionnels. | deplacer

9 Mot inconnu : Wine => Pour installer ce jeu vous devez posséder le CD original et avoir installé Wine afin d'extraire du CD les fichiers contenant les données du jeu. | wine

15 Pas d’espace après ce signe. => /!\Si l installation échoue ( donnant comme raison  qu'il n'arrive pas un fichier : carte de référence rapide.pdf) alors copier le contenu du cd sur le disque et renommer le fichier avec les accents qu'il doit contenir et reprendre l installation à partir de cette copie de cd. | (  => suggestions : ['(']
15 Espace(s) surnuméraire(s) à supprimer. => /!\Si l installation échoue ( donnant comme raison  qu'il n'arrive pas un fichier : carte de référence rapide.pdf) alors copier le contenu du cd sur le disque et renommer le fichier avec les accents qu'il doit contenir et reprendre l installation à partir de cette copie de cd. |    => suggestions : [' ']
15 Accord de genre erroné : « cd » est féminin. => /!\Si l installation échoue ( donnant comme raison  qu'il n'arrive pas un fichier : carte de référence rapide.pdf) alors copier le contenu du cd sur le disque et renommer le fichier avec les accents qu'il doit contenir et reprendre l installation à partir de cette copie de cd. | du => suggestions : ['de la']

17 Accord de genre erroné : « fois » est féminin. => Un fois l'installation terminée, il est nécessaire de télécharger [[http://ftpmerou.free.fr/ubuntu/homeworld105patch.exe|le patch 1.05]] | un => suggestions : ['Une']
17 Accord de genre erroné : « Un » est un déterminant masculin. => Un fois l'installation terminée, il est nécessaire de télécharger [[http://ftpmerou.free.fr/ubuntu/homeworld105patch.exe|le patch 1.05]] | fois => suggestions : ['foie']

29 Guillemets typographiques ouvrants. => Une fois tout ceci réalisé, il faut récupérer les fichiers "utiles" | " => suggestions : ['«\xa0', '“']
29 Guillemets typographiques fermants. => Une fois tout ceci réalisé, il faut récupérer les fichiers "utiles" | " => suggestions : ['\xa0»', '”']

31 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Aller dans le répertoire .wine |  . => suggestions : ['. ', '.']
31 Mot inconnu : wine => Aller dans le répertoire .wine | wine

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * SoundFX/ |      => suggestions : ['']
39 Mot inconnu : SoundFX =>     * SoundFX/ | soundfx

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Homeworld.big |      => suggestions : ['']
40 Mot inconnu : Homeworld =>     * Homeworld.big | homeworld
40 Il manque un espace. =>     * Homeworld.big | big => suggestions : [' big']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * devstats.dat |      => suggestions : ['']
41 Mot inconnu : devstats =>     * devstats.dat | devstats
41 Mot inconnu : dat =>     * devstats.dat | dat

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Update.big  |      => suggestions : ['']
42 Mot inconnu : Update =>     * Update.big  | update
42 Il manque un espace. =>     * Update.big  | big => suggestions : [' big']
42 Espace(s) en fin de ligne à supprimer. =>     * Update.big  |   => suggestions : ['']

44 Guillemets typographiques ouvrants. => Vous pouvez désormais supprimer ''Sierra/Homeworld'' de votre ''.wine/drive_c/'' | '' => suggestions : ['«\xa0', '“']
44 Mot inconnu : world => Vous pouvez désormais supprimer ''Sierra/Homeworld'' de votre ''.wine/drive_c/'' | world
44 Guillemets typographiques fermants. => Vous pouvez désormais supprimer ''Sierra/Homeworld'' de votre ''.wine/drive_c/'' | '' => suggestions : ['\xa0»', '”']
44 Guillemets fermants. => Vous pouvez désormais supprimer ''Sierra/Homeworld'' de votre ''.wine/drive_c/'' |  '' => suggestions : ['\xa0»', '”']
44 Mot inconnu : wine => Vous pouvez désormais supprimer ''Sierra/Homeworld'' de votre ''.wine/drive_c/'' | wine
44 Mot inconnu : drive_c => Vous pouvez désormais supprimer ''Sierra/Homeworld'' de votre ''.wine/drive_c/'' | drive_c

46 Pas d’espace avant ce signe. => Maintenant, il faut récupérer [[http://www.thereisnospork.com/projects/homeworld/homeworld_sdl-bin-0.3.tar.bz2|les binaires ]] |  ] => suggestions : [']']

52 Guillemets typographiques ouvrants. => Ensuite, décompresser le répertoire ''homeworld_sdl-bin-0.3'' de l'archive dans ''/home/votrecompte/mesjeux/homeworld/'' | '' => suggestions : ['«\xa0', '“']
52 Mot inconnu : homeworld_sdl-bin-0 => Ensuite, décompresser le répertoire ''homeworld_sdl-bin-0.3'' de l'archive dans ''/home/votrecompte/mesjeux/homeworld/'' | homeworld_sdl-bin-0
52 Guillemets typographiques fermants. => Ensuite, décompresser le répertoire ''homeworld_sdl-bin-0.3'' de l'archive dans ''/home/votrecompte/mesjeux/homeworld/'' | '' => suggestions : ['\xa0»', '”']

54 Mot inconnu : OpenGL => Comme le jeu ne détecte pas de lui-même la bonne librairie OpenGL, il faut faire un lien vers celle-ci: | opengl

